I'm sad.	悲しいです。
He keeps a cat.	彼は猫を飼っている。
He looks pale.	彼は青い顔をしている。
He married Ann.	彼はアンと結婚した。
He bought a hat.	彼は帽子を買った。
They got married.	二人は結婚した。
I'm absolutely sure!	絶対だよ！
It began to snow.	雪が降り出した。
Snow is falling.	雪がふっています。
Care killed a cat.	心配は身の毒。
The crew is large.	乗組員が多い。
I'm not satisfied.	私は不満です。
I'm feeling sick.	私は気分が悪い。
I love movies.	私は映画が大好きです。
I feel at ease.	私、安心しています。
How are the kids?	子供たちは元気？
My tongue slipped.	口がすべった。
Art brings bread.	芸は身を助ける。
You look pale.	顔色がよくありません。
How about a bite?	何か食べようか。
Am I slipping?	俺って腕が鈍ったかな？
I am only joking.	ほんの冗談だよ。
He came by bus.	彼はバスできました。
Don't be a fool.	ばかな事は言うな。
Which side won?	どちらが勝ったのか。
This lake is deep.	この湖は深い。
Look at the cat.	あの猫を見なさい。
Yes, what of it?	そうだが、悪いか？
How did you reply?	何て答えたの？
He breathes hard.	彼が、肩で息をする
I log the e-mail.	Ｍａｉｌを登録する
I'm depending on you.	頼んだぞ。
Wood burns easily.	木は燃えやすい。
Put your hat on.	帽子をかぶりなさい。
She married him.	彼女は彼と結婚した。
She sings well.	彼女は上手に歌を歌う。
Her face paled.	彼女の顔は青くなった。
He has a lunch.	彼は弁当を持っている。
He is no fool.	彼は馬鹿どころではない。
He is a gentleman.	彼は紳士である。
He nodded to me.	彼は私にうなずいた。
He sang and sang.	彼は歌いまくった。
He is a bit on.	彼は、少し酔っている。
I don't want meat.	肉は欲しくない。
Let's have lunch.	昼食にしましょう。
The stars came out.	星が出てきた。
Water is a liquid.	水は液体である。
Keep off the grass!	芝生に入るな。
Poets write poems.	詩人は詩を書く。
I shook my head.	私は首を横に振った。
I am a cat person.	私はネコ派です。
Take my advice!	私の忠告に従いなさい。
My legs still hurt.	脚がまだ痛む。
Love sees no faults.	惚れた欲目。
Lock the door!	戸にロックをかけなさい。
I'm proud of you.	君は大したものだ。
You look pale.	君は顔色がすぐれないね。
The storm broke.	急にあらしになった。
All were satisfied.	皆満足だった。
What was stolen?	何を盗まれましたか。
The movie starts.	映画が始まります。
Mike sings well.	マイクは歌が上手だ。
It's brand new.	ピカピカの新製品です。
That's terrible.	それはひどくつらい。
See you tomorrow.	それじゃまた明日。
I missed the bus.	そのバスに遅れた。
Is this a radio?	これはラジオですか。
Cut the engine.	エンジンを止めなさい。
The engine died.	エンジンが止まった。
July has arrived.	７月が幕を開けました
It stems from X.	それがXに端を発します
Have a nice flight.	良いフライトを！
The heat is intense.	猛烈な暑さだ。
My hat blew off.	帽子がふきとばされた。
Prices have jumped.	物価が急騰した。
She looked sad.	彼女は悲しそうに見えた。
Is she married?	彼女は結婚していますか。
She began to sing.	彼女は歌い始めた。
She is in a mood.	彼女はご機嫌斜めだ。
He is a fast speaker.	彼は早口だ。
He walked quietly.	彼は静かに歩いた。
He is very honest.	彼はとても正直だ。
He or I am to blame.	彼か私が悪い。
They're my favorite.	大好物なんだ。
My legs feel heavy.	足がだるいです。
It looks like snow.	雪になりそうだ。
It looks like snow.	雪が降りそうだ。
Where's the newspaper?	新聞どこ？
The lock is broken.	錠が壊れている。
You must be kidding!	冗談でしょう。
I had my car stolen.	車を盗まれた。
I beg to differ.	失礼だが同意出来ない。
Paper burns easily.	紙は燃えやすい。
We're in a hurry.	私達は急いでいます。
I'm a careful man.	私は注意深い男だ。
I let in the cat.	私は中へ猫を入れた。
I am a bit drunk.	私は少し酔っている。
Excellent reviews.	最高の舞台だった。
All sugar is sweet.	砂糖は全て甘い。
Are you free tonight?	今晩暇かな？
You're wet through.	君はずぶぬれだ。
The heat is intense.	強烈な暑さだ。
Are you feeling sick?	気分悪いの？
Do you feel sick?	気分が悪いんですか。
I jumped for joy.	喜びでわくわくした。
The ocean was calm.	海は静かだった。
We arrived first.	我々は最初に着いた。
What's biting you?	何を悩んでるんだ。
Music is universal.	音楽に国境なし。
It rained heavily.	雨は激しく降った。
Please shake hands.	握手しましょう。
Yes, I'm coming!	はい、すぐに行きます。
My throat burns.	のどがヒリヒリします。
How's the weather?	どんな天気ですか。
Yes, please do.	どうぞ、そうして下さい。
It is no joke.	それは決して冗談ではない。
I'm for the bill.	その法案に賛成です。
The kid got hurt.	その子は怪我をした。
This is good meat.	この肉はおいしい。
This is your fault.	お前のせいだぞ。
Good night, Mom.	おやすみなさい、ママ。
Yes, please come.	ええ、どうぞ来てね。
Do you bowl?	あなたはボウリングをしますか。
Twice two is four.	２の２倍は４です。
"Road under Repair."	「道路工事中」
I sent the e-mail.	私がメールをしました
I can't afford it.	なかなか手が出ません
You should be careful.	注意が必要だ
It was all my fault.	私が全部悪かった
Jump to the details.	詳細ページへ飛ぶ
How about tomorrow?	明日はどうですか。
Even I was defeated.	自分でも負けた。
The lovers kissed.	恋人達はキスをした。
The mail has arrived.	郵便が届いた。
It'll snow tomorrow.	明日は雪だろう。
See you tomorrow.	明日お会いしましょう。
It's not my fault.	僕が悪いのではない。
I wear a sad look.	悲しそうな顔をする。
She didn't reply.	彼女は返答しなかった。
She must be sick.	彼女は病気に違いない。
She made me hurry.	彼女は私を急がせた。
She is very wise.	彼女はとても賢い人だ。
He has a hat on.	彼は帽子をかぶっている。
He is an honest man.	彼は正直な男だ。
He breathed deeply.	彼は深呼吸をした。
He breathed deeply.	彼は深く息をした。
I owe him my life.	彼は私の命の恩人だ。
He made me sing.	彼は私に無理に歌わせた。
He is a man of wisdom.	彼は賢者だ。
He is in a bad mood.	彼は機嫌が悪い。
Has he arrived yet?	彼はもう着いたか。
He is just a kid.	彼はまだほんの子供だ。
He is a mere child.	彼はほんの子供だ。
He got off the bus.	彼はバスを降りた。
A cat has nine lives.	猫に九生あり。
How is the weather?	天気はどうですか。
I have a suggestion.	提案があります。
I don't want lunch.	昼食はいらないよ。
It snowed in Osaka.	大阪で雪が降った。
It is white as snow.	雪のように白い。
Don't kid yourself.	世間を甘くみるな！
The tap is running.	水道がでています。
Get me the newspaper.	新聞を取って。
Keep off the grass.	芝生立ち入り禁止。
Keep off the grass.	芝生に立ち入るな。
Paper burns easily.	紙はすぐに燃える。
We seek happiness.	私達は幸福を求める。
I owe him $100.	私は彼に百ドル借りている。
I'm an honest person.	私は正直です。
Must I hurry?	私は急がなければなりませんか。
I climbed Mt. Aso.	私は阿蘇山に登った。
I lost my camera.	私はカメラをなくした。
Let me repair it.	私に修理させて下さい。
How could I resist?	私に何ができたの？
It is snowing now.	今、雪が降っている。
I want to marry you.	結婚しましょう。
Art for art's sake.	芸術のための芸術。
Let's catch a bite.	軽く食べましょう。
There's no hurry.	急ぐ必要はありません。
I'm not in the mood.	気がのらないな。
Let us sing a song.	歌を歌いましょう。
There is no hurry.	何も急ぐ事はないよ。
Music is universal.	音楽に故郷はなし。
Do you like movies?	映画は好きですか。
Turn on the radio.	ラジオをつけなさい。
Turn on the radio.	ラジオをつけてくれ。
How about some milk?	ミルクはいかが？
The button came off.	ボタンが取れた。
There comes the bus.	バスが来ますよ。
Here comes the bus.	バスが来ましたよ。
How wonderful!	なんてすばらしいんでしょう。
Every bus is full.	どのバスも満員です。
I watch television.	私はテレビを見る。
Send it by mail.	それを郵便で送ってくれ。
Let's shake on it.	それに決めましょう。
The cat is liked.	その猫は好かれている。
Will Jane sing?	ジェーンは歌うでしょうか。
I can't eat meat.	お肉は食べられません。
How are you related?	お二人の間柄は？
My money was stolen.	お金を盗まれた。
Cats are not human.	猫は人間ではない。
The kids play games.	子供がゲームをする
I'm a bit out of it.	頭がボーっとします
It's a total joke.	それが全く話にならない
Come again tomorrow.	明日また来なさい。
She had a radio.	彼女はラジオを持っていた。
She is very sad.	彼女はとても悲しんでいる。
He stole her watch.	彼女の時計を盗んだ。
Let her replace it.	彼女に弁償させたら？
He is a good speaker.	彼は話が上手い。
He often gets sick.	彼はよく病気になる。
He sang off key.	彼は調子っぱずれに歌った。
He is a born poet.	彼は先天的な詩人です。
He is a man of wealth.	彼は資産家だ。
He deals in grain.	彼は穀物を商っている。
He delivered a speech.	彼は演説した。
He rarely gives up.	彼はめったに諦めぬ。
He is a bus driver.	彼はバスの運転手だ。
He got off the bus.	彼はバスから降りた。
He acted the fool.	彼はばかなまねをした。
He jumped out of bed.	彼は飛び起きた。
He is very careful.	彼はとても用心深い。
He has a camera.	彼はカメラを持っています。
When does it arrive?	到着は何時ですか。
It is bad to steal.	盗むのは悪いことだ。
I wish I were a bird.	鳥になりたいな。
The home team won.	地元のチームは勝った。
Permit me to stay.	滞在を許可して下さい。
It is going to snow.	雪になるでしょう。
The snow lay deep.	雪が深くつもっていた。
The stars are bright.	星が輝いている。
Gentlemen first.	紳士の人からお先にどうぞ。
It's really snow white.	真っ白です。
I ate myself sick.	食べ過ぎて気分が悪い。
Give me some milk.	少々ミルクをください。
I lie on the grass.	芝生の上に横になる。
Keep off the grass!	芝生に入るべからず。
Paper burns quickly.	紙は早く燃えます。
We sang for her.	私達は彼女のために歌った。
I do not feel sad.	私は悲しくありません。
I like short poems.	私は短詩が好きです。
I had my car stolen.	私は車を盗まれた。
I'm not in a hurry.	私は急いでいません。
I'm cold and wet.	私は寒くてぬれています。
Beat it, kids!	子供達！すぐに立ち去りなさい！
She is as wise as fair.	才色兼備だ。
A dog has four legs.	犬は四本足である。
The moon has gone down.	月が没した。
Will you marry me?	結婚してくれませんか。
You must be a fool.	君は馬鹿に違いない。
You've filled out.	君、少し丸くなったね。
Add a little milk.	牛乳を少し加えなさい。
The milk has gone bad.	牛乳が腐った。
Are you in a hurry?	急いでいるんですか。
Have a nice flight.	楽しい飛行機の旅を！
The fire alarm rang.	火災警報が鳴った。
What's biting you?	何をかりかりしてるの。
Please sing a song.	一曲歌ってください。
I want to sing a song.	一曲歌いたい。
Shut off the radio.	ラジオを消しなさい。
Mayuko appears wise.	マユコは賢そうだ。
Bill was in Japan.	ビルは日本にいました。
My bag was stolen.	バッグを盗まれました。
Don't miss the bus.	バスに乗り遅れるな。
I missed the bus.	バスに乗り遅れたんだよ。
The movie was good.	その映画は良かった。
I feel very sick.	すごく具合が悪いのです。
The switch is off.	スイッチは切れている。
Let's sing a song.	さあ歌を歌いましょう。
Here comes the bus.	さあバスが着いたぞ。
Set your mind at ease.	ご安心下さい。
This fits perfectly.	これはピッタリだ。
This hat is mine.	この帽子は私のものです。
My stomach is full.	お腹がいっぱいです。
What's that bird?	あれは何という鳥ですか。
You look so pale.	あなたは顔が真っ青です。
A laugh slipped out.	思わず笑ってしまった
This a recent photo?	これは、最近の写真？
Low-fat milk for me.	あたし、低脂肪乳ね。
My parents are old.	両親は歳を取っている。
Turn off the alarm.	目覚ましを止めなさい。
Fill it up, please.	満タンでお願いします。
I think him a fool.	僕は彼は馬鹿だと思う。
Will you marry me?	僕と結婚してくれますか。
Don't climb up the wall.	塀に登るな。
She put on her hat.	彼女は帽子をかぶった。
She looked sad.	彼女は悲しそうな顔をしていた。
She married young.	彼女は若くして結婚した。
She isn't married.	彼女は結婚していません。
She is in a bad mood.	彼女は機嫌が悪い。
Her skin is smooth.	彼女の肌は滑らかです。
She is not to blame.	彼女の責任ではない。
She has faults, too.	彼女には欠点もある。
They are at lunch.	彼らは昼食をとっている。
He is a real fool.	彼は文字どおりのばかだ。
He promised to sell.	彼は売ると約束した。
He is as wise as any.	彼は誰よりも賢い。
He prefers the quiet.	彼は静けさを好む。
I think he is honest.	彼は正直だと思う。
He appeared honest.	彼は正直そうに見えた。
He is no gentleman.	彼は紳士などではない。
He grew no fatter.	彼は少しも太らなかった。
He aimed at the bird.	彼は小鳥を狙った。
He arrived in time.	彼は時間通り到着した。
He couldn't lift.	彼は持ち上げられなかった。
He seems to be sick.	彼は具合が悪そうだ。
He burst into tears.	彼は急に泣き出した。
What a fool he is!	彼は何とばかなのだろう。
He is very careful.	彼はたいへん注意深い。
Shake hands with him.	彼と握手しなさい。
My head is spinning.	頭がクラクラします。
Silence gives consent.	沈黙は承諾の印。
Birds fly in the sky.	鳥は空を飛びます。
Breakfast is ready.	朝御飯ができています。
Fold up the map.	地図を折りたたんでください。
Everyone has faults.	誰にでも欠点はある。
Who's at the wheel?	誰が運転しているのか。
Grasp all, lose all.	大欲は無欲に似たり。
Try a new hat on.	新しい帽子をかぶってみろ。
Don't pull my leg!	冗談も休み休みにしてよ。
At times I feel sad.	時折私は悲しくなる。
I had my watch stolen.	時計を盗まれた。
I felt ill at ease.	私は落ち着かなかった。
I'll be busy tomorrow.	私は明日忙しい。
I have a slight cold.	私は風邪気味です。
I think she is sick.	彼女は病気だと思う。
I saw him jump.	私は彼がジャンプするのを見た。
I just arrived now.	私は今着いたばかりだ。
I consented to go.	私は行くことを承諾した。
I never eat meat.	私は決して肉を食べません。
I broke my right leg.	私は右足を折った。
My room faces east.	私の部屋は東向きです。
My watch is accurate.	私の時計は正確だ。
We won the match.	私たちはその試合に勝った。
Dead men tell no tales.	死人に口なし。
Don't split hairs.	細かいことにこだわるな。
Is there any sugar?	砂糖は残っていますか。
It's dry as dust.	砂をかむように味気ないね。
This is an operator.	交換台でございます。
Someone stole my cash.	現金を盗まれた。
Cash or charge?	現金ですか、クレジットですか。
The dog bit the man.	犬は男に噛みついた。
You look pale today.	君は今日顔色が悪い。
I don't blame you.	君がそうするのは当然だ。
Money ruins many.	金は多くの人を破滅させる。
This is an emergency.	緊急事態なのです。
I burst into tears.	急に涙がこぼれてきた。
Was the movie good?	映画は良かったですか。
Can I have a bite?	一口食べてもいいですか。
I'll bring lunch.	ランチは私が持ちましょう。
I'm often half-asleep.	よく寝ぼけます。
He's not young anymore.	もう若くない。
You must be kidding!	まさか、嘘でしょう。
Here comes the bus!	ほらバスがきましたよ。
May I speak to Bill?	ビルをお願いします。
The bus left early.	バスは早めに出発した。
Have a nice flight.	どうぞ楽しい空の旅を。
See you again tomorrow.	ではまた明日。
I am sad to hear it.	それを聞いて悲しい。
It's merely a joke.	それは単なる冗談だよ。
That's really sad.	それはあまりにも悲しい。
The baby is asleep.	その赤ん坊は寝ている。
Get the kid to bed.	その子を寝かせなさい。
I owe it all to you.	すべて君のおかげだ。
Fill in this form.	この用紙に記入しなさい。
Mail this letter.	この郵便を出してください。
This car sells well.	この車はよく売れる。
This string is strong.	このひもは強い。
I have a bad bite.	かみ合わせが悪いのです。
Do you drink alcohol?	お酒は飲みますか。
You are under arrest.	おまえを捕縛する。
It's self-evident.	おのずから明らかである。
The engine died.	エンジンが止まってしまった。
The engine gave out.	エンジンが故障した。
Yes, I'll come, Bob.	うん、行くよ、ボブ。
That is the bus stop.	あれはバス停です。
That gray building?	あの灰色のビルですか。
He fell asleep again.	彼が再び眠りについた
There is still no reply.	まだ返事が無い
He never gets sick.	彼が絶対に病気にならない
The page was updated.	ページを更新しました
I'm satisfied already.	もう気が済みました
The minister said ～.	〜と大臣が発言しました
I feel very at ease.	とても心が落ち着きます
"You with me?" "Yes"	「分かった？」「はい」
A little bird told me.	風の便りに聞いた。
History repeats itself.	歴史は繰り返す。
The storm has died down.	嵐は静まった。
It's behind schedule.	予定より遅れてます。
Come again tomorrow.	明日またいらっしゃい。
It is Sunday tomorrow.	明日は日曜日です。
Tomorrow it might be me.	明日は我が身。
Will it rain tomorrow?	明日は雨だろうか。
My sister has long legs.	妹は足が長い。
Fold up your bedding.	布団をたたみなさい。
She is a bad speaker.	彼女は話が下手です。
She lowered her voice.	彼女は声を潜めた。
She arrived in a car.	彼女は車で到着した。
She made me a star.	彼女は私をスターにした。
She can jump high.	彼女は高く跳び上がれます。
She is a mere child.	彼女はほんの子供です。
I am friendly with her.	彼女と仲がよい。
I hope to marry her.	彼女と結婚したいんだ。
He is an able lawyer.	彼は有能な弁護士だ。
He didn't half swear.	彼は猛烈に毒ついた。
He is a man of virtue.	彼は美徳の人です。
He died a sad death.	彼は悲しい死をとげた。
He's got lung cancer.	彼は肺ガンになった。
He bit off the meat.	彼は肉を食いちぎった。
He is a man of virtue.	彼は徳のある人だ。
He was wet all over.	彼は体中が濡れていた。
He arrived too early.	彼は早く着きすぎた。
He is a poet by birth.	彼は生来の詩人だ。
He is having lunch.	彼は今弁当を食べている。
He is on the radio.	彼は今ラジオに出ている。
He cried out in alarm.	彼は驚いて叫んだ。
He walked rapidly.	彼はどんどん歩いていった。
He was fast asleep.	彼はぐっすり眠っていた。
He keeps two cats.	彼は、二匹猫を飼っている。
Hot water burst out.	熱湯が突然吹き出した。
Meat or fish?	肉になさいますか、魚になさいますか。
Let me know by wire.	電報でお知らせ下さい。
The pain was terrible.	痛みはひどかった。
Please be gentle.	痛くないようにしてください。
I used my imagination.	想像力を働かせた。
The ships reached port.	船は港に着いた。
Much snow has fallen.	雪がたくさん降った。
He refuses formula.	人工乳を受け付けません。
I'll give you a lift.	車に乗せてあげよう。
The grass looks nice.	芝生が素敵にみえる。
In fact, he is sick.	実は彼は病気なのです。
I quite appreciate it.	自分でも解ってる。
Paper burns quickly.	紙は速く燃えてしまう。
We adopted a child.	私達は子供を養子にした。
I do not have a cat.	私は猫を飼っていない。
I keep a female cat.	私は雌猫を飼っている。
I ate a light lunch.	私は軽い昼食をとった。
I arrived in London.	私はロンドンに着いた。
I'm proud of you.	私はあなたを誇りに思います。
Will you marry me?	私と結婚してくれませんか。
We were in a hurry.	私たちは急いでいました。
I wish I were a bird.	私が鳥であればなあ。
The kids are asleep.	子供達は眠っているよ。
My left foot is asleep.	左足がしびれた。
I'm in a hurry today.	今日は急いでいます。
It is going to snow.	今にも雪が降りそうだ。
The lock doesn't catch.	鍵がかからない。
Health is above wealth.	健康は富以上だ。
Ken keeps two cats.	健は猫を２匹飼っている。
It's only a slight cold.	軽い風邪です。
I had a light lunch.	軽い昼食をとりました。
You look pale today.	君今日は顔色が悪いよ。
I eat in the classroom.	教室で食べるの。
Do you have some milk?	牛乳を飲みますか。
The milk has gone bad.	牛乳が悪くなった。
I'll foot the bill.	勘定は私が持ちましょう。
You're going to a movie?	映画に行くの？
My stomach feels heavy.	胃がもたれます。
Set your mind at ease.	安心してください。
Deliver us from evil.	悪より救い出し給え。
It's on its last legs.	もう寿命なんです。
You must be kidding!	まさか。冗談言うなよ。
Let's get on the bus.	バスに乗りましょう。
Will you marry me?	ねえ、僕と結婚してくれる？
A truck hit the dog.	トラックが犬をはねた。
Tom arrived last.	トムは一番遅れて着きました。
None were satisfied.	だれも満足しなかった。
I am to blame for it.	それは私が悪いのだ。
That was some storm.	それはすごい嵐だった。
It has no parallel.	それに匹敵する物がない。
I'm against the bill.	その法案に反対です。
The cat drinks milk.	その猫はミルクを飲む。
The meat tastes bad.	その肉は味が良くない。
The bus was crowded.	そのバスは混んでいた。
This book sells well.	この本はよく売れる。
Is this hat yours?	この帽子はあなたのですか。
Traffic is busy here.	ここは交通量が多い。
He's sound asleep.	彼はぐっすり眠っているよ。
He is quite an odd man.	かなりの変人だ。
Thanks for your reply.	お返事ありがとう。
Dad is a hard worker.	お父さんは良く働く。
Yes, by all means.	ええ結構です。是非どうぞ。
When will they arrive?	いつ頃着きますか。
I call that some poem.	あれは大した詩だ。
Miss! I feel sick.	あの！気分がわるいんです。
You are under arrest.	あなたを逮捕します。
You can sing a song.	あなたは歌を歌えます。
Do you feel sick?	あなた、気分が悪いんですか。
Tomorrow never comes.	あすは決してこない。
I took the 61 bus.	６１番のバスに乗りました。
He will mail order it.	彼はそれを通販で買う
No, it's all my fault.	いや、全部自分が悪い
He pays X properly.	彼がXには金をちゃんと払う
Words connect people.	ことばが、人と人を繋ぐ
We guarantee you X.	私がXを皆さまに約束します
Somehow, I'm bad with X.	Xがどうも苦手だ
Actually, I'm sick.	実は私は病気を患っています
This newspaper is free.	この新聞はロハだ。
Lover, come back to me.	恋人よ、我に帰れ。
Will it rain tomorrow?	明日雨が降りますか。
It may rain tomorrow.	明日は雨かもしれない。
Come tomorrow morning.	明日の朝、来なさい。
Tomorrow never comes.	明日と言う日は来ない。
Their defense came apart.	防御が崩れた。
I'd like to replace it.	弁償させてくれよ。
The answer was yes.	返答は肯定的なものだった。
Where did dad go?	父さんはどこへ行ったんだろう。
She burst into anger.	彼女は突然怒りだした。
She burst into tears.	彼女は突然泣き出した。
She has a gentle heart.	彼女は心が優しい。
She is widely known.	彼女は広く知られている。
She easily flames up.	彼女はすぐぷんとなる。
They got off the bus.	彼らはバスから降りた。
He will come tomorrow.	彼は明日来るだろう。
He felt ill at ease.	彼は不安な気持ちだった。
He is a man of virtue.	彼は徳を備えた人だ。
He's an absolute fool.	彼は底抜けの馬鹿だ。
He is a man of wisdom.	彼は知恵のある人だ。
He seems to be honest.	彼は正直者のようだ。
He gave a deep sigh.	彼は深いため息をついた。
He is a careful player.	彼は慎重な選手だ。
He married my sister.	彼は私の姉と結婚した。
He shook hands with me.	彼は私と握手した。
He is having lunch now.	彼は今食事中です。
He is a mass of faults.	彼は欠点だらけだ。
He died from wounds.	彼は怪我がもとで死んだ。
He denied that fact.	彼はその事実を否定した。
He tells a good joke.	彼はうまい冗談を言う。
He had the jump on me.	彼に機先を制された。
He needs discipline.	彼には矯正が必要である。
The sun sets in the west.	日は西に沈む。
The meat has gone bad.	肉は腐ってしまった。
The meat has gone bad.	肉が腐ってしまった。
I would like to arrive.	到着したいものだ。
The weather turned fair.	天気が好転した。
The weather turned bad.	天気が悪くなった。
I dreamt I was a bird.	鳥になった夢を見た。
Advice is like salt.	忠告は塩のようなものだ。
No one can be a poet.	誰も詩人にはなれない。
Come home early, Bill.	早く帰りなさいビル。
He was sick last week.	先週彼は病気だった。
Snow covered the bus.	雪がバスを覆っている。
Keep up an old custom.	昔からの習慣を守る。
Accidents will happen.	人生に災難は付き物。
God made the universe.	神は宇宙を創造した。
I really appreciate it.	心から感謝します。
The boy bowed to me.	少年は私におじぎをした。
I'm rather proud of it.	少々自慢なのです。
Keep off the grass.	芝生に入らないでください。
Accidents will happen.	事故は起こるものだ。
I just had an accident.	事故にあいました。
There's been an accident.	事故があった。
I am off duty tomorrow.	私は明日非番です。
I may die tomorrow.	私は明日死ぬかもしれない。
I've climbed Mt. Fuji.	私は富士山に登った。
I gave him some advice.	私は彼に忠告した。
I had my watch stolen.	私は時計を盗まれた。
I want to drink milk.	私は牛乳が飲みたいな。
I arrived at the station.	駅に着いたよ。
I was drinking milk.	私はミルクを飲んでいた。
I am sick at heart.	私はつくづくイヤになった。
I had my money stolen.	私はお金を盗まれた。
I ran away in a hurry.	私はあわてて逃げた。
My orders are absolute.	私の命令は絶対だ。
My camera was stolen.	私のカメラが盗まれた。
I owe him some money.	私には彼に借金がある。
Sing a song with me.	私と一緒に歌いましょう。
I wish I were a bird.	私が鳥になれたらなあ。
Send the kids to bed.	子供達を寝かせなさい。
It's in peak condition.	最高の状態ですね。
Are you free tonight?	今夜時間はありますか。
It will rain tonight.	今夜は雨が降るだろう。
I'll call him tonight.	今晩彼に電話するよ。
The lake is deep here.	湖のこの場所が深い。
Look at the dog jump.	犬が跳ねるのをごらん。
Speak plain truth.	嫌なことをあからさまに言う。
It is far from a joke.	決して冗談じゃない。
