No!	嫌だ！
That's the way it is.	それが現実だ。
Get down from there.	そこから降りろ！
Don't you think so?	そう思いませんか。
May I use this?	これを使っても良いですか。
I'll take this one.	これをもらいます。
Oh! It's my day.	おっ！今日はついてるぞ。
No, she didn't.	いいえ、書きませんでした。
No, she didn't.	いいえ、行きませんでした。
You and I are men.	あなたと私は男です。
I can come at three.	３時で結構です。
I know it very well.	万万承知の上です。
They made him work.	彼らは彼を働かせた。
They don't like me.	彼らは、私が嫌いだ。
I like all of them.	彼らがみんな好きだ。
He has given out.	彼は疲れ果ててしまった。
He came up with me.	彼は私に追いついた。
Where did he go?	彼は何処に行ったのですか。
Will he get well?	彼はよくなるのだろうか。
How did he come?	彼はどうやってきましたか。
He's over thirty.	彼は３０歳を越えている。
I will have him come.	彼に来てもらう。
I got to know him.	彼と知り合いになった。
If only I knew!	知っていればさえいればなぁ。
No one is coming.	誰も乗ってこないだろう。
You may be right.	多分君が正しいのだろう。
Give it all you've got.	全力でやれ。
I've seen better days.	昔はよかった。
Can I go to work?	職場に出てもいいですか。
Where are you from?	出身はどちらですか。
We all like him.	私達はみんな彼がすきです。
I got up about six.	私は6時ごろ起きた。
I can't see well.	私は物がよく見えません。
I don't like her.	私は彼女を好きではない。
I know her well.	私は彼女をよく知っている。
I don't like her.	私は彼女が好きではない。
I made him do so.	私は彼にそうさせました。
I couldn't get in.	中には入れなかったよ。
I like R & B.	私はリズム＆ブルースが好きです。
I got up at seven.	私は7時に起きました。
I got up about five.	私は５時頃起きた。
Where do I come in?	私の役割は何ですか。
I will do my best.	最善を尽くすつもりだ。
I'll come right now.	今すぐに参ります。
You had better go.	君は行ったほうがよい。
What a man you are!	君はなんという男だ。
You may go there.	君はそこに行ってもよい。
We work by the day.	我々は日ぎめで働く。
When do I get there?	何時に着きますか。
What's it made from?	何でできているの？
What do you want to do?	何がしたい？
How are you, Mike?	マイク、君はどうだい？
There she comes.	ほら、彼女がやってくるよ。
Where are you going?	どこに行きますか。
Where should we go?	どこに行きましょう？
I'll take a time-out.	ちょっとタイム。
Don't give me that.	そんなこと言うなよ。
It was like this.	それはこんな次第だった。
I'll be right back.	じきに戻って来ます。
Where are you from?	ご出身はどこですか。
Are these yours?	これらはあなたの物ですか。
I don't like this.	これは気にいりません。
Am I not right?	おれの言うとおりではないか。
No, you need not.	いいえ、必要ありません。
No, he will not.	いいえ、教えないでしょう。
No, you won't.	いいえ、間に合わないでしょう。
You'd better go.	あなたは行ったほうがいい。
I'll be back at ten.	１０時に帰ります。
The time has come.	いよいよ時間がやってきた
All I want is you.	欲しいのは君だけなんだ。
I've got to go now.	僕はもう行かなくちゃ。
She may not come.	彼女は来ないかもしれない。
She came to see me.	彼女は私に会いにきた。
What is she like?	彼女はどのような人ですか。
Where has she gone?	彼女はどこに行ったの？
She works from nine.	彼女は９時から働く。
He did well by me.	彼は私によくしてくれた。
He knows no English.	彼は英語を知らない。
He did not say so.	彼はそうは言わなかった。
He's not like us.	彼は私たちのようではない。
He likes Disney.	彼は、ディズニーが好きです。
May I go with him?	彼といってもよろしいか。
He may be there.	彼がそこにいるかもしれない。
You may not come in.	入ってはいけません。
Go and see who it is.	誰か見てきなさい。
I will do my best.	全力を尽くすつもりです。
I've got to see it.	是非ともそれをみたい。
I'll take your ECG.	心電図をとりましょう。
What is it you got?	手に入れたものは何だ？
They are in the way.	邪魔になっています。
I'd like to see her.	私は彼女に会いたい。
I saw him go out.	私は彼が出て行くのを見た。
I came to like him.	私は彼が好きになった。
I come from Saitama.	私は埼玉の出身です。
Where do I come in?	私は何をしましょうか。
Where do I come in?	私はどうなっちゃうの。
I'm right, aren't I?	私の言う通りだろう？
I will do my best.	最善をつくすつもりです。
Go when you want.	行きたいときに行きなさい。
You are in my way.	君は僕の邪魔をしている。
Didn't you go out?	外出しなかったのですか。
He would not go out.	外に出ようとしない。
When did you get up?	何時に起きましたか。
What is over there?	何がそこにありますか。
I like English best.	英語が一番好きです。
Take me with you.	一緒に連れて行って下さい。
Tom was also there.	トムもそこにいました。
How should I know?	どうして私が知ってるの？
Judy likes him.	ジュディーさんが彼を好きです。
Well, do you like it?	お口に合いますか。
You have to go.	おまえは行かなければならない。
How is it with you?	いかがお暮らしですか。
How have you been?	いかがお過ごしでしたか。
Do you know us?	あなたは私たちをご存知ですか。
What do you think?	あなたはどう思いますか。
I like L.A. better.	Ｌ．Ａの方が好きです。
I got up at about six.	６時ごろ起きた。
There were three men.	３人の男性がいた。
How about 12:45?	１２時４５分はどうでしょう？
I got a C in English.	英語でCをとった。
He uses X as it is.	彼がXをそのまま使います
Who do you get that from?	誰に似たのか
It was only 11.7%.	それが１１・７％に止まった
May I go with you?	付いて行ってもいいですか。
She gave it to him.	彼女は彼にそれを与えた。
She is getting on.	彼女は年をとってきている。
She is going on 35.	彼女はそろそろ３５歳だ。
They gave it to me.	彼らはそれを私に与えた。
Who do you think he is?	彼は誰だと思う？
He didn't go there.	彼はそこへ行かなかった。
How do you like Japan?	日本はどうですか。
Who likes Sachiko?	誰が幸子さんを好きですか。
Go and see who it is.	誰かみにいってきて。
Will you give me some?	少しくれませんか。
Where is the way out?	出口はどちらですか。
Do you have some time?	時間がありますか。
I think he did it.	私は彼がそれをしたと思う。
It's all right with me.	私は大丈夫です。
I will do my best.	私は最善を尽くすつもりだ。
I come from Brazil.	私はブラジルの出身です。
I want to see you.	私はあなたにお会いしたい。
He's out for the day.	今日は一日外出です。
Not now, then when?	今でなければ一体いつだ？
Shall I come for you?	迎えにきましょうか。
How are you making out?	景気はどうなの。
Your time is up.	君のもち時間はもう終わりです。
You are the only one.	貴方達は、一つです。
You like Kawaguchi.	貴方は、川口が好きです。
Say it in English.	それを英語で言ってごらん。
You can come with me.	一緒に来てもいいよ。
I want to go with you.	一緒に行きたいな。
I'll think about it.	もう少し考えてみます。
I don't like any of them.	みんな嫌い。
I know only this.	ぼくはこれだけしか知らない。
Peter is not in now.	ピーターは今不在です。
How are you, Tom?	トム、ごきげんいかがですか。
Where are you going?	どちらに行くのですか。
Who do you work for?	どちらにお勤めですか。
What do you think of it?	それの感想は？
It may be all right.	それでいいと思います。
What did you do there?	そこで何をしたの？
Some do think so.	そう考える人もたしかにいる。
No, I don't think so.	そうは思えないねえ。
How do you like that?	これどう思いますか。
How long is this?	この長さはどれくらいですか。
What did Kumi make?	クミは何を作りましたか。
Who do you work for?	お勤めはどちらですか。
How would you like it?	お気に召しますか。
It's time to be going.	お暇する時間です。
When did you get back?	いつ戻ってきたの？
When did you get back?	いつ帰って来たの？
When will you be back?	いつ帰ってくるの？
I come from England.	イギリスから来ました。
You had better not go.	いかない方がよい。
Don't give me that!	いいかげんな話はやめろ。
Is she all right?	あの人は変わりはないですか。
You needn't come.	あなたは来るにはおよばない。
Would you like to go?	あなたは行きますか。
What did you make?	あなたは何を作りましたか。
Can you come at nine?	９時はいかがですか。
What should I say?	何と言ったらいいか・・・。
You should know it.	自分でもわかってるくせに。
Might makes right.	無理が通れば道理が引っ込む。
I have to go now.	僕はもう行かなければならない。
She did well by him.	彼女は彼によく尽くした。
It's all over with her.	彼女はもうだめだ。
I'd like to see her.	彼女にお目にかかりたい。
She and I get on well.	彼女と私は仲がよい。
He came to like her.	彼は彼女が好きになった。
He made me go there.	彼は私をそこへいかせた。
He will come afterwards.	彼は後で来ます。
I'd better see him.	彼とあったほうがいいかな。
How do you like Japan?	日本はいかがですか。
Go and see who it is.	誰だか見に行ってきて。
Do that which is right.	正しいことをせよ。
Don't you want to go out?	出かけないか。
I shouldn't have done it.	失敗したなあ。
We do not all go.	私達がみんな行くとは限らない。
Don't make little of me.	私を甘く見るな。
I came to know him.	私は彼を知るようになった。
I will make him go.	私は彼をいかせるつもりだ。
What am I to do now?	私は今何をすべきですか。
I am getting on well.	私は元気にやってます。
I want to go to Tokyo.	私は東京に行きたい。
I could not get out.	私は外へでられなかった。
I have to go now.	私はもう行かなければならない。
I'll get through it.	私はそれをなしとげよう。
I'm going to Hokkaido.	私は、北海道に行く。
Can you go with us?	私たちと一緒に行けますか。
I'll make up for it.	今度、埋め合わせするよ。
What are you doing now?	今何をしているの？
Would you come with me?	御案内しましょう。
How did it come out?	結果はどうなりましたか。
Do you get up at six?	君は六時に起きますか。
You'd better not go.	君は行かないほうがよい。
I've given up on you!	君には愛想がつきたよ。
How do you like Kyoto?	京都はいかがですか。
What time can you come?	何時に来れますか。
What are you getting at?	何を言いたいの。
What are you going to do?	何するつもり。
What are you getting at?	何が言いたいの？
Won't you come with me?	一緒に来ませんか。
It's all over for us.	もう我々はおしまいだ。
It's getting there.	もう一息というところです。
We have a long way to go.	まだ先は長い。
Give me just a little.	ほんの少しください。
What do you make of it?	どう理解しますか。
How should I know?	どうして僕が知っているんだ。
How should I know?	どうして私が知っていようか。
I've just come back.	たった今帰ったところだ。
I will give it to you.	それをお前にやろう。
How did you like it?	それは気に入りましたか。
That will do me well.	それでは私は結構です。
You have him there.	その点では君は彼より上だ。
And there were three.	そして、三人が残った。
I'll take you there.	そこに連れて行きますよ。
So you give up, right?	じゃ、諦めるんだね。
I don't like this one.	これは気に入らない。
What are these for?	これは何に使うものですか。
Can you get this, man?	これが届くと思うか。
You need not do so.	きみはそうする必要はない。
Do you have some time?	お時間がありますか。
You can't say no.	おまえは何も否定できないまま。
What is going on?	いったい何が起こっているのか。
"Five!" says Alex.	アレックスは「５こ」と言う。
I will be back by nine.	９時までには戻る。
See you a little before 7.	７時前にね。
That day shall come.	その日は必ずやってくる。
I want to go back now.	今日はもう帰りたい。
That's how he said it.	彼が言葉をそう口にした
See you in the evening.	また夜に会いましょう
There's no time for X.	Xに全然時間が足りない
That's right, isn't it?	ねえ、そうでしょう。
You are doing very well.	良くやっているよ。
I think he won't come.	彼は来ないと思います。
It's five in the evening.	夕方の五時です。
She may be French.	彼女はフランス人かもしれない。
Where has she gone?	彼女はどこへ行っちゃったの。
She may well say so.	彼女がそう言うのも当然だ。
Who do you think she is?	彼女、誰だと思う？
Who do you think he is?	彼を誰と思いますか。
He says he will come.	彼は来たいと言っている。
I think he is right.	彼は正しいと私は思います。
He took me by the hand.	彼は私の手をとった。
He took me by the hand.	彼は私の手を掴んだ。
What is he doing now?	彼は今何をしていますか。
He is getting better.	彼は快方に向かっている。
It is all over with him.	彼はもうだめです。
He was made to do so.	彼はそうさせられました。
He will come all right.	彼はきっときますよ。
He was the first to come.	彼が最初に来た。
No one can say that.	誰もそんなこといえないよ。
Go and see who it is.	誰なのか見に行きなさい。
What is the right time?	正確には何時ですか。
I can't make her out.	私は彼女が理解できない。
I think he is right.	私は彼が正しいと思います。
I don't want to go out.	私は外出したくない。
I like Kenshin Uesugi.	私は、上杉憲信が好き。
I can't make it out.	私は、それが理解できない。
I have no use for it.	私にはそれの必要はない。
All of us like her.	私たちみんな彼女が好きです。
Which would you like?	今日のスープは何ですか。
Have you got the time?	今何時か分かりますか。
Where have you been?	今までどこに行っていたの？
It's better as it is.	現在のままのほうがいい。
What do you want to be?	君は何になりたいの。
Where do you come from?	君の国はどこですか。
What you say is right.	君の言うことは正しい。
How are you these days?	近頃はいかがですか。
You can take your time.	急がなくてもいいよ。
Get back, get back!	帰っておいで帰っておいでよ。
What do you want to do?	何をしたいんですか？
What made her do so?	何が彼女をそうさせたのか。
Won't you come with me?	一緒に行きませんか。
I'd like a Manhattan.	マンハッタンをください。
You can come with me.	僕と一緒に来てもいいよ。
No, I didn't go out.	はい、外出しませんでした。
What should I say?	なんと言ったらいいのか・・・。
Where are you going?	どちらが先に行くのですか。
Where have you been?	どこへ行っていたのですか。
Where do you want to go?	どこへ行きたいの？
Where do you come from?	どこのご出身ですか。
Where do you want to go?	どこに行きたいの？
How did you get them?	どうやって手に入れたの？
How did you make it?	どうやって作ったのですか。
How should I know?	どうしてわたしが知ってようか。
How did you see that?	それについてどう思った。
I was eighteen then.	そのとき私は１８歳だった。
It's been a long time.	ずいぶんになりますね。
This is the first time.	こんなこと初めてだ。
Will you go with us?	あなたは私達と行きますか。
You don't need to go.	あなたは行く必要ないよ。
Do you like English?	あなたは英語が好きですか。
They are out of hand.	あいつらは手に負えない。
Do you have any ones?	１ドル札をお持ちですか。
Muiriel is 20 now.	ムーリエルは２０歳になりました。
Can she come in time?	彼女は間に合うでしょうか。
What made her do so?	彼女はなぜそうしたのですか。
She so wants to go.	彼女はとても行きたがっている。
Where has she gone?	彼女はどこへ行ってしまったの？
She did not go there.	彼女はそこへ行かなかった。
She's going to Ooita.	彼女は大分に行く予定です。
Where did you see her?	彼女にどこで会ったのか。
I'd like to see her.	彼女にお会いしたいのですが。
What do you make of him?	彼をどう思いますか。
He shan't go there.	彼をそこへ行かせないつもりだ。
They are out of work now.	彼らは今失業中だ。
He is getting better.	彼は良くなってきています。
He won't come, will he?	彼は来ないのでしょう？
He says he won't come.	彼は来ないと言っている。
I think that he is right.	彼は正しいと思う。
He has just come back.	彼は今戻ったところです。
Where was he going?	彼はどこへ行くところでしたか。
He may have seen it.	彼はそれを見たかもしれない。
He may have said so.	彼はそう言ったかもしれない。
He is making cookies.	彼はクッキーを作っている。
He comes from England.	彼はイギリス出身である。
That's the way he is.	彼の性分だからしかたない。
I can't make him out.	彼のいう事は理解できない。
Who do you think he is?	彼は誰だと思いますか。
Who can do this work?	誰がこの仕事をやれますか。
How long will it be?	待つ時間はどのくらいですか。
Do you have any others?	他のものがありますか。
That's what I thought.	正にそれが私の考えです。
What's the right time?	正しい時刻は何時ですか。
If I get time, I will.	時間があればそうします。
Like will to like.	似たものは似たものによっていく。
I said he might go.	私は彼がいってもよいといった。
I want you to see her.	彼女に会ってほしいんだ。
I want to go with you.	君と一緒に行きたいんだ。
I like English better.	私は英語の方が好きです。
Who do you think I am?	私はだれだと思いますか。
I was made to go there.	私はそこへ行かされた。
I'm through with her.	私と彼女はもうおしまいよ。
I'll have to think about it.	考えとくよ。
I want to think about it.	考えさせて下さい。
What shall I do for you?	御用は何でしょうか。
Where do you come from?	御出身はどちらですか。
What are you about now?	君は今何をしているの。
Which one do you take?	君はどちらを取りますか。
You like it, don't you?	君はそれが好きですね？
You have done very well.	君はうまくやったよ。
You may be right.	君の言うことは正しいかもしれない。
There are seven of us.	我々は全部で、７人です。
We made him go there.	我々はそこに彼を行かせた。
Do you have any CDs?	何枚かＣＤを持っていますか。
How long will it take?	何日ぐらいかかりますか。
What time do you get up?	何時に君は起きるの。
When will you be back?	何時お戻りになりますか。
What do you want me to do?	何か御用ですか。
Take three at a time.	一度に三個づつ取りなさい。
Are you all right now?	もうお体はいいんですか。
Where do you come from?	どちらのご出身ですか？
What should I see?	どこを見物すればいいでしょうか。
Where are you going?	どことどこへ行く予定ですか。
I would like to see it.	それを見たいものです。
That is the other way about.	それは逆だ。
You'd better not do it.	それはしない方がいい。
It can be done in a day.	それは１日でできる。
What did you do then?	それから君はどうしたのか。
That is just her way.	それがまさに彼女の癖です。
That day shall come.	その日はやってくるであろう。
I can not but think so.	そう考えざるを得ない。
I want to go to Seattle.	シアトルに行きたい。
Do come if you can!	ご都合がつけばぜひ来て下さい。
I'd like three of these.	これを三つください。
This is what I want.	これこそ私の欲しいものです。
This is what he said.	これが彼が言ったことです。
This is how we do it.	これが私たちのやり方です。
Ken came up to me.	ケンが、私のところにやってきた。
When will he be back?	いつ頃お戻りになりますか。
When do you want to go?	いつ行きたいのですか。
When did you go there?	いつそこへ行きましたか。
When will you go out?	いつお出かけになりますか。
No, no, it's on me.	いいえ、それは私のおごりです。
You did not say so.	あなたはそう言いませんでした。
Yours is over there.	あなたのは向こうにあります。
Take that back, right now!	訂正しろ、今すぐ。
There's no but about it!	でももヘチマもないわ。
I'll make it up for you.	埋め合わせをしますよ。
What if I say "no"?	僕が「嫌だ」と言ったらどうする。
There was no one about.	辺りには誰もいなかった。
She says she will come.	彼女は来ると言っている。
She is at work right now.	彼女は今、仕事中だ。
She got me by the hand.	彼女が僕の手をつかんだ。
She came out of there.	彼女がそこからが出てきた。
She may well say so.	彼女がそういうのももっともだ。
They made me go there.	彼らは私をそこへ行かせた。
They made me go there.	彼らは私をそこに行かせた。
They are of us, you know.	彼らは我々の仲間だ。
He took her by the hand.	彼は彼女の手を取った。
He is thinking it over.	彼は二の足を踏んでいる。
He said, I am not.	彼は言った。「そうではありません」
Didn't he go there?	彼はそこに行かなかったのですか。
He was made to go there.	彼はそこに行かされた。
He got used to the work.	彼はこの仕事に慣れた。
When did he get back?	彼はいつ帰ってきたのですか。
I got even with him.	彼にうまく仕返しをしてやった。
I get on well with him.	彼とはうまくやっている。
It's just what I wanted.	丁度欲しかった物です。
No one can go in there.	誰もそこにはいれないよ。
Do you know who made it?	誰が作ったか知ってる？
I need it ASAP.	大至急お願い、なるべく早くお願いします。
Have it your way.	勝手にしたら、どうぞお好きなように。
And who might you be?	失礼ですがどなたでしょうか。
I am not well at all.	私は体の調子が全然よくない。
I will do it right now.	私は今すぐそれをします。
I'm thinking about you.	私は君の事を考えている。
What had I better do?	私は何をしたらよいでしょう。
I am to go to Paris.	私はパリに行く事になっている。
I know it very well.	私はそのことをよく知っている。
I like Kevin Nash.	私はケヴィン・ナッシュが好きです。
I am through with him.	私はあの男とは手を切った。
I was in Canada then.	私は、その時、カナダにいた。
Need I go right now?	今すぐに行く必要がありますか。
Which of you will go?	君達のどちらがいくのですか。
You may as well say so.	君はそう言うほうがよい。
You should have done so.	君はそうすべきだった。
You are right in a way.	君はある意味では正しい。
What are you getting at?	君の狙いはなんなのだ。
What are you getting at?	君のねらいは何なのだ？
Take your time, Yoshida.	吉田、ゆっくりやれよ。
How long will you be gone?	何日ぐらい行くの。
Don't give up English.	英語をやめてはいけません。
Come with me, will you?	一緒に来てくれませんか。
We should do our best.	我々は最善を尽くすべきだ。
I wanted to go there.	わたしはそこへ行きたかった。
I have got to go now.	もう行かなければなりません。
I will get it for you.	ぼくが取って来てあげるよ。
Tom is getting better.	トムは段々よくなっている。
Which way should I go?	どちらへ行けばよいですか。
I got there just in time.	ちょうど間にあった。
What shall I do with it?	それをどう始末するの。
I don't like it at all.	それは全然気にいらない。
It is all I want to do.	それだけがわたしの望み。
Come and see me right now.	すぐに会いに来て。
