Wrong.	違うんだ。
He can be trusted.	彼は信用できます。
He wrote a letter.	彼は手紙を書いた。
He took a picture.	彼は写真を撮った。
He pressured me.	彼は私に圧力をかけた。
He was laid off.	彼は一時解雇にされた。
He wore glasses.	彼は眼鏡をかけていた。
He slept an hour.	彼は１時間ねむった。
He can be trusted.	彼なら間違いない。
Make way, please.	道を空けてください。
I hear the phone.	電話が鳴っています。
Please look for it.	探してください。
Please explain it.	説明してください。
I have to dress up.	正装しなければ。
I'm more than happy.	十分に幸せだ。
Next person, please.	次の方どうぞ。
Please look at me.	私を見てください。
I have a daughter.	私には娘がいます。
I bought a book.	私は一冊の本を買った。
I can but wait.	私はただ待つだけの事だ。
Where is my seat?	私の席はどこですか。
We like music.	私たちは、音楽が好きです。
I wish I was dead.	死んでしまいたい！
It is fine today.	今日は良い天気です。
It's very cold now.	今はとても寒い。
I'm very happy now.	今とても幸せだ。
Don't get me wrong.	誤解しないでよ。
Fall from reality.	現実から逃げ出す。
Ken looks happy.	健は楽しそうに見える。
You do me wrong.	君は私を誤解している。
I'm feeling fine now.	気分がよい。
I don't exist to you.	眼中にない。
Enjoy yourself!	楽しんでいってください。
Look at the picture.	絵を見なさい。
What did you buy?	何を買ったのですか。
Do you like music?	音楽は好きですか。
Take the right road.	右の道を行け。
May I join you?	一緒に行っていいですか。
Betty killed him.	べティは彼を殺した。
How cold it is!	なんて寒いことでしょう。
Tom is a good sort.	トムはいい人だ。
Please have a try.	どうぞやってみて。
Hold on, please.	ちょっとお待ち下さい。
It isn't mine.	それは私のではありません。
The dog was dead.	その犬は死んでいた。
Please hold on.	そのままでお待ち下さい。
Single, please.	シングルにしてください。
Everything is fine.	これで結構です。
This car is mine.	この車はわたしのだ。
Here is your dog.	ここに君の犬がいる。
A dog was running.	いぬが走っていた。
Ten days passed by.	１０日間たった。
He set a goal.	彼がひとつ、目標を掲げました
Everyone avoided X.	Xを皆が避けました
Please come again.	またお越しください。
Mind your manners.	礼儀正しくしなさい。
I am round shouldered.	僕は猫背だ。
How's your cold?	風邪の具合はどうですか。
I have a bad cold.	風邪がひどいのです。
It's a beautiful day.	美しい日です。
I wonder who she is.	彼女は誰かしら。
She is dark-skinned.	彼女は色が黒い。
She looks happy.	彼女は幸せそうに見える。
She is wrong.	彼女のいうことは間違っている。
He was very happy.	彼は大変幸せだった。
He enjoys good health.	彼は健康だ。
He is hard to please.	彼は気難しい。
He runs very fast.	彼はとても速く走る。
Keep off the flies.	蝿をたからせるな。
Please let me know.	知らせてください。
Anyone can do it.	誰にでもそれは出来る。
I get out of breath.	息切れがします。
Happy New Year!	新年おめでとうございます。
Let's take a picture.	写真を撮ろう。
Respect yourself.	自分を大切にしなさい。
Don't pass me over.	私を無視しないで。
I bought a new car.	私は新車を買った。
I bought a watch.	私は時計を買いました。
I see with my eyes.	私は私の目で見る。
That's fine with me.	私は結構ですよ。
I bought that car.	私はその車を買った。
I bought that car.	私はあの車を買った。
I slept nine hours.	私は9時間眠った。
I like the cold.	私は、冷たいものが好き。
Get me my glasses.	私のめがねを取って。
He cut me dead.	私に全く知らんふりをした。
I wish myself dead.	死にたいくらいだ。
Don't get me wrong.	誤解しないでくれ。
May you be happy.	御多幸をお祈りします。
You broke the rule.	君は規則を破った。
Is the bank open?	銀行は開いていますか。
You are beautiful.	あなたたちは美しい。
Don't take chances.	危ない事はするな。
I do feel the cold.	寒さが身にしみる。
Make yourself at home.	楽にしてね。
Kings have long arms.	王の腕は長い。
Please get dressed.	着替えてください。
Please come again.	また来てくださいね。
Another day passed.	また１日が過ぎた。
I'm kind of happy.	ま、ちょっと幸せだ。
I'm about ready.	ぼくは大体用意ができた。
Happy Halloween!	ハローウィンおめでとう。
Tom changed color.	トムは顔色を変えた。
Who is this, please?	どちら様ですか。
Don't run so fast.	そんなに速く走るな。
Can you prove it?	それを証明できますか？
It's free of charge.	それは無料です。
It was ages ago.	それは何年も昔のことだ。
I was happy then.	そのときは幸せでした。
Jane looks happy.	ジェーンは楽しそうだ。
This book is mine.	この本は私の本です。
This book is mine.	この本は私の物です。
I love this picture.	この写真大好き。
This is my daughter.	こちらは娘です。
Please let us know.	お知らせください。
I'll kill him.	あいつの息の根を止めてやる。
We are gaining a day.	１日遅れます。
I must buy one.	１台買わなければならない。
Please study here.	ここで勉強しなさい。
X is on page 14.	Xが１４ページに御座います
I really like music.	本当に音楽が好きだ
X protects my earth.	Xが僕の地球を守る
He gets one ready.	彼がそれを１本用意する
He is worn with age.	老齢で弱っている。
A promise is a promise.	約束は約束。
Is something wrong?	問題でも起きたのか。
The dream came true.	夢は本当になった。
I am getting a cold.	風邪引いたみたい。
I have a head cold.	鼻風邪をひきました。
She gained her end.	彼女は目的を達した。
She held her breath.	彼女は息を殺した。
She has a round face.	彼女は丸顔です。
She's an eye-opener.	彼女はすごい美人！
He lacks common sense.	彼は非常識だ。
He made her happy.	彼は彼女を幸福にした。
He made her happy.	彼は彼女を幸せにした。
He bought a new car.	彼は新車を買った。
He has two dogs.	彼は犬を２匹飼っています。
He lacks experience.	彼は経験不足だね。
He has a good memory.	彼は記憶が良い。
He was all wrong.	彼は完全に間違っていた。
He saw he was wrong.	彼は過ちを悟った。
He is beyond hope.	彼はもう見込みがない。
How fast he runs!	彼はなんと速く走るんだ。
He was very happy.	彼はとても幸せだった。
He runs very fast.	彼はたいそう速く走る。
He is always happy.	彼はいつも幸せです。
Please call him up.	彼に電話して下さい。
He gave me a cold.	彼にかぜをうつされた。
Let's cross the street.	道を渡ろう。
Don't move, please.	動かないでください。
They'll kill me.	奴等に殺されてしまいます。
Join us, won't you?	仲間に入りませんか。
Who wrote a letter?	誰が手紙を書いたの。
I'm gaining weight.	体重が増えています。
Take one's temperature.	体温を計る。
Take a deep breath.	息を深く吸いなさい。
Move along, please.	前に進んでください。
Move along, please.	前に行ってください。
A green light is on.	青信号が出ている。
I'll buy a new one.	新しいものを買おう。
Apply in writing.	書面でお申し込み下さい。
In fact, I am happy.	実際幸せなのです。
How time flies!	時間はなんて早く過ぎるんだ。
We see with our eyes.	私達は目で見る。
I love music, too.	私も音楽が大好きです。
I have a cold.	私は風邪をひいているんですよ。
I made her happy.	私は彼女を幸福にしよう。
I will buy a car.	私は車を買うつもりです。
I don't like dogs.	私は犬は好きではない。
I'm learning music.	私は音楽を習います。
My father grew old.	私の父は年を取った。
Please let me know.	私に教えてください。
We study music.	私たちは、音楽を勉強します。
No pain, no gain.	骨折りなければ利益なし。
Are you ready to go?	行く用意はいいか。
I'll make you happy.	君を幸せにします。
Will you join us?	君も仲間に入りませんか。
Do you love music?	君は音楽が好きですか。
Aren't you happy?	君はうれしくないのかい？
Aren't you happy?	君はうれしくないですか。
Are seats available?	空席はありますか。
No pain, no gain.	苦労無しには儲けも無い。
Don't worry about it!	気にすんなって。
Are you enjoying it?	楽しんでいますか。
I did write to him.	確かに書きましたよ。
The sea is very wide.	海はとても広い。
No music, no life.	音楽がない人生は無い。
The temperature falls.	温度が下がる。
No need to worry.	悪いところはありません。
Once more, please.	もう１度お願いします。
Boys! Now listen.	みんな。さあ聞きなさい。
Come and join us.	ふるってご参加ください。
I had a bad cold.	ひどい風邪をひいたんだ。
I bought a Picasso.	ピカソの絵を買った。
What a big dog!	なんて大きな犬なんでしょう。
Tom has no manners.	トムは礼儀知らずだ。
Any seat will do.	どの席でもかまいません。
Please don't bother.	どうぞお構いなく。
Please, tell me.	どうぞ、私に話して下さい。
Please let me in.	どうか中に入れて下さい。
Please step back.	どうか下がってください。
Don't walk so fast.	そんなに速く歩くな。
That is surprising.	それは驚くべき事だ。
It's beyond me.	それはとても私には出来ない。
The ship is at sea.	その船は航海中です。
Look at the picture.	その絵を見なさい。
Jane looks happy.	ジェーンは幸福そうです。
Carry this for me.	これを運んでください。
This isn't mine.	これは私のではありません。
Kate has a cold.	ケイトは風邪をひいている。
Kate keeps a dog.	ケイトは犬を飼っている。
You make me happy.	きみは僕を幸せにする。
Charge it, please.	カードでお願いします。
Emi looks happy.	エミは幸せそうに見えます。
I'm getting happy.	いい気分になってきた。
Those dogs are big.	あの犬たちは大きい。
You run very fast.	あなたは大変速く走る。
They passed out.	あいつら酔い潰れちゃった。
$8.50, please.	８ドル５０セントいただきます。
Forty years passed.	４０年が過ぎ去った。
He left an hour ago.	１時間前に出たよ。
Please have a seat.	どうぞおかけ下さい。
I won't tell anyone.	誰にも言わないよ。
I feel wind on my skin.	風を肌に感じる
I use natural oil.	天然のオイルを使用します
He will save the world.	彼が地球を救う
My eyes are watering.	涙が出てきますよ。
My strength is all gone.	力が尽きた。
The food is cold.	料理が冷えてしまっている。
Oil is running short.	油が切れてきたぞ。
Keep your eyes open.	目を開けておくのよ。
All the seats are booked.	満席です。
I wrote this book.	僕がこの本を書いたんだ。
The wind has died down.	風が静まった。
She has fine manners.	彼女は礼儀正しい。
She has blue eyes.	彼女は青い目をしている。
She has a picture.	彼女は写真を持っている。
She is in the wrong.	彼女は間違っている。
She wore glasses.	彼女はめがねをかけていた。
I doubt her words.	彼女の言う事は疑わしい。
He flew to Paris.	彼は飛行機でパリへ飛んだ。
He took a deep breath.	彼は深呼吸した。
He left a while ago.	彼は少し前に去った。
He is a man of ability.	彼は手腕家だ。
He has a cold now.	彼は今かぜをひいている。
He has a good memory.	彼は記憶力がよい。
He bought a Honda.	彼はホンダの車を買った。
He left immediately.	彼はすぐに出発した。
I have three dogs.	私は犬を３匹飼っている。
My hair has grown out.	髪が伸びてきた。
A horse runs quickly.	馬は走るのが早い。
The waves are rising.	波が立ちはじめた。
Look in the phone book.	電話帳をみて。
Let's make a phone call.	電話しよう。
Can I call directly?	直接電話できますか。
Everyone loves him.	誰もが彼を愛している。
Anyone can do it.	誰にだってそれはできます。
Stand on the scales.	体重計に乗りなさい。
Don't put on weight.	太ってはいけません。
The ship was at sea.	船は航海中であった。
Go back to your seat.	席にもどりなさい。
Water reflects light.	水は光を反射する。
I am all but ready.	準備はほぼできている。
I'll call my husband.	主人を呼びますよ。
Go tell him yourself.	自分で話してこい。
Let me in, please.	私を中に入れてください。
I really enjoyed it.	私は本当に楽しんだ。
I met him by chance.	私は彼に偶然会った。
I worry about him.	私は彼が気がかりなのよ。
I have gained weight.	私は体重が増えた。
I can't take the heat.	私は暑さに弱い。
I carried on my work.	私は仕事を続けた。
I have a cold now.	私は今風邪をひいている。
I'll join you later.	私は後から行きます。
I work for a bank.	私は銀行で働いています。
I'm checking out.	私はチェックアウトします。
I made John happy.	私はジョンを幸福にした。
I waited for a time.	私はしばらく待った。
My dream comes true.	私の夢はかないます。
Please follow me.	私の後に付いてきて下さい。
Speak well of the dead.	死者はほめよ。
There's no wind today.	今日は風がない。
It is very cold today.	今日は大変寒い。
Please put in this way.	口添えしてね。
I have bad breath.	私は口臭がひどいのです。
It's a beautiful job.	見事な作品ですね。
Keep away from the dog.	犬に近寄るな。
He works for a bank.	銀行で働いています。
I start in surprise.	驚いてぎょっとする。
Don't you feel cold?	寒さを感じませんか。
Don't worry about me.	俺の心配をするな。
It was fine all day.	一日中上天気だった。
I finally got a job.	やっと就職できたぞ！
Of course I'll wait.	もちろん待ちますよ。
I can't wait any more.	もう待てないよ。
Everyone loves Mac.	みんなマックが好きだ。
Everyone thinks so.	みんなそう思うだろう。
Listen, all of you.	みなさん、聞きなさい。
I need a police car.	パトカーが必要です。
Please come in.	どうぞなかへおとおりください。
Please don't bother.	どうぞおかまいなく。
You do me wrong.	それは私に対する誤解ですよ。
It fell to pieces.	それはばらばらになった。
The car is very fast.	その車は大変速い。
The car is ready.	その車は整備が済んでいる。
Those books are mine.	その本は私のです。
It will be ready soon.	すぐに出来ます。
These dogs are big.	これらのイヌは大きい。
This house is mine.	この家は私のものです。
Where on earth was I?	ここは何処だろう。
It is very cold here.	ここはとても寒い。
Take care of yourself.	お体をお大事に。
I can wait for you.	お前のこと待ってるよ。
Please take your seat.	お掛けください。
When did you buy it?	いつそれを買ったの。
It took half an hour.	３０分で着いたよ。
Let me buy you a drink.	１杯おごろう。
I felt very happy.	私はとても幸福に感じた。
I forgot to ask him.	彼に聞くのを忘れた。
Ages 68 and below.	年齢が６８歳以下の者とする
I bought one of them.	それを１つ買いました
This day finally came.	ついにこの日が来た
Everyone enjoyed X.	Xをみんなが楽しみました
He kept on filming.	彼がずっとカメラを回した
The food is cold.	料理が冷めてしまっています。
Have everything ready.	万事用意しておけ。
Everything is ready.	万事準備ができました。
I can run as fast.	僕も同じくらい速く走れる。
I'm being patient.	僕は今我慢しているんだよ。
I want to buy another.	別なのを買いたい。
The wind grew stronger.	風が強くなった。
The wind has died down.	風がやみました。
Is she your sister?	彼女はあなたの妹ですか。
I can't forget her.	彼女の事が思い切れない。
They must be happy.	彼らは幸せにちがいない。
He wrote the report.	彼は報告書を作文した。
He fell off the horse.	彼は馬から落ちた。
He crossed the street.	彼は道路を渡った。
He was out of breath.	彼は息切れしていた。
He can run so fast!	彼は走るのがとても早い。
He kept early hours.	彼は早寝早起きをした。
He signed the check.	彼は小切手に署名した。
He applied for a job.	彼は仕事に応募した。
He's now on the phone.	彼は今電話中です。
Does he have a dog?	彼は犬を飼っていますか。
He works at a bank.	彼は銀行で働いています。
He was hard to please.	彼は気難しかった。
He is an all-round man.	彼は何でも屋だ。
He died one year ago.	彼は一年前に死んだ。
He has a good memory.	彼はもの覚えがよい。
He can no longer wait.	彼はもう待てない。
He is dead drunk.	彼はひどくよっぱらっている。
How fast he runs!	彼はなんて速く走るんだろう。
Tell him to wait.	彼に待つように言って下さい。
Carry your head high.	背筋を伸ばしなさい。
I'm talking on the phone.	電話中です。
May I use the phone?	電話を拝借できますか。
I'll make a phone call.	電話をかけよう。
How does it fit you?	着心地はいかがですか。
I didn't meet anyone.	誰にも会わなかった。
I wonder who has come.	誰が来たのかしら。
Save your strength.	体力を蓄えておきなさい。
Many cars passed by.	多くの車が通り過ぎた。
I think it will be fine.	晴れると思う。
Do write to me soon!	是非すぐ手紙を下さい。
Don't worry about that.	心配いりません。
Let sleeping dogs lie.	寝た子を起こすな。
Let's write in turns.	順番に書きましょう。
Aren't you ready?	準備はまだ出来ていませんか。
The letter was written.	手紙は書かれた。
Try it out yourself.	自分で使ってみなさい。
I'm killing time.	時間をつぶしているだけです。
All of us are happy.	私達はみんな幸せです。
I have trust in him.	私は彼を信頼している。
I ran a race with him.	私は彼と競走した。
I had a race with him.	私は彼と競争した。
I waited and waited.	私は待ちに待ちました。
I tried to run fast.	私は速く走ろうとした。
I was in good spirits.	私は上機嫌だった。
I met him by chance.	私は偶然彼に出会った。
Let us go, please.	私たちを行かせてください。
I do a lot of worrying.	私、心配性です。
I'm applying for a job.	仕事に応募する。
Manners make the man.	行儀作法が人を作る。
Turn back, please.	後ろ向きになってください。
Go back to your seat.	君の席に戻りなさい。
Please stay close by.	近くにいてください。
Don't worry about it.	気にしないでいいよ。
The sea is not clear.	海がはっきりしない。
I'll buy you a drink.	一杯おごりましょう。
Everyone likes her.	みんなは彼女が好きです。
Please keep in touch.	またお便りください。
My film has run out.	フィルムがなくなった。
How beautiful it is!	なんと美しいんだろう。
What a fine day it is!	なんて晴れた日だ。
Nancy likes music.	ナンシーは音楽が好きです。
What's wrong with me?	どこが悪いのですか。
Let me pass, please.	どうぞ通してください。
Please step inside.	どうぞ中へお入り下さい。
It's no use on earth.	てんで役にたたない。
Check in, please.	チェックインをお願いします。
Can I check in now?	チェックインできますか。
That would be fine.	それで結構だと思います。
The dog began to run.	その犬は走り始めた。
I had a fine old time.	すごく面白かった。
This is Mary's dog.	これはメアリーの犬です。
Am I on the right road?	この道でいいの？
Is this seat taken?	この席は空いていますか？
Look at this picture.	この絵を見て下さい。
Look at the picture.	この絵をごらんなさい。
Carlos turned round.	カルロスは振り返った。
Just water, please.	お水だけでけっこうです。
The dog followed me.	いぬが後についてきた。
How old is that dog?	あの犬はいくつですか。
Look at that picture.	あの絵を見てごらん。
Are your eyes bad?	あなたは目が悪いのですか。
Do you like music?	あなたは音楽が好きですか。
Do it yourself.	あなたが自分でそれをやりなさい。
It's a proven fact.	これは証明済みの事実だ。
I had my eyes checked.	目の検査を受けた。
I don't trust anyone.	私は誰も信用しない。
Am I on the wrong road?	道間違えたかな？
Everyone experiences it.	誰もが経験をする
I am in charge of it.	わたくしが管理をします
It's much faster to buy.	買う方が断然早い
It's only limited to X.	それはXに限ります
Can we talk in private?	話があるんだけど。
Keep in touch, please.	連絡してくださいね。
Check back next week.	来週またご来店下さい。
He had one daughter.	彼には娘が１人いました。
My sister has a job.	妹は仕事を持っています。
I like dogs very much.	僕は犬が大好きです。
I will make you happy.	僕は君を幸せにする。
I'm wrong, am I not?	僕は間違っていますよね？
I'll cover for you.	僕が証人になってあげるよ。
Wait in line, please.	並んでお待ちください。
She kept her eyes off.	彼女は目をそらした。
She made him happy.	彼女は彼を幸せにしました。
She looks very happy.	彼女は大変嬉しそうだ。
She is my elder sister.	彼女は私の姉です。
She looks happy.	彼女は嬉しそうな顔をしています。
She understands music.	彼女は音楽がわかる。
She's Tom's sister.	彼女はトムのお姉さんです。
She's very beautiful.	彼女はたいした美人だ。
You can't trust him.	彼を信用しちゃいけない。
They are all dead.	彼らは皆死んでしまっていた。
He had a kind manner.	彼は親切な態度だった。
He seems a kind man.	彼は親切な人のようです。
He was in good spirits.	彼は上機嫌だった。
He wrote me a letter.	彼は私に手紙を書いた。
He cut me dead.	彼は私に会っても知らんふりをした。
He seems to be happy.	彼は幸福であるようだ。
He lived a happy life.	彼は幸せに暮らした。
He will join us later.	彼はあとから来るよ。
It seems that he's fine.	彼は元気らしい。
He is hard to please.	彼は気難しい人である。
He crossed over the sea.	彼は海を渡った。
How fast he runs!	彼はなんて速く走るのでしょう。
How fast he runs!	彼はなんて早く走るんでしょう。
He drives very fast.	彼はとても速く運転する。
He seems quite happy.	彼はとても幸福そうだ。
He has two daughters.	彼には2人の娘がいる。
He loves dogs above all.	特に犬が好きだ。
Let's join hand in hand.	提携しましょう。
What does it contain?	中に何が入ってますか。
Did anyone call me up?	誰からか電話あった？
Who wrote this book?	誰がこの本を書いたのか。
It has become very cold.	大変寒くなった。
Take care of yourself.	体に気を付けなさい。
He is probably dead.	多分彼は死んだのだろう。
Truth is time's daughter.	真理は時の娘。
Let sleeping dogs lie.	触らぬ神に祟りなし。
Make yourself at home.	勝手に何でも使って。
The wound won't close.	傷がふさがりません。
The heat told on him.	暑さが彼にはこたえた。
Do I need an operation?	手術が必要ですか。
We are husband and wife.	私達は夫婦です。
Please call me Joe.	私をジョーと呼んで下さい。
I like light colors.	私は明るい色が好きです。
I ran out of breath.	私は息を切らせて走った。
I lead a happy life.	私は幸福な生活を送った。
I am far from happy.	私は幸福どころではない。
I bought an old car.	私は古い車を買いました。
I like dogs very much.	犬がとても好きです。
I'm going to the bank.	私は銀行に行きます。
I might be wrong.	私は間違っているかもしれない。
I have a bad cold.	私はひどい風邪を引いている。
I stressed the point.	私はその点を強調した。
I have a big dog.	私はおおきい犬を飼っています。
Please answer me.	私の言うことに答えてください。
Where are my glasses?	私の眼鏡はどこですか。
Bring me my glasses.	私のめがねを持ってきて。
Please give me a call.	私に電話して下さい。
I have two daughters.	私には娘が２人います。
Leave me alone, please.	私にかまわないで。
Do you have any sisters?	姉妹がいますか。
Is this seat taken?	このイスはあいていますか。
Don't phone her now.	今彼女には電話しないで。
The wind is cold today.	今日は風が冷たい。
It is very cold today.	今日はとても寒いね。
Please take this seat.	腰を掛けてください。
Are you ready to go?	行く用意ができているか。
I'm fine. How about you?	元気だよ、君は？
Ken has a white dog.	健は白い犬を飼っている。
You wrote this book?	君がこの本を書いたって？
I met her by chance.	偶然、彼女にあったんだ。
I met her by chance.	偶然、彼女と会ったんだ。
Please go to the bank.	銀行に行って下さい。
Please turn over.	逆さまに向きを変えてください。
Send me the account.	鑑定書を送ってください。
It's a beautiful day!	わあ、いい天気だなー。
They all looked happy.	みな幸福そうだった。
I'll gain weight again!	また太ってしまう！
I'm not ready yet.	まだ準備ができていないんだ。
I sort of like him.	まあ、嫌いでもありません。
Please make the bed.	ベッドを直してください。
