Perfect!	完璧だ！
My brother did.	弟が描きました。
Eat everything.	全部食べなさい。
I want the fan.	扇風機がほしい。
Time flies.	時のたつのは早いものだ。
I thank you.	私はあなたに感謝する。
This is my bag.	私のかばんです。
We got ready.	私たちは用意をした。
How time flies!	光陰矢のごとし。
Hold the door.	戸を押さえてくれ。
Blood will tell.	血は争えない。
Enjoy your trip.	楽しい旅行を。
Some were late.	何人か遅刻した。
Ask me anything!	何でも聞いて！
Is anything up?	何かあったかい。
How about a drink?	一杯どう？
Have a safe trip.	安全な旅を。
Aoi dances.	葵さんはダンスをします。
Enjoy your trip.	よい旅行をね。
Have a nice day.	よい一日をね。
Drop me a line.	またメール頂戴。
Balls are round.	ボールは丸い。
Open the door.	ドアを開けなさい。
The door opened.	ドアが開いた。
It is necessary.	それは必要だ。
I don't agree.	そうは思いません。
Is that a cat?	あれはネコですか。
I can only wait.	待つしかない。
I give advice.	私がアドバイスをする
It is necessary.	必要が御座います
I draw a card.	私がカードを１枚引く
Care killed a cat.	病は気から。
She's on a roll.	彼女好調ですね。
She is a doctor.	彼女は医者です。
Don't trust him.	彼を信用するな。
He was ruled out.	彼は問題外だ。
His blood is up.	彼は怒っている。
He can't count.	彼は数えられない。
He is on a roll.	彼は順風満帆だ。
He walked home.	彼は家まで歩いた。
He eats a lot.	彼はたくさん食べる。
He killed him.	彼はその男を殺した。
I have no idea.	全然わかりません。
I've had enough.	十分頂きました。
I can't reach it.	手が届かない。
I saw nothing.	私は何も見なかった。
I have an idea.	私には考えがある。
Have a nice time.	楽しんで来て。
How is everyone?	皆さんはお元気？
Summer has come.	夏がやってきた。
Have a nice trip!	よいご旅行を。
Hi! What's new?	やあ、調子はどう。
I'll call later.	また電話します。
What's happening?	どう、調子は？
See you later!	では又会いましょう。
Count me in.	それに私も加えておいて。
Grow up, Joe.	ジョー、大人になれよ。
Let's rest here.	ここで、休もう。
I broke a glass.	グラスを割った。
Turn off the gas.	ガスを止めろ。
Where is mother?	お母さんはどこ。
Please be seated.	お座り下さい。
Nothing special.	いや特にないわ。
Happy Easter!	イースターおめでとう。
Thanks, Yukina.	ありがとう、雪名。
I want that bag.	あの鞄が欲しい。
X is almost gone.	Xがほとんど無い
I have a son.	私には、息子が一人います
My mother said 〜	〜と母が申しました
Be my guest.	ご遠慮なくお使いください。
Let's take a trip.	旅行に行こう。
The tree fell down.	木が倒れた。
Dreams come true.	夢はかないます。
She looks happy.	彼女は幸せそうだ。
Is she a doctor?	彼女は医者ですか。
He gave a ball.	彼は舞踏会を催した。
He keeps a cat.	彼は猫を飼っている。
He was ruled out.	彼は除外された。
He comes on strong.	彼は強気だ。
His eyes are blue.	彼の目は青い。
I need his help.	彼の助けが必要だ。
Give me half of it.	半分よこせ。
It's a nice day.	天気のよい日です。
We must not be late.	遅れるな。
I'm late, aren't I?	遅れたかな？
The earth is round.	地球は丸い。
Who painted it?	誰が描いたのですか。
How you've grown!	大きくなったね。
I'll wait for you.	待ってあげる。
You're quite right.	全くですね。
Care killed a cat.	心配は身の毒。
Drop me a line.	手紙を出しておくれ。
I got my hair cut.	私は散髪した。
I'm very happy.	私はとても幸福です。
He is my brother.	彼は私の兄です。
I have a dream.	私には夢があります。
Drop me a line.	私にお便りください。
We are doctors.	私たちは、医者です。
It's cool today.	今日は涼しいです。
Blood will tell.	血は争えぬものだ。
Have a nice trip!	楽しいご旅行を。
The sea is down.	海が静かになった。
The summer is over.	夏は過ぎた。
I'll do anything.	何でもするから。
What happened?	何が起こったのですか。
What is happening?	何かあったの？
Let's take a rest.	一休みしよう。
Give me some skin!	握手しようぜ！
All were happy.	みんなが喜んでいた。
Why were you late?	なぜ遅れたの？
Tony was happy.	トニーは幸せでした。
Nice to meet you.	どうぞよろしく。
See you later!	ではまた会いましょう。
Drink it down.	それを飲み込みなさい。
This lake is deep.	この湖は深い。
Let's rest here.	ここで少し休もう。
I have gas.	お腹にガスがたまっています。
I usually walk.	いつも歩いています。
That is his car.	あれは彼の車です。
Look at the cat.	あの猫を見なさい。
We're almost there.	あと一息だ。
He performs well.	彼がいい動きをする
Two X are packed.	Xが二つ入ってます
We enjoy talking.	話を楽しんでいる。
Happy New Year!	明けましておめでとう。
It is nothing to me.	無関係です。
I agree with you.	僕は君と同意見だ。
The wind has fallen.	風が凪いだ。
She was graded up.	彼女は昇格した。
They seem happy.	彼らは幸せそうです。
They are doctors.	彼らは、医者です。
He is a good doctor.	彼は名医だ。
He is a work horse.	彼は働き者だ。
He drank a little.	彼は少し飲んだ。
He did his best.	彼は最善をつくした。
He looks strong.	彼は強そうにみえる。
He died of cancer.	彼は癌で死んだ。
How he eats!	彼は何とよく食べるのだろう。
How strong he is!	彼は何て強いんだ。
He got the ball.	彼はボールを取った。
Keep early hours.	早寝早起きをする。
The fight is over.	戦いは終わった。
Every man in his way.	人に一癖。
Let's go to eat.	食事に行きましょう。
The floor gave way.	床が崩壊した。
A shot rang out.	銃声がひびき渡った。
I walk every day.	私は毎日歩きます。
I agree with him.	私は彼に賛成です。
I agree with you.	私は君に同意する。
I am a cat person.	私はネコ派です。
Take my advice!	私の忠告に従いなさい。
There is no choice.	仕方がないよ。
Just finished it.	仕上がったばかり。
Let's take a walk.	散歩しましょう。
I booked a seat.	座席を予約しました。
Get along with you!	行ってしまえ！
You are doctors.	貴方達は、医者です。
You are a doctor.	貴方は、医者です。
Nice seeing you!	会えて嬉しかったよ。
I listen to music.	音楽を聴きます。
Are drinks free?	飲み物は無料ですか。
I was made to drink.	飲まされた。
How happy I am!	わたしはとても楽しい。
The damage is done.	もう手遅れだ。
No pets allowed.	ペット持ち込み禁止。
I'll be along soon.	すぐ行きます。
Have a nice day.	じゃーな、楽しめよ。
May you be happy!	ご多幸を祈ります。
I'd rather not.	ご遠慮させてください。
This is my choice.	これを選びます。
This is my bag.	これは私のかばんです。
This doesn't fit.	これは合いません。
This is a painting.	これは絵画だ。
This is a hospital.	ここは病院だ。
Turn off the gas.	ガスを止めなさい。
You are drunk!	お前、酔っぱらってるよ！
It's too late now.	いまさら遅いよ。
Be nice to Ann.	アンに親切にしなさい。
That is his house.	あれは彼の家だ。
I agree with you.	あなたに同感です。
That's a good idea!	良い考えだね！
He broke his word.	彼は約束を破った。
Turn the volume up.	音を大きくして。
Have a nice vacation.	良い休暇を。
Have a nice flight.	良いフライトを！
It has cooled off.	涼しくなりました。
We keep late hours.	夜更かしをする。
His dream came true.	夢が実現した。
Looks really nice.	本当においしそう。
My mother is out.	母は外出しています。
It's a short walk.	歩いてすぐですよ。
Up against the wall!	壁に手をつけ！
The wind died away.	風がおさまった。
His face cleared.	表情が明るくなった。
She became happy.	彼女は幸福になった。
She looks happy.	彼女は幸せに見えます。
She likes wine.	彼女はぶどう酒が好きだ。
She has short hair.	彼女の髪は短い。
Her hair is long.	彼女の髪の毛は長い。
You can trust him.	彼を信用していい。
Get off his back.	彼への非難をやめろ。
He waits on her.	彼は彼女に仕えている。
He is in hospital.	彼は入院している。
He is a fast speaker.	彼は早口だ。
He can be trusted.	彼は信用できます。
He is a good shot.	彼は射撃がうまい。
He is always cool.	彼はいつも冷静だ。
He's the oldest son.	彼は長男です。
Is his story true?	彼の話は本当かな。
What is his name?	彼の名前は何ですか。
What is his age?	彼の年はいくつですか。
He can be trusted.	彼なら間違いない。
Horses are animals.	馬は動物である。
Have a nice holiday.	素敵な休日を。
Thank you, Doctor.	先生、ありがとう。
Please explain it.	説明してください。
I'm more than happy.	十分に幸せだ。
Have you finished?	終わったのですか。
Let me step inside.	私を受け入れて。
I was an outsider.	私は部外者だった。
I let in the cat.	私は中へ猫を入れた。
I'm late, aren't I?	私は遅刻ですね。
I walk to the park.	私は公園に歩く。
I agree with you.	私は君と同意見です。
I can but wait.	私はただ待つだけの事だ。
I agree with you.	私はあなたに賛成だ。
Where is my seat?	私の席はどこですか。
Let's take a walk.	散歩をしましょう。
How was your walk?	散歩はどうだった？
How about a walk?	散歩に行きませんか。
Excellent reviews.	最高の舞台だった。
Let me finish.	最後まで言わせてください。
I saw him recently.	最近彼に会った。
He died recently.	最近彼が亡くなった。
I'm very happy now.	今とても幸せだ。
Ken looks happy.	健は楽しそうに見える。
My brother is out.	兄はいま留守です。
Grand opening sale.	開店大売り出し。
Do you like summer?	夏は好きですか。
Anything will do.	何でもけっこうです。
What would happen?	何が起こるだろう。
Have you finished?	もう終えましたか。
It is almost three.	もうすぐ３時だ。
Have you finished?	もうお済みですか。
I like pop music.	ポップスが好きです。
We'll paint it.	ペンキを塗るからいいわ。
The paint is off.	ペンキがはげている。
Betty killed him.	べティは彼を殺した。
Have a nice trip!	どうぞよいご旅行を。
I usually walk.	たいてい歩いて行きます。
Cut it in half.	それを半分にきりなさい。
What a good idea!	そいつはいい考えだ。
Can I eat this?	これを食べていいですか。
Cancer took him.	ガンが彼の命を奪った。
That's a good idea!	いい考えですね。
Are you a doctor?	あなたは医者ですか。
"Road under Repair."	「道路工事中」
He actually did X.	彼がXを実際にやった
He drinks at a bar.	彼がバーで酒を飲む
He set a goal.	彼がひとつ、目標を掲げました
Every man to his trade.	餅は餅屋。
It's a beautiful day.	美しい日です。
She looks happy.	彼女は幸せそうに見える。
She got up late.	彼女は起きるのが遅れた。
He walked away.	彼は立ち去って行きました。
He came home safe.	彼は無事に帰宅した。
He is a nice person.	彼はいい人です。
He drew up to her.	彼は彼女に近づいた。
He acts his age.	彼は年齢相応に振る舞う。
He was very happy.	彼は大変幸せだった。
He is now on his own.	彼は自立した。
He changed his job.	彼は仕事を変えた。
He enjoys good health.	彼は健康だ。
He speaks English.	彼は英語を話します。
He is a bad driver.	彼は運転が下手だ。
He opened the door.	彼はドアをあけた。
He has got cancer.	彼はガンにかかった。
He keeps his word.	彼は約束を守る人だ。
His story is true.	彼の話は本当だった。
Keep off the flies.	蝿をたからせるな。
A cat has nine lives.	猫に九生あり。
We mustn't be late.	遅れてはいけない。
Anyone can do it.	誰にでもそれは出来る。
Someone was coming!	誰かがやってきた。
I like none of them.	全て嫌いである。
We have water enough.	水は十分ある。
Happy New Year!	新年おめでとうございます。
I almost believe you.	信じるとこよ。
I am playing it safe.	事なかれ主義。
We started to walk.	私達は歩き始めた。
We'll be finished!	私達の仲も終わりね。
I like his music.	私は彼の音楽が好きだ。
I worked on a farm.	私は農場で働いた。
I go to the mountain.	私は山にいく。
I walk to school.	私は学校へ歩いていく。
Get me my glasses.	私のめがねを取って。
Let me repair it.	私に修理させて下さい。
Can I do anything?	私に何ができますか。
We are his sons.	私たちは、彼の息子です。
May you be happy.	御多幸をお祈りします。
I'll call you later.	後で電話するよ。
You broke the rule.	君は規則を破った。
I share your idea.	君と同じ考えをする。
May I take a rest?	休んでもいいですか。
You are beautiful.	あなたたちは美しい。
You are home late.	帰るのが遅かったね。
Have a nice time.	楽しんできてください。
Nothing happened.	何事も起こらなかった。
A man drew near.	一人の男が近づいてきた。
Aoi dances well.	葵さんは上手に踊ります。
We'd better roll now.	もう遅いから。
Nice to see you.	またお会いできて嬉しい。
I'm kind of happy.	ま、ちょっと幸せだ。
The button came off.	ボタンが取れた。
I'm about ready.	ぼくは大体用意ができた。
Happy Halloween!	ハローウィンおめでとう。
What a good idea!	なんていい考えなんだ！
I count on Tom.	トムをあてにしているんだ。
Be my guest.	どうぞご自由に、お使いください。
I watch television.	私はテレビを見る。
A double, please.	ダブルにしてください。
That's common sense.	それは定石だよ。
That's a good idea.	そりゃいい考えだ。
The cat is liked.	その猫は好かれている。
I was happy then.	そのときは幸せでした。
Nice to see you again.	しばらくね。
Jane looks happy.	ジェーンは楽しそうだ。
Who is that woman?	あの女性は誰ですか。
Who is that lady?	あのご婦人は誰ですか。
I'll kill him.	あいつの息の根を止めてやる。
Cats are not human.	猫は人間ではない。
He closed the door.	彼はドアを閉めた。
She has good sense.	彼女は話せる人だ。
He eats it a lot.	彼がそれをいっぱい食べる
X protects my earth.	Xが僕の地球を守る
He gets one ready.	彼がそれを１本用意する
He represents Japan.	彼が日本を代表する
The master allows X.	Xを主が許されます
X is perfect for me.	Xが私にぴったりだ
May I speak to you?	話してもいいですか。
Don't eat too much.	あまり食べ過ぎるな。
I ran into a tree.	木にぶつかったんです。
The dream came true.	夢は本当になった。
I am in deep water.	非常に困っています。
She has a round face.	彼女は丸顔です。
Follow his example.	彼を手本にしなさい。
They respect him.	彼らは彼を尊敬している。
He is a good speaker.	彼は話が上手い。
He is cool, isn't he?	彼は冷静ですね。
He keeps his word.	彼は約束に忠実である。
He closed his eyes.	彼は目を閉じました。
He walks to school.	彼は歩いて通学する。
He is doing his work.	彼は勉強中です。
He ran for his life.	彼は必死に逃げた。
He made her happy.	彼は彼女を幸福にした。
He made her happy.	彼は彼女を幸せにした。
Is he nice to her?	彼は彼女に親切ですか。
He used to drink.	彼は昔、酒を飲んでいた。
He is in his library.	彼は書斎にいる。
He held up his hands.	彼は手を挙げた。
He likes a walk.	彼は散歩が好きに違いない。
He changed his mind.	彼は決心を変えた。
He needed to rest.	彼は休む必要があった。
He writes scripts.	彼は脚本を書いている。
He deals in furniture.	彼は家具屋だ。
He has a strong will.	彼は意志が強い。
He got very drunk.	彼はひどく酔っ払った。
He was very happy.	彼はとても幸せだった。
He ate all of it.	彼はそれをみんな食べた。
He is always happy.	彼はいつも幸せです。
He fired three shots.	彼は３発撃った。
He was shot to death.	彼は射殺された。
His word is law.	彼の命令はそのまま法律だ。
His dream came true.	彼の夢は実現した。
His dream came true.	彼の夢が実現した。
His family is large.	彼の所は大家族だ。
His play was a hit.	彼の芝居は当たった。
He died of cancer.	彼の死因はガンだった。
I have to eat, too.	背に腹は代えられぬ。
They'll kill me.	奴等に殺されてしまいます。
It's nice and cool.	天候もよいし涼しい。
The earth is a ball.	地球は球体である。
It is in the kitchen.	台所にあります。
Need anything else?	他に何かいりますか。
Move along, please.	前に進んでください。
Move along, please.	前に行ってください。
I've known it all along.	先刻承知。
When shall we eat?	食事は何時にしようか。
Where did it happen?	場所はどこですか。
You had best agree.	承諾するのが一番だ。
In fact, I am happy.	実際幸せなのです。
Nothing is missing.	失うものは何もない。
We have enough time.	時間は十分にある。
How time flies!	時間はなんて早く過ぎるんだ。
I ran to my mother.	私は母に駆け寄った。
I made her happy.	私は彼女を幸福にしよう。
I like short hair.	私は短い髪が好きです。
I'm on vacation.	私は今休暇を取っています。
I have one brother.	私は兄が一人います。
I can't do anything.	私は何もできない。
I can speak English.	私は英語が話せる。
I like pop music.	私はポップスが好きです。
I bore this trial.	私はこの試練に耐えた。
I always eat out.	私はいつも外食なんです。
I agree with you.	私はあなたと同意見です。
I don't like summer.	私は夏が嫌いです。
Come along with me.	私についてきなさい。
Come along with me.	私と一緒に来なさい。
We speak Japanese.	私たちは日本語を話す。
Eat and drink up.	残さず飲んで食べなさい。
Are you ready to go?	行く用意はいいか。
Blood will have blood.	血で血を洗う。
The blood ran red.	血があかあかと流れた。
I'll make you happy.	君を幸せにします。
Aren't you happy?	君はうれしくないのかい？
Aren't you happy?	君はうれしくないですか。
You've filled out.	君、少し丸くなったね。
Are seats available?	空席はありますか。
Enjoy your vacation.	休暇を楽しんでね。
Speak your mind.	気持ちを隠さず話しなさい。
Stock prices dropped.	株価が下がった。
Are you enjoying it?	楽しんでいますか。
Have a nice flight.	楽しい飛行機の旅を！
Have a nice vacation.	楽しい休暇をね。
The sea is very wide.	海はとても広い。
I need first aid.	応急処置をお願いします。
I feel like a drink.	一杯やりたいなあ。
Turn up the volume.	もう少し大きくして。
Boys! Now listen.	みんな。さあ聞きなさい。
I know nothing yet.	まだ何も知りません。
I have an idea.	ひとつ、意見があるんですが。
Why were you late?	なぜ遅刻したのですか。
Any seat will do.	どの席でもかまいません。
What's the difference?	どう違うのだ。
I feel like a rest.	ちょっと休憩したい。
Let's take a rest.	ちょっと一休みしよう。
Not quite what I want.	ちょっとねえ。
Don't walk so fast.	そんなに速く歩くな。
It came to nothing.	それは無駄になった。
The ship is at sea.	その船は航海中です。
The switch is off.	スイッチは切れている。
Jim put his hand up.	ジムは手を挙げた。
Jane looks happy.	ジェーンは幸福そうです。
The ball is with you.	さあ、君の番だ。
Carry this for me.	これを運んでください。
This isn't my bag.	これは私の鞄ではない。
This is my brother.	この人は私の兄です。
Koko chose the tree.	ココは木を選んだ。
You make me happy.	きみは僕を幸せにする。
How's your mother?	お母さんの具合はどう？
Nice to meet you.	お会いできて嬉しいです。
Emi looks happy.	エミは幸せそうに見えます。
AIDS has broken out.	エイズが発生した。
It's too late now.	いまからでは遅すぎる。
I'm getting happy.	いい気分になってきた。
Who is that woman?	あの女の人は誰ですか。
I'll call you later.	あとで電話します。
Count up to thirty.	３０まで数えなさい。
He left an hour ago.	１時間前に出たよ。
Please have a seat.	どうぞおかけ下さい。
There's no evidence.	証拠がありません。
I won't tell anyone.	誰にも言わないよ。
I'll call you later.	あとで電話するね。
Someone thought that 〜	〜と誰かが思った
I feel wind on my skin.	風を肌に感じる
X will really happen.	Xが現実に起きます
My parents are old.	両親は歳を取っている。
Let's dance, shall we?	踊りましょうか。
The medicine has worked.	薬が効いた。
All the seats are booked.	満席です。
Fill it up, please.	満タンでお願いします。
I'm really up a tree.	本当にお手上げだ。
I'm bad at sports.	僕はスポーツが苦手です。
I walked to school.	歩いてやってきました。
The wind has died down.	風が静まった。
She became a doctor.	彼女は医者になった。
Be nice to her.	彼女に優しくしてあげなさいよ。
She has no brothers.	彼女に兄弟はいない。
She opened the door.	彼女はドアを開けた。
He held up his hands.	彼は両手をあげた。
He hit an easy fly.	彼は凡打を打ち上げた。
He walks to school.	彼は歩いて学校へ行く。
He flew to Paris.	彼は飛行機でパリへ飛んだ。
He has brown eyes.	彼は茶色の目をしている。
He drinks like a fish.	彼は大酒飲みだ。
He dropped his voice.	彼は声をおとした。
He is a man of ability.	彼は手腕家だ。
He took his book.	彼は自分の本を手に取った。
He blocked my way.	彼は私の行く手を遮った。
He has left his family.	彼は家をでた。
He is a future doctor.	彼は医者の卵だ。
He held out his hand.	彼は握手を求めた。
He speaks French.	彼はフランス語を話します。
He has a nice build.	彼はスタイルがいい。
He is certain to come.	彼はきっと来る。
He's gone to his rest.	彼は、永眠した。
His car is a Ford.	彼の車はフォード製です。
I agree to his plan.	彼の計画に賛成する。
His family is large.	彼の家族は大家族だ。
My hair has grown out.	髪が伸びてきた。
What about farming?	農業はどうでしょうか。
The battery died.	電池がだめになっちゃった。
And so does my brother.	弟もそうです。
Can I call directly?	直接電話できますか。
I'll give you a shot.	注射をしましょう。
Everyone loves him.	誰もが彼を愛している。
Anyone can do it.	誰にだってそれはできます。
Stand on the scales.	体重計に乗りなさい。
You're quite right.	全く君が言うとおりだ。
It's quite all right.	全くかまいません。
The ship was at sea.	船は航海中であった。
Go back to your seat.	席にもどりなさい。
Thanks for everything.	色々ありがとう。
The evidence is clear.	証拠は明らかだ。
Don't pick at me.	小言を言わないでください。
Nice to meet you, Ken.	初めましてケン。
I am all but ready.	準備はほぼできている。
Spring will be late.	春も遅れるでしょう。
They that hide can find.	蛇の道は蛇。
Every Jack has his Jill.	似た者夫婦。
We saw her dance.	私達は彼女のダンスを見た。
I really enjoyed it.	私は本当に楽しんだ。
I agreed with her.	私は彼女と意見があった。
I got my hair cut.	髪を切ってもらったんだ。
I like a garden tree.	私は植木が好きだ。
I can't take the heat.	私は暑さに弱い。
I carried on my work.	私は仕事を続けた。
I got my hair cut.	私は散髪をしてもらった。
I'll join you later.	私は後から行きます。
I would like to draw.	私は絵を描きたい。
I have one brother.	私は一人の弟がいます。
I made John happy.	私はジョンを幸福にした。
I waited for a time.	私はしばらく待った。
I hit on an idea.	私はある考えを思いついた。
My dream comes true.	私の夢はかないます。
I am sure of success.	私には成算がある。
Won't you take a chair?	座りませんか。
There's no wind today.	今日は風がない。
The rest is left to you!	後は任せた！
I'll do it later on.	後でやっておきます。
Cash or charge?	現金ですか、クレジットですか。
It's a beautiful job.	見事な作品ですね。
I have an older brother.	兄がいます。
You are strong-minded.	君は意志が強い。
Here is your bag.	君のかばんはここにあるよ。
Enjoy your holidays.	休日を楽しみなさい。
Shall we take a rest?	休憩しましょうか。
Do you speak English?	英語を話しますか。
What should I eat?	何を食べたらいいですか。
What do you suggest?	何がおいしいですか。
I love that chair.	俺のお気に入り椅子だぞ。
Let's speak English.	英語を話しましょう。
Don't drink and drive.	飲んだら乗るな。
What'd the doctor say?	医者は何だって？
It seemed to be cheap.	安いようでした。
Do you eat out often?	よく外食しますか。
Of course I'll wait.	もちろん待ちますよ。
I can't wait any more.	もう待てないよ。
Let me see a menu.	メニューをお願いします。
Everyone loves Mac.	みんなマックが好きだ。
Everyone thinks so.	みんなそう思うだろう。
Listen, all of you.	みなさん、聞きなさい。
My, but you're nice.	まあ、すばらしいわ。
Bob is a nice person.	ボブはいい人です。
Don't give up the fight.	ファイトだ。
May I speak to Bill?	ビルをお願いします。
I need a police car.	パトカーが必要です。
Have a nice flight.	どうぞ楽しい空の旅を。
Do you like dancing?	ダンスは好きですか。
Just keep on walking.	ただ歩き続けてね。
That is a good idea.	それは良い考えです。
It fell to pieces.	それはばらばらになった。
That's a good idea.	それはいいアイデアだ。
The car is ready.	その車は整備が済んでいる。
It will be ready soon.	すぐに出来ます。
Jim opens the door.	ジムがドアを開けます。
I'll find one later.	これから見つけます。
Fill in this form.	この用紙に記入しなさい。
This job eats money.	この事業は金を食う。
This string is strong.	このひもは強い。
Where on earth was I?	ここは何処だろう。
Anything goes here.	ここでは何でも起こる。
I can wait for you.	お前のこと待ってるよ。
Please take your seat.	お掛けください。
My mother is active.	うちの母は活発です。
Thank you, brothers.	ありがとうブラザー。
Thanks, I'm fine.	ありがとう、もう結構です。
Which is your bag?	あなたの鞄はどれですか。
He shot at me.	あいつ僕をめがけて撃ったんだよ。
It took half an hour.	３０分で着いたよ。
Let me buy you a drink.	１杯おごろう。
I felt very happy.	私はとても幸福に感じた。
Use that as the base.	それをベースにします
He has mastered X.	彼がXをしっかり身に付けた
Everyone enjoyed X.	Xをみんなが楽しみました
I'm looking forward to X.	Xが楽しみだ
The wind is picking up.	風が段々強くなる
Practice makes perfect.	練習は熟達の道。
I had a good idea.	良いアイデアが思いついた。
Many trees fell down.	木がたくさん倒れた。
Have everything ready.	万事用意しておけ。
Everything is ready.	万事準備ができました。
When can we eat?	僕らはいつ食事ができるのかな。
Is it too far to walk?	歩くと遠いですか。
The wind grew stronger.	風が強くなった。
The wind has died down.	風がやみました。
Beauty is but skin deep.	美貌は皮一重。
Beauty is only skin deep.	美は皮一重。
She is a bad speaker.	彼女は話が下手です。
She has long hair.	彼女は長い髪をしています。
She got quite well.	彼女は大変元気になった。
She was kind enough.	彼女は十分親切でした。
She has no brothers.	彼女には兄弟はいない。
I am friendly with her.	彼女と仲がよい。
She came to my aid.	彼女が助けに来てくれた。
They must be happy.	彼らは幸せにちがいない。
He found his parents.	彼は両親を見つけた。
He's away on a trip.	彼は旅行に出て留守だ。
He set out on a trip.	彼は旅行に出かけた。
He fell from the tree.	彼は木から落ちた。
He presented his card.	彼は名刺を出した。
He acted on the stage.	彼は舞台に立った。
He acted on the stage.	彼は舞台で演じた。
He fell off the horse.	彼は馬から落ちた。
He often comes late.	彼は度々遅れてきます。
He is second to none.	彼は誰にも負けない。
He kept early hours.	彼は早寝早起きをした。
He has no common sense.	彼は常識がない。
He held out his hand.	彼は手を差し出した。
He waited his turn.	彼は自分の順番を待った。
He worked his way up.	彼は次第に出世した。
He walked before me.	彼は私より先に歩いた。
He's stronger than you.	彼は君より強い。
He is an all-round man.	彼は何でも屋だ。
He is not a doctor.	彼は医者ではありません。
He can no longer wait.	彼はもう待てない。
He keeps two cats.	彼は、二匹猫を飼っている。
He has a deep voice.	彼の声には底力がある。
What is his business?	彼の商売は何ですか。
He is quite right.	彼の言うことは全く正しい。
You may speak to him.	彼に話しても良いよ。
Tell him to wait.	彼に待つように言って下さい。
He had three sons.	彼には三人の息子があった。
He is easy to reach.	彼にはたやすく会える。
He and I are brothers.	彼と私は兄弟です。
Carry your head high.	背筋を伸ばしなさい。
How far along are you?	妊娠何か月ですか。
The telephone was still.	電話が切れた。
How does it fit you?	着心地はいかがですか。
I didn't meet anyone.	誰にも会わなかった。
They are in the kitchen.	台所にいます。
A nice room, isn't it?	素敵な部屋ですね。
The ships reached port.	船は港に着いた。
Still waters run deep.	静かな流れは深い。
I wish you success.	成功の喜びをかみしめる。
It's OK not to eat it.	食べないでいいよ。
Aren't you ready?	準備はまだ出来ていませんか。
Practice makes perfect.	習うより慣れろ。
I'm killing time.	時間をつぶしているだけです。
The game was drawn.	試合は引き分けになった。
All of us are happy.	私達はみんな幸せです。
I have trust in him.	私は彼を信頼している。
I do not have a cat.	私は猫を飼っていない。
I waited and waited.	私は待ちに待ちました。
I keep a female cat.	私は雌猫を飼っている。
I like taking a walk.	私は散歩が好きです。
I can't see anything.	私は何も見えません。
I can speak English.	私は英語をしゃべれる。
I counted up to 200.	私は２００まで数えた。
