I know.	分かってる。
He set off to Paris.	彼はパリへ発った。
He's over thirty.	彼は３０歳を越えている。
He took a day off.	彼は１日休みをとった。
Didn't you know that?	知らなかったの？
If only I knew!	知っていればさえいればなぁ。
Who helps her?	誰が彼女を手伝ってくれますか。
Give it all you've got.	全力でやれ。
I'll buy a new one.	新しいものを買おう。
I don't like her.	私は彼女を好きではない。
I know her well.	私は彼女をよく知っている。
I don't like her.	私は彼女が好きではない。
I know who he is.	私は彼が誰か知っている。
I don't know that.	私はそれを知りません。
I don't know you.	私はあなたを知りません。
I bought a Picasso.	ピカソの絵を買った。
Tom is a good worker.	トムはよく働く。
Don't give me that.	そんなこと言うなよ。
Oh, off with you.	さあ、あっちへ行ってよ。
No, I changed it.	おかしくない。変更した。
We have good news.	いい知らせがあります。
Do you know me?	あなたは私を知っていますか。
You go to school.	あなたは学校へ行きます。
$8.50, please.	８ドル５０セントいただきます。
I'll be back at ten.	１０時に帰ります。
They are well off.	彼らは暮らし向きがいい。
He knows no English.	彼は英語を知らない。
He's up to no good.	彼は悪事を働いている。
He bought a Honda.	彼はホンダの車を買った。
I'd like to see her.	私は彼女に会いたい。
I have the video.	私はビデオを持っています。
I look up to you.	私はあなたを尊敬している。
Do you know kabuki?	歌舞伎はご存じですか。
What is over there?	何がそこにありますか。
We're goin' home.	やっと帰る気になったのさ。
I'll buy a Ford.	フォード車を買うつもりです。
How should I know?	どうして私が知ってるの？
When did you buy it?	いつそれを買ったの。
That is our school.	あれは私達の学校です。
Do you know us?	あなたは私たちをご存知ですか。
I bought one of them.	それを１つ買いました
They gave it to me.	彼らはそれを私に与えた。
He set up in business.	彼は商売を始めた。
He was ordered home.	彼は帰国を命じられた。
He set up the school.	彼は学校を設立した。
What did he look up?	彼は何を見物したのか。
I am going to school.	登校するところです。
Will you give me some?	少しくれませんか。
School is over now.	授業はもう終わりました。
I was looking at her.	私は彼女を見ていた。
Not that I know of.	私の知る限りではないね。
We set out for home.	私たちは家路についた。
What shall I do next?	今度は何をしようか。
Look. This is natto.	見て、これは納豆です。
Monday's not good.	月曜日は都合が悪いんです。
We looked about us.	我々は周りを見まわした。
What are you looking at?	何を見てるの？
Can you get a day off?	一日休みとれるの？
I don't like any of them.	みんな嫌い。
I know only this.	ぼくはこれだけしか知らない。
Nancy likes music.	ナンシーは音楽が好きです。
Judy looked at me.	ジュディーさんは私を見た。
This is the last time.	これが最後だから。
Good to see you.	お目にかかれて嬉しかったです。
When did you get back?	いつ戻ってきたの？
When did you get back?	いつ帰って来たの？
When will you be back?	いつ帰ってくるの？
Don't give me that!	いいかげんな話はやめろ。
Do you like music?	あなたは音楽が好きですか。
You should know it.	自分でもわかってるくせに。
It's all over with her.	彼女はもうだめだ。
I'd like to see her.	彼女にお目にかかりたい。
Will you help them?	彼らを助けるつもりですか。
They set up a school.	彼らは学校を設立した。
He is a little high.	彼は酔って少しご機嫌だ。
What shall I do next?	次に何をしましょうか。
Don't make little of me.	私を甘く見るな。
I know what to do.	私は何をすべきか知っている。
I'm looking for you.	私はあなたを探している。
I've given up on you!	君には愛想がつきたよ。
When is school over?	学校はいつ終わりますか。
At last, we were home!	やっと帰ってきたぞ！
It's all over for us.	もう我々はおしまいだ。
Give me just a little.	ほんの少しください。
How should I know?	どうして僕が知っているんだ。
How should I know?	どうして私が知っていようか。
Give it to me, please.	それを私にください。
I will give it to you.	それをお前にやろう。
It is hers, is it not?	それは彼女のですね。
Here's to your health!	ご健康を祝して乾杯。
You're out of it.	お前、何だかボーっとしてるよ。
Do you know them?	あなたは彼らを知っていますか。
I will be back by nine.	９時までには戻る。
I didn't order this.	これは注文していません。
He works at a company.	彼が会社で仕事をします
He goes out of the store.	彼が店の外に出る
I know her by name.	彼女の名前だけは知っている。
He is well off now.	彼は現在は暮らし向きがよい。
He is given to music.	彼は音楽にふけっている。
He set up the school.	彼はその学校を創立した。
He set up the school.	彼はその学校を設立した。
Your Japanese is good.	日本語がお上手ですね。
What's your day off?	店の休みの日はいつですか。
You'd better back off.	手を引いた方がいいよ。
I don't know what I am.	自分自身が解らない。
Look at the next page.	次のページを見なさい。
I can't make her out.	私は彼女が理解できない。
I know all of them.	私は彼らの全部を知っている。
I'm looking for work.	私は仕事を探しています。
I do not go to school.	私は学校へ行きません。
I know what to do.	私は何をすべきかを知っている。
I didn't know that.	私はそのことを知らなかった。
All of us like her.	私たちみんな彼女が好きです。
I'd like a city map.	市内地図がほしいのですが。
I'm on top of the world.	幸福の絶頂にいる。
Get back, get back!	帰っておいで帰っておいでよ。
What are you reading?	何を読んでいるんですか。
What are you looking at?	何を見ているのか。
What made her do so?	何が彼女をそうさせたのか。
Well, here we are at last!	やっと着いた。
How did you get them?	どうやって手に入れたの？
How should I know?	どうしてわたしが知ってようか。
What's that look for?	その顔は、どういう意味？
Jim can read Japanese.	ジムは日本語が読める。
But you're not there.	しかし君はそこにいない。
Can I take a message?	ご伝言を伺いましょうか。
When did you see her?	いつ彼女にあいましたか。
He bought a watch/clock.	彼が時計を買いました
X is good for your health.	Xが体にやさしい
We had some time off.	ゆっくり時間を過ごせました
No news is good news.	便りがないのは良い知らせ。
What made her do so?	彼女はなぜそうしたのですか。
I'd like to see her.	彼女にお会いしたいのですが。
He gave in to my views.	彼は私の意見に屈した。
I don't know who he is.	彼が誰だか知りません。
Do you know who he is?	彼が誰か知っていますか。
I don't know French.	私はフランス語を知りません。
Goro is good at English.	吾郎は英語が得意だ。
Did you have a good time?	楽しかったですか。
School is over at 3:30.	学校は三時半に終わる。
When will you be back?	何時お戻りになりますか。
What are you looking for?	何を探しているの？
May I take a message?	何か伝えておきましょうか。
What's the good news?	何かいいことありませんか。
What school do you go to?	どこの学生ですか。
Get them out of here!	それをここから持っていけ！
I can read them all.	それら全部読むことができる。
Show me how to do it.	その仕方を教えてください。
May I take your order?	ご注文を承りましょうか。
Would you like to order?	ご注文なさいますか。
This is as good as any.	これ以上のものはない。
He was in the world.	この方はもとから世におられ。
How did Amy look?	エイミーはどのように見えましたか。
When will he be back?	いつ頃お戻りになりますか。
Yours is over there.	あなたのは向こうにあります。
I looked for the OB/GYN.	私が産婦人科探しをした
They are of us, you know.	彼らは我々の仲間だ。
They are going shopping.	彼らは、買い物に行く。
He bought out a business.	彼は店を買い取った。
He made good in business.	彼は商売に成功した。
When did he get back?	彼はいつ帰ってきたのですか。
He set out for Tokyo.	彼は、東京に向けて出発した。
Do you know who he is?	彼が誰だか知っていますか。
You have a message here.	伝言が届いております。
Do you know who made it?	誰が作ったか知ってる？
He made good in business.	商売がうまくいった。
I go to school at seven.	七時に学校に到着する。
What am I to do next?	次に何をしたらよいのですか。
I don't know who he is.	私は彼が誰かを知らない。
I had a good time.	私は楽しいひとときを過ごしました。
I do not like music.	私は音楽が好きではありません。
This is all I know.	私が知っているのはこれだけです。
Taking a little time off?	休みを取っているの？
He was going to school.	学校へ行くところでした。
It's time to go to school.	学校に行く時間よ。
What are you looking at?	何を見ているのですか。
Show me some others.	何か他のものを見せてください。
Don't give up English.	英語をやめてはいけません。
Show me a better one.	もっと上等なのを見せてくれ。
May I have a program?	プログラムをいただけますか。
I got there just in time.	ちょうど間にあった。
Buy it for me, please.	それを私に買ってください。
What good will that do?	それが何の役に立つんだ。
This is all I know.	これが私の知っているすべてです。
I know you can make it.	お前ならうまくやれるよ。
You know who he is.	あなたは彼がだれだか知っている。
When will you be back?	あなたはいつ帰宅しますか。
Well, here we are at last.	ああやっと着いた。
I knew you'd like it.	気に入ってくれると思ってた。
I've been looking for you.	僕は君を捜していた。
They were just in time.	彼らはちょうどまにあった。
They changed the system.	彼らはその制度を改めた。
They're going to Ishikawa.	彼らは、石川に行く。
He made a will last year.	彼は昨年遺書を書いた。
He set about the work.	彼はその仕事にとりかかった。
He won't have a look-in.	彼にとても勝ち目はない。
I don't know who he is.	彼が誰だか私は知りません。
You know some Japanese.	日本語が少し話せるからね。
Little help did I get.	少しの援助も私にはなかった。
Business is looking up.	商売の景気が向上している。
Will you please help me?	手伝ってもらえませんか。
What am I to do next?	次は何をしたらよいでしょうか。
I have no time to read.	私は読書をする時間がない。
I know what to do.	私は何をしたらいいのか知っています。
I know what that is.	私はあれが何であるか知っている。
What about next Sunday?	今度の日曜日はどうですか。
Do you know who he is?	君は彼が誰だか知っているか。
Did you read it at all?	君は一体それを読んだのか。
Did you have a good time?	楽しく過ごしましたか。
We are having a good time.	楽しく過ごしている。
What made her do so?	何で彼女はそんなことをしたのか。
How should I know?	そんなこと、分かるわけないでしょう。
Is this the last price?	これ以上まけられませんか。
This is all I can read.	これが私が読める限界です。
Our TV is out of order.	うちのテレビは調子が悪い。
Please take some of them.	いくつかお取り下さい。
Please don't get up.	どうぞおたちにならないで下さい。
Your o's look like a's.	君が書くｏはａに見えるね。
It's little known.	それがあまり多くの人には知られていない
How high is Mt. Fuji?	富士山の高さはどのくらいですか。
I don't know her at all.	彼女のことは何も知らない。
They set out for London.	彼らはロンドンに出発した。
He took over the business.	彼は仕事を引き継いだ。
He was in time for school.	彼は学校に間に合った。
He knows the city well.	彼はその町をよく知っている。
I have to go shopping.	買い物に行かなければならない。
I don't like all of them.	全てが好きとは限らない。
I have some shopping to do.	少し買い物があるの。
Will you please help me?	手伝っていただけませんか。
Can you order it for me?	取り寄せていただけますか。
I can't make her out.	私は彼女の気持ちが理解出来ない。
I work at this company.	私はこの会社で働いています。
I'd like a map of the city.	市内地図をください。
I'd like a map of the city.	市内案内をください。
How about next Saturday?	今度の土曜日はどうですか。
Do you know Mr Takahashi?	高橋さんをご存知ですか。
What are you looking at?	君は何を見ているのですか。
You should know better.	君はもっと分別をもちなさい。
Can you read this kanji?	君はこの漢字が読めますか。
Show me what you bought.	君が買った物を見せなさい。
Prices are high these days.	近ごろは物価が高い。
I don't know what to do.	何をしてよいかわからない。
You know I can't.	そんな事できないのあなた知ってでしょう。
Do you know that hotel?	そのホテルを知っていますか。
Jane is out shopping.	ジェーンは買い物に出かけている。
I'll take them to Kate.	ケイトの所に持って行くんだ。
That's $7.65, please.	７ドル６５セント、お願いします。
Little is known about X.	Xについて知るところが少ない
I'll be free next Sunday.	来週の日曜なら空いてます。
I don't have time to read.	本を読む暇がありません。
I've been looking for you.	僕は君を探していたのだ。
What do you like about her?	彼女のどこがいいのか。
They don't know my name.	彼らは私の名前を知りません。
He changed schools last year.	彼は昨年転校した。
I like English and music.	私は英語と音楽が好きです。
I don't have any change.	私には全然小銭がありません。
You were taken in by her.	君は彼女にだまされたのだ。
Who did you give it to?	君はそれを誰に上げたのですか。
I ordered you to get out.	君に出て行けと命じたのだ。
Are you having a good time?	楽しくやっていますか。
You shouldn't go to school.	学校は休んでください。
What did you buy it for?	何のためにそれを買ったのか。
The music made the show.	音楽でそのショーは当たった。
Mayuko is good company.	マユコはつきあって愉快な子だ。
Please help me with this.	ちょっと手伝ってください。
Take a look at this map.	ちょっとこの地図を見なさい。
That's good news to me.	それは私にとっていい知らせだ。
We got a good price for that.	それは高く売れた。
I don't know what it is.	それが何であるかわからない。
I know a little Spanish.	スペイン語を少し知っている。
May I have your order, please?	ご注文をどうぞ。
Can I take your order now?	ご注文はよろしいですか。
Could you take this, please?	これをお願いします。
What in the world is this?	これはいったい何ですか。
Do you know who they are?	あの人たち誰だか知ってる？
You don't like music.	あなたは音楽が好きではありません。
I know all about you.	あなたのことは全てわかっています。
I will show you the best 20.	ベスト２０を紹介します
You've got to see her home.	彼女を家まで送らなきゃ。
All of them were gone.	彼らはみんないなくなってしまった。
They are out shopping.	彼らはショッピングに出かけている。
He set off for London.	彼はロンドンに向けて出発しました。
He took over the business.	彼はその商売を引き継いだ。
Do you know how to get there?	道順はご存知ですか。
Take your time over it.	時間をかけてゆっくりやりなさい。
I do not know any of them.	私は彼らを一人も知らない。
Will you please help me?	私を手伝っていただけませんか。
I don't know what to do.	私は、何をすべきかわからない。
You know about that, don't you?	御存知ですよね。
Ken was in Japan last year.	健は去年日本にいました。
What are you looking for?	君は何を探しているのですか。
I don't know what to do.	何をすればよいのかわからない。
It is time to go to school.	もう学校に行く時間です。
It is high time I was going.	もうまさに行く時間だ。
The Hilton Hotel, please.	ヒルトン・ホテルまでお願い。
Show me how it works.	どういうふうに動くか見せてください。
So I can make music.	だから音楽を作り出すことができるのだ。
You knew it wouldn't.	そんなの初めから分かってたじゃない。
I don't know if it is good.	それが良いかは解らない。
Can you order one for me?	じゃあ注文してもらえますか。
Now, go have a good time.	さあ、楽しんでいらっしゃい。
I'm pleased to see you.	お目にかかれてうれしく存じます。
How would you like them?	お金の種類はどういたしますか。
How should I know?	いったいどうして私にわかると言うのですか。
I found them all but one.	１つを除いて全部見つかった。
He can't get on in the world.	うだつが上がらない。
I'll be seventeen next year.	来年で１７歳になるんだ。
I will be free next Saturday.	来週の土曜日は暇です。
He is a little over forty.	彼は４０歳を少しすぎている。
Have a look at the world map.	世界地図を見てごらん。
Make good use of your time.	時間をうまく利用しなさい。
I helped her with her work.	私は彼女の仕事を手伝った。
I am going to the store now.	私は店へ行くところです。
I don't know what to do.	私は何をしたらいいか分からない。
I don't know any French.	私はフランス語を少しも知らない。
I don't know any French.	私はフランス語は少しも知らない。
We're willing to help you.	私たちは喜んでお助けします。
All of you did good work.	君たちは皆りっぱな成績だった。
Do you know what day it is?	何時だったか知ってるかい。
I don't know what to do.	何をしたらいいのかわかりません。
I'd like to buy a Picasso.	ピカソの絵を買いたいものだ。
Can you help me a little?	ちょっと手伝ってくれませんか。
Could you please help me?	ちょっとお願いしたいのですが。
It is not as good as it looks.	それは見かけ倒しだ。
Will you please go there?	そこへ行っていただけませんか。
You are only just in time.	かろうじて間に合いましたね。
May I have your name, please?	お名前をお願いします。
When is a good time for you?	いつが都合がいいですか。
Do you know what it is?	あなたはそれが何か知っていますか。
Did you see her there?	あなたはそこで彼女に会ったのですか。
I have good news for you.	あなたによい知らせがあります。
Give me $1.00 back, please.	１ドルお釣りをくださいな。
There is no change at all in X.	Xに全く変わりが無い
You're doing good work there.	君、ええ仕事をしてるな。
Yoko bought some of them.	洋子はそれらのいくつかを買った。
I would like to know her name.	彼女の名前を知りたい。
He is better off than he was.	彼は前より裕福になった。
He has set up a new business.	彼は新しい商売を始めた。
He is good at taking photos.	彼は写真を撮るのが上手だ。
