Duck!	頭を下げろ！
Shut your mouth.	口を閉じなさい。
You are to blame.	君が悪いんだ。
I'm exhausted.	気が抜けちゃったよ。
Everybody laughed.	皆が笑った。
My stomach hurts.	胃が痛みます。
Work slowly.	ゆっくり仕事をしなさい。
Drive slowly.	ゆっくり運転しなさい。
Beef, please.	ビーフをお願いします。
Just fancy!	とてもすてきだ、うれしい。
Try and swim!	さあ、泳いでみなさい。
I hate karaoke.	カラオケが大嫌い。
Let's have sake.	お酒を飲もうよ。
You're weird.	おまえ、変わってるな。
He emphasizes X.	彼がXを重視します
I study abroad.	僕は留学しています。
It began to dawn.	夜が明け始めた。
Hold your tongue!	黙っていなさい。
The fog has lifted.	霧がはれた。
I bump into her.	彼女と偶然出会う。
He was cheating.	彼は浮気していた。
He can swim fast.	彼は速く泳げる。
His knee gave.	彼はヒザの力が抜けた。
Don't be silly.	馬鹿なことを言うな。
It's a cloudy day.	曇りの日です。
He died suddenly.	突然彼は死んだ。
Strength in unity.	団結は力なり。
Anybody will do.	誰でもいいのです。
Is anybody home?	誰か家にいますか。
There's no soap.	石鹸がありません。
You will melt.	暑くてうだっちゃうよ。
Can I be excused?	失礼してもいい。
I am a bad sailor.	私は船に弱い。
I like swimming.	私は水泳が好きだ。
I'm a bank clerk.	私は銀行員です。
We are afraid.	私たちは恐れています。
It is sunny today.	今日は晴れだ。
I'm lucky today.	今日はついている。
Work like a bee.	甲斐甲斐しく働く。
My tongue slipped.	口がすべった。
Rise and shine.	元気良く起きなさい。
Art brings bread.	芸は身を助ける。
How about a bite?	何か食べようか。
What a nerve!	よくもまあ、抜け抜けと。
All were silent.	みんな黙っていた。
Don't be afraid.	まだ少し怖いけど。
I am only joking.	ほんの冗談だよ。
Don't be a fool.	ばかな事は言うな。
What a revelation!	これは初耳だ。
This is a pencil.	これは鉛筆です。
I'm exhausted.	くたくたに疲れました。
I'll be bound.	きっとだ、間違いない。
I feel guilty.	うしろめたい気がする。
That is a pencil.	あれは鉛筆です。
Yes, what of it?	そうだが、悪いか？
He's a lucky guy.	彼は果報な男だ。
There are many fakes.	偽物が多い
Anger is the reason.	怒りが原因だ
No dirty jokes!	しもネタは禁止だよ〜。
Fry an egg for me.	卵を焼いてくれ。
I'm depending on you.	頼んだぞ。
The fog closed in.	霧が立ち込めた。
She grew roses.	彼女は薔薇を栽培した。
She is attractive.	彼女は魅力的だ。
Is she anybody?	彼女は相当な人物かね。
She is aggressive.	彼女は気が強い。
They dug a grave.	彼らは墓を掘った。
Their lips met.	彼らの唇は触れ合った。
He is a brave man.	彼は勇敢な男だ。
He has a long nose.	彼は鼻が高い。
He is no fool.	彼は馬鹿どころではない。
He is not stupid.	彼は馬鹿ではない。
He is thick-headed.	彼は頭が固い。
He is a gentleman.	彼は紳士である。
He can swim well.	彼は上手に泳げる。
He began to shout.	彼は叫び始めた。
He is a scientist.	彼は科学者です。
He can swim well.	彼は泳ぎがうまい。
He drives roughly.	彼は運転が荒い。
He walks slowly.	彼はゆっくりと歩く。
He is skating.	彼はスケートをしている。
He is a bit on.	彼は、少し酔っている。
Do you have a fever?	熱はあるの？
Have you any fever?	熱があるかい。
Keep in the shade.	日陰にいなさい。
It's getting cloudy.	曇ってきた。
I have a headache.	頭が痛いんです。
Doctor, cure me.	先生、俺を診てくれ。
I need some soap.	石けんをください。
Do your homework.	宿題をやりなさい。
Keep off the grass!	芝生に入るな。
Get off the lawn!	芝生から出なさい。
Poets write poems.	詩人は詩を書く。
I swim every day.	私は毎日泳ぎます。
I'm a bit tired.	私は少し疲れている。
Ought I to go?	私は行くべきでしょうか。
I'm a TV addict.	私はテレビ中毒です。
I'm afraid so.	残念ながらそのようです。
I'm afraid not.	残念ですがありません。
It's cloudy today.	今日は曇りです。
Save your breath.	言わなくていいよ。
You are naughty.	君はいたずらっ子だ。
I feel refreshed.	気分がさわやかだ。
I'll be glad to.	喜んでご一緒します。
What was stolen?	何を盗まれましたか。
The worm turns.	一寸の虫にも五分の魂。
I had a nightmare.	悪夢に魘された。
I am a bachelor.	わたしは、独身です。
Hold the rope.	ロープにつかまりなさい。
Gotta paint it.	ペンキを塗らなくちゃ。
Unlock the door.	ドアのロックあけて。
That's terrible.	それはひどくつらい。
Let's hit the hay.	じゃあ寝ようよ。
Try this sauce.	このソース試してみて。
Spiders spin webs.	クモは網を張る。
Well, I declare!	おや、これは驚いた。
Where is everybody?	みんなはどこ？
The heat is intense.	猛烈な暑さだ。
I won the lottery.	宝くじが当たった。
Soldiers bear arms.	兵士は武装する。
I need an envelope.	封筒をください。
The ice is melting.	氷が溶けている。
My nose is running.	鼻水が出ている。
She looked sad.	彼女は悲しそうに見えた。
She is in a mood.	彼女はご機嫌斜めだ。
He remained silent.	彼は黙っていた。
He revenged himself.	彼は復讐した。
He should be angry.	彼は怒るべきだ。
He is a fast runner.	彼は速く走る。
He is a fast runner.	彼は足が速い。
He held his breath.	彼は息を止めた。
He held his breath.	彼は息をのんだ。
He is a bank clerk.	彼は銀行員です。
He heard a shout.	彼は叫び声を聞いた。
He can't swim.	彼は泳ぐことが出来ません。
He hardly works.	彼はほとんど働かない。
He is very honest.	彼はとても正直だ。
He is very brave.	彼はたいへん勇敢だ。
He hates spiders.	彼はクモが大嫌いだ。
Peace to his ashes!	彼の魂に平和を！
He or I am to blame.	彼か私が悪い。
The fever has risen.	熱が上がった。
That's unusual.	珍しいこともあるもんだ。
Birds build nests.	鳥は巣作りをする。
I'm busy as a bee.	大変、忙しいです。
Nobody else can.	他の誰もだめなのです。
Circle in red pencil.	赤丸で囲む。
Wax the floor.	床にワックスをかけなさい。
I had my car stolen.	車を盗まれた。
Deer are good game.	鹿は良い獲物だ。
I saw her swim.	私は彼女が泳ぐのを見た。
I'm a careful man.	私は注意深い男だ。
I'm a good sailor.	私は船酔いしない。
I am a bit drunk.	私は少し酔っている。
I am afraid to go.	私は行くのが怖い。
I am afraid of dogs.	私は犬が恐い。
I like to swim.	私は泳ぐことが好きです。
My hobby is music.	私の趣味は音楽だ。
I mean no harm.	私には悪意はありません。
I will warn him.	私から彼に忠告しよう。
It is cloudy now.	今、くもっています。
Ought I to go?	行かなければなりませんか。
Silk feels soft.	絹は手触りが柔らかい。
Air is invisible.	空気は目に見えない。
The heat is intense.	強烈な暑さだ。
A fish can swim.	魚は泳ぐことはできる。
A cow gives us milk.	牛は乳が出る。
Who is absent?	休んでいるのはだれですか。
The ocean was calm.	海は静かだった。
What's biting you?	何を悩んでるんだ。
I am incomplete.	俺は何かが欠けている。
Monkeys climb trees.	猿は木に登る。
I wish I could swim.	泳げればなあ。
It rained heavily.	雨は激しく降った。
I meant no harm.	悪気は無かったんです。
I can hardly walk.	ほとんど歩けない。
Daddy passed gas.	パパがおならをした。
Yes, I'm coming!	はい、すぐに行きます。
Why did you quit?	なぜやめたのですか。
Tom walks slowly.	トムはゆっくり歩く。
Yes, please do.	どうぞ、そうして下さい。
Don't be so angry.	そんなに怒るなよ。
It is no joke.	それは決して冗談ではない。
May you succeed!	ご成功をお祈りします。
It's bound to rain.	きっと雨が降る。
It is hard frozen.	かたく凍っている。
Yes, please come.	ええ、どうぞ来てね。
Tom walks slowly.	トムは歩くのが遅い。
I can't afford it.	なかなか手が出ません
You should be careful.	注意が必要だ
I faded out.	私の意識がそのまま闇の中に消えた
He is desperate to X.	彼がXに必死だ
He slowly counts.	彼がゆっくり数を数える
Even I was defeated.	自分でも負けた。
Please step aside.	脇によってください。
The lovers kissed.	恋人達はキスをした。
We must keep calm.	落ち着きが肝心です。
Sheep feed on grass.	羊は草を食べる。
Can I get a blanket?	毛布をください。
Don't pick your nose.	鼻をほじるな。
Look before you leap.	飛ぶ前に見よ。
I wear a sad look.	悲しそうな顔をする。
She rode a camel.	彼女はらくだに乗った。
She is very wise.	彼女はとても賢い人だ。
She has a long nose.	彼女の鼻は高い。
Give her a doll.	彼女に人形をあげなさい。
They were swimming.	彼らは泳いでいた。
He arrived safely.	彼は無事に到着した。
He saved a sailor.	彼は船乗りを助けた。
He has a loud voice.	彼は声が大きい。
He is an honest man.	彼は正直な男だ。
I owe him my life.	彼は私の命の恩人だ。
He is a man of wisdom.	彼は賢者だ。
He has ten cows.	彼は牛を十頭飼っている。
He is in a bad mood.	彼は機嫌が悪い。
He studied abroad.	彼は海外へ留学した。
He is a tin god.	彼はみかけ倒しの人間だ。
He is still angry.	彼はまだ怒っている。
He is a mere child.	彼はほんの子供だ。
He is very angry.	彼はとても怒っている。
He has a loud voice.	彼の声は大きい。
The jury is hung.	陪審員は未決のままだ。
My headache has gone.	頭痛が直った。
Anger is an energy.	怒りはエネルギー。
I have a suggestion.	提案があります。
The sun is shining.	太陽が輝いている。
I get out of breath.	息切れがします。
I'll wait till noon.	正午まで待とう。
Fair, later cloudy.	晴れ後曇りでした。
The tap is running.	水道がでています。
Man is bound to die.	人間は必ず死ぬ。
Keep off the grass.	芝生立ち入り禁止。
Keep off the grass.	芝生に立ち入るな。
Cows supply milk.	雌牛は牛乳を供給する。
We seek happiness.	私達は幸福を求める。
I owe him $100.	私は彼に百ドル借りている。
I'm an honest person.	私は正直です。
I am afraid of bears.	私は熊が怖い。
I climbed Mt. Aso.	私は阿蘇山に登った。
How lucky I am!	私はなんて幸運なんだろう。
How could I resist?	私に何ができたの？
I am afraid of dying.	死ぬのが怖い。
It is cloudy today.	今日は曇っている。
The lake was frozen.	湖は凍っていた。
Is the dog swimming?	犬は泳ぎますか。
Art for art's sake.	芸術のための芸術。
Let's catch a bite.	軽く食べましょう。
You have foul breath.	君は息が臭い。
The sky looks angry.	空模様が怪しい。
Get out your wallet.	金を出しなさい。
You are actresses.	貴方達は、女優です。
You borrow books.	貴方は、本を借ります。
You like elephants.	貴方は、象が好き。
I'm not in the mood.	気がのらないな。
I want to go abroad.	外国へいきたい。
I'm glad to see you.	会えて嬉しいよ。
I wish I could swim.	泳げたらいいな。
Mary can swim.	メアリーは泳ぐ事ができます。
Nobody likes it.	みんな嫌がっているのに。
Bees make honey.	ミツバチは蜂蜜をつくる。
How lucky we are!	なんて幸運なのだろう。
Tom hit a triple.	トムは三塁打を打った。
Tom hit a triple.	トムは３塁打を打った。
Let's take a taxi.	タクシーに乗ろうよ。
That comes in handy.	そりゃ便利だね。
The girl is lonely.	その彼女は孤独だ。
The ship set sail.	その船は、出航した。
But he was lucky.	しかし彼は幸運だった。
No passage this way.	この先通行禁止。
May I interrupt?	お話の最中にすみません。
How are you related?	お二人の間柄は？
My money was stolen.	お金を盗まれた。
No, no, that's okay.	いや、大丈夫だ。
It is just noon.	いま、ちょうど正午です。
Shut that boy up.	あの男の子を黙らせろ。
Write it in pencil.	鉛筆で書きなさい。
All was calm.	あたりは、まったく静かだった。
I am a lonely man.	私は淋しい人間です。
We grow wheat here.	ここで小麦を作る。
I'm a bit out of it.	頭がボーっとします
It was pretty lucky.	本当に運が良かった
It's a total joke.	それが全く話にならない
Everyone declared 〜.	〜と誰もが断言した
WARNING - 18+ ONLY.	十八禁なので要注意！
Please get me a pillow.	枕を下さい。
The ice has melted.	氷が溶けてしまった。
Your nose is running.	鼻水が出てるよ。
My nose is stuffed up.	鼻が詰まった。
Your nose is running.	鼻がでているよ。
She held her breath.	彼女は息を殺した。
She looked lonely.	彼女は寂しそうだった。
She is very sad.	彼女はとても悲しんでいる。
He stole her watch.	彼女の時計を盗んだ。
He is a fast runner.	彼は走るのが速い。
He became a sailor.	彼は船乗りになった。
He is a born poet.	彼は先天的な詩人です。
He hoped to succeed.	彼は成功を望んだ。
He committed suicide.	彼は自殺をした。
He is a man of wealth.	彼は資産家だ。
He kept quite calm.	彼は至極冷静だった。
He deals in grain.	彼は穀物を商っている。
He is afraid of dogs.	彼は犬を怖がる。
He lacks motivation.	彼はやる気がない。
He rarely gives up.	彼はめったに諦めぬ。
He acted the fool.	彼はばかなまねをした。
He is very careful.	彼はとても用心深い。
He crushed the box.	彼はその箱を壊した。
He's swimming now.	彼はいま泳いでいます。
He can swim a mile.	彼は１マイル泳げる。
I deny his request.	彼の要求を拒絶する。
His bicycle is blue.	彼の自転車は青い。
His doom is sealed.	彼の運命は定まった。
It is bad to steal.	盗むのは悪いことだ。
It is freezing cold.	凍るように冷たい。
I am weak in geography.	地理は弱い。
Nobody taught me.	誰も教えてくれなかった。
Everybody loves him.	誰でも彼が好きだ。
Somebody touched me.	誰かが私にふれた。
I am bored to death.	退屈で死にそうだ。
Take a deep breath.	息を深く吸いなさい。
The coal is burning.	石炭が燃えている。
Gentlemen first.	紳士の人からお先にどうぞ。
I lie on the grass.	芝生の上に横になる。
Keep off the grass!	芝生に入るべからず。
We rented a canoe.	私達はカヌーを借りた。
I do not feel sad.	私は悲しくありません。
I like short poems.	私は短詩が好きです。
I like red roses.	私は赤いバラが好きです。
I enjoyed swimming.	私は水泳を楽しんだ。
I had my car stolen.	私は車を盗まれた。
I mean you no harm.	私は君に悪意はない。
I'm able to swim.	私は泳ぐことが出来ます。
I can hardly swim.	私はほとんど泳げない。
How silly of me!	私はなんて馬鹿なんだろう。
I smoke cigarettes.	私はタバコを吸うよ。
My hobby is to read.	私の趣味は読書だ。
My hobby is skiing.	私に趣味はスキーだ。
That's really stupid.	私ったら馬鹿ね。
We swam in the sea.	私たちは海で泳いだ。
I'm afraid not.	残念だけど、そうは思えない。
She is as wise as fair.	才色兼備だ。
I am in the soup.	困難な目に会っています。
I have a high fever.	高熱があるのです。
Marriage is a lottery.	結婚は運次第。
You must be a fool.	君は馬鹿に違いない。
It's a lovely day.	気持ちがいい日だなぁ。
I don't wanna go back.	帰りたくない。
I'll be glad to come.	喜んで行きます。
I'll bite the bullet.	我慢しましょう。
We ought to win.	我々は勝つに決まっている。
What's biting you?	何をかりかりしてるの。
It is easy to swim.	泳ぐことはやさしい。
We prayed for rain.	雨が降るよう祈った。
The lightning flashed.	稲妻が光った。
That would be lovely.	わあ、素敵だな。
Let go of the rope.	ロープを離しなさい。
I let down the rope.	ロープを下ろした。
Shut off the radio.	ラジオを消しなさい。
Mayuko appears wise.	マユコは賢そうだ。
He can hardly speak.	ほとんど話せない。
Roses smell sweet.	バラは良い香りがする。
My bag was stolen.	バッグを盗まれました。
The news leaked out.	ニュースがもれた。
I have no excuse.	なんとも面目ありません。
Knock on the door.	ドアをノックしなさい。
The door blew shut.	ドアが風で閉まった。
Excuse me a minute.	ちょっと失礼します。
Don't talk so loud.	そんな大声で話すな！
Anybody knows it.	それは誰でも知ってるよ。
The dog is dying.	その犬は死に掛けている。
Read this passage.	その一節を読みなさい。
John likes chess.	ジョンはチェスが好きだ。
Some juice, please.	ジュースをください。
Say hello to Jimmy.	ジミーによろしくね。
This fits perfectly.	これはピッタリだ。
This novel bores me.	この小説は退屈だ。
Thus he succeeded.	こうして彼は成功した。
You are my sunshine.	きみは僕の太陽だ。
My stomach is full.	お腹がいっぱいです。
I have a headache now.	いま頭が痛い。
Quit the snow job!	いかさま商売はやめろ！
Can you skate?	あなたはスケートができますか。
X brings out the flavor.	Xが味を出す
Speak to me freely.	率直に話してください。
Shut up and listen!	黙って言うことを聞け！
It's so lovely a day.	本当にいい天気だ。
I think him a fool.	僕は彼は馬鹿だと思う。
Don't climb up the wall.	塀に登るな。
Grammar be hanged.	文法なんかくそくらえだ。
I have a slight fever.	微熱があります。
She rubbed her eyes.	彼女は目をこすった。
She looked sad.	彼女は悲しそうな顔をしていた。
She had an abortion.	彼女は妊娠中絶した。
She is my girlfriend.	彼女は私の恋人だ。
She is in a bad mood.	彼女は機嫌が悪い。
She got into a rage.	彼女はかっとなった。
She met her uncle.	彼女はおじさんに会った。
Her dress was torn.	彼女の服は裂けていた。
She is not to blame.	彼女の責任ではない。
I got her a doll.	彼女に人形を買ってあげた。
He was raging mad.	彼は烈火のように怒った。
He succeeded in life.	彼は立身出世した。
He has rough manners.	彼は無作法な男だ。
He is a real fool.	彼は文字どおりのばかだ。
He is all nerves.	彼は非常に神経過敏である。
He was frozen to death.	彼は凍死した。
He may be a genius.	彼は天才かもしれない。
He opened the cages.	彼は鳥かごをあけた。
He is as wise as any.	彼は誰よりも賢い。
He is a fast runner.	彼は速いランナーだ。
I think he is honest.	彼は正直だと思う。
He appeared honest.	彼は正直そうに見えた。
He is no gentleman.	彼は紳士などではない。
He took a deep breath.	彼は深呼吸した。
He can swim well.	彼は上手に泳ぐ事が出来る。
He gave me a hint.	彼は私にヒントをくれた。
He is guilty of murder.	彼は殺人犯だ。
He has a long nose.	彼は高い鼻をしている。
He fell into a rage.	彼は急に怒り出した。
He burst into tears.	彼は急に泣き出した。
He is a man of wit.	彼は機知に富んだ人だ。
What a fool he is!	彼は何とばかなのだろう。
He is very careful.	彼はたいへん注意深い。
He was that angry.	彼はそれほど怒っていた。
He lied readily.	彼はすらすらとうそをついた。
He remained silent.	彼はずっと黙っていた。
He shined his shoes.	彼はくつをみがいた。
He has a bicycle.	彼は自転車を持っています。
He flew into a rage.	彼は、カッとなった。
His joke killed me.	彼のジョークは最高だ。
His joke killed me.	彼のジョークで笑った。
My headache has gone.	頭痛が無くなった。
My head is swimming.	頭がぐらぐらします。
Silence gives consent.	沈黙は承諾の印。
Be a good listener.	聴き上手になりなさい。
Shit! I've got a flat.	畜生、パンクだ。
The pond has dried up.	池が干上がった。
Who made this pie?	誰がこのパイを作ったの。
I'm all out of tricks.	打つ手がないね。
Bring the laundry in.	洗濯物入れてきて。
The water pipe burst.	水道管が破裂した。
May I be excused?	失礼してもよろしいですか。
Please take freely.	自由にお取りください。
At times I feel sad.	時折私は悲しくなる。
I had my watch stolen.	時計を盗まれた。
I have a slight cold.	私は風邪気味です。
I sent her a doll.	私は彼女に人形を送った。
I'm not a bit tired.	少しも疲れてないよ。
I can't swim at all.	私は少しも泳げない。
I like autumn best.	私は秋が一番好きです。
I have a bicycle.	私は自転車を持っています。
I want to go abroad.	私は外国へ行きたい。
I wish to go abroad.	私は外国に行きたい。
I enjoyed swimming.	私は泳ぐのを楽しんだ。
I was a naughty boy.	私はわんぱくだった。
We got up at dawn.	私たちは夜明けに起きた。
Dead men tell no tales.	死人に口なし。
I'm dying to see you.	死ぬほど会いたい。
The market rallied.	市場は盛り返してきた。
No, I'm afraid not.	残念ながら出来ません。
I have bad breath.	私は口臭がひどいのです。
Someone stole my cash.	現金を盗まれた。
The dog bit the man.	犬は男に噛みついた。
He is a merry fellow.	彼は愉快なやつだ。
I don't blame you.	君がそうするのは当然だ。
I burst into tears.	急に涙がこぼれてきた。
You're happy-go-lucky.	気楽なやつだな。
I draw for a hobby.	絵を描くのが趣味です。
I have no real intent.	何も意思がない。
The king was executed.	王は処刑された。
Put down your pencil.	鉛筆を置きなさい。
I have lost my pencil.	鉛筆をなくした。
It has ceased raining.	雨が降り止んだ。
Can I have a bite?	一口食べてもいいですか。
I lost consciousness.	意識を失いました。
The apples are ripe.	りんごが熟している。
Lilies smell sweet.	ゆりは甘い香りがする。
Walk more slowly.	もっとゆっくり歩きなさい。
He's not young anymore.	もう若くない。
Look out for bees.	みつばちに注意しなさい。
It was nearly noon.	ほとんど正午近かった。
Passport, please.	パスポートを見せて下さい。
Where is the toilet?	トイレはどこですか。
I am sad to hear it.	それを聞いて悲しい。
It's merely a joke.	それは単なる冗談だよ。
That's an old trick.	それはよくある手だ。
That's really sad.	それはあまりにも悲しい。
The tree is in bud.	その木は芽が出ている。
The man was dying.	その人は死にかけていた。
None of your tricks.	その手には乗らない。
That child got bored.	その子は退屈した。
The dog was dying.	その犬は死にかけていた。
I owe it all to you.	すべて君のおかげだ。
At your convenience.	ご都合の良いときに。
No passage this way.	これより先通行禁止。
Whose pencil is this?	これは誰の鉛筆か。
This is my bicycle.	これは私の自転車です。
This beef is tender.	この牛肉は柔らかい。
This button is loose.	このボタンは緩い。
Who's this nobody?	こいつはどこの馬の骨だ？
I'm glad to see you.	きみにあえて嬉しい。
I have a bad bite.	かみ合わせが悪いのです。
Glad you like it.	お気に召してよかったです。
You are under arrest.	おまえを捕縛する。
I'll shut you out.	おまえを締め出してやる。
Yes, I'll come, Bob.	うん、行くよ、ボブ。
Isn't it a lovely day!	いい天気だなあ。
It looks like a duck.	アヒルに似てるの。
He easily gets angry.	あの人はすぐ怒る。
Look at those cattle.	あの牛を見なさい。
I want beef, too.	僕もビーフをお願いします。
Stop, or I'll shoot.	止まらないと撃つぞ。
I put my lips on X.	俺の唇が、Xにフタをした
It was very pleasant.	とても感じが良かった
"You with me?" "Yes"	「分かった？」「はい」
We have no spare money.	余分な金はない。
It frosted last night.	ゆうべ霜が降りた。
The friend was absent.	友達は留守だった。
Tears came to my eyes.	目に涙が出てきた。
The trees are in bud.	木々に芽が出ている。
Clarity comes first.	明確さが一番大事です。
I shut my eyes again.	僕は再び目を閉じた。
My mother was in tears.	母は泣いていた。
Ice melts into water.	氷は溶けて水になる。
Your nose is running.	鼻水がたれているよ。
She has a sharp tongue.	彼女は毒舌家だ。
She caught her breath.	彼女は息を飲んだ。
She is a slow runner.	彼女は走るのが遅い。
She lowered her voice.	彼女は声を潜めた。
She gave me a doll.	彼女は私に人形をくれた。
She is afraid of dogs.	彼女は犬を怖がる。
She quit the company.	彼女は会社を辞めた。
She tried to swim.	彼女は泳いでみようとした。
She is a mere child.	彼女はほんの子供です。
Her son is a genius.	彼女の息子は天才です。
I made her a doll.	彼女に人形を作ってあげた。
He clipped the sheep.	彼は羊の毛を刈った。
He didn't half swear.	彼は猛烈に毒ついた。
He must be innocent.	彼は無罪にちがいない。
He is sure to succeed.	彼は必ず成功する。
He is a man of virtue.	彼は美徳の人です。
He died a sad death.	彼は悲しい死をとげた。
He's got lung cancer.	彼は肺ガンになった。
He bit off the meat.	彼は肉を食いちぎった。
He is a man of virtue.	彼は徳のある人だ。
He has a thick neck.	彼は太い首をしている。
He has a lot of hobbies.	彼は多趣味だ。
He was out of breath.	彼は息切れしていた。
He is a poet by birth.	彼は生来の詩人だ。
He wanted to succeed.	彼は成功したかった。
He cured my illness.	彼は私の病気を治した。
He's afraid of the sea.	彼は海を怖がる。
He is a budding singer.	彼は歌手の卵だ。
He learned to swim.	彼は泳げるようになった。
He pulled the rope.	彼はロープを引っ張った。
He is good at rugby.	彼はラグビーが得意だ。
He walked rapidly.	彼はどんどん歩いていった。
He was in the queue.	彼はその列の中にいた。
I'll give him a buzz.	彼に電話してみよう。
Farmers produce crops.	農民は作物を作る。
Hot water burst out.	熱湯が突然吹き出した。
Cats arch their backs.	猫は背中を丸める。
Do you have a headache?	頭痛がしますか。
The pain was terrible.	痛みはひどかった。
Please be gentle.	痛くないようにしてください。
The pond froze over.	池は一面に氷がはった。
The heater is broken.	暖房が壊れています。
Nobody can stop me!	誰もオレを止められない。
Anybody can read it.	誰でもそれは読めます。
Anybody can do that.	誰でもそれはできるよ。
I used my imagination.	想像力を働かせた。
Is everything okay?	全てうまくいってますか。
The snow is melted.	雪は解けてしまっている。
Look before you leap.	石橋をたたいて渡れ。
The sailors saw land.	水夫たちは陸を見た。
Swimming is my hobby.	水泳は私の趣味です。
I have kidney trouble.	腎臓が悪いのです。
