Die!	死ね！
Go to school.	学校へ行きなさい。
It was nothing.	何でもないよ。
I'm a free man.	俺は自由な男。
Let's turn back.	引き返そう。
See you soon!	またすぐ会おうね。
Do it at once.	すぐにしなさい。
I hope not.	そうでないことを望む。
Come at once.	すぐに来て下さい。
Study hard.	しっかり勉強しなさい。
This is a book.	これは本です。
Alice smiled.	アリスは微笑んだ。
Move along now.	立ち止まるな。
Why do you ask?	なんで聞くの？
He turns it on.	彼がＯＮにします
Who started X?	Xを誰が始めたのか
I go every year.	毎年行きます。
I can't hear it.	聞こえないよ。
My father is in.	父は家にいる。
She works hard.	彼女はよく働く。
Bring him in.	彼を中に入れなさい。
He is driven.	彼はやる気満々です。
He's nothing.	彼はつまらない男だ。
I'm behind him.	彼の後ろにいる。
I called him up.	彼に電話した。
He is my type!	彼って私のタイプ！
Live and learn.	長生きして学べ。
How's business?	商売はどうかね。
I don't, either.	私もそうです。
Where's my book?	私の本はどこ？
Leave it to me.	私に任せなさい。
Never say die.	死ぬなんて言うな。
Thought is free.	思想は自由だ。
Hold the door.	戸を押さえてくれ。
You work hard.	君は商売熱心だね。
I feel for you.	君に同情するよ。
Give me a break.	勘弁してくれ。
Ask me anything!	何でも聞いて！
Is anything up?	何かあったかい。
Don't hold back.	遠慮しないで。
He worked hard.	一生懸命働いた。
I often see him.	よく彼に会う。
Open the door.	ドアを開けなさい。
The door opened.	ドアが開いた。
Let's watch TV.	テレビみようよ。
Who cared?	だれが気にかけたでしょう。
Put it down.	それを下に置きなさい。
Come back soon.	すぐに戻ってね。
Do it at once.	すぐにやりなさい。
Do it at once.	すぐにそれをせよ。
Study hard.	しっかり勉強して下さい。
Here is a book.	ここに本がある。
Ask Alex.	アレックスに聞いてみなさい。
He shall die.	あいつを殺してやる。
Shall we start?	始めましょうか。
I'll ask Tom.	トムに聞いてみます。
I don’t drive.	私が車の運転をしない
He told me X.	彼がXを私に告げました
Did you ever?	本当か、これは驚きだ。
Close your book.	本を閉じなさい。
I'm left-handed.	僕は左利きです。
I thought hard.	僕はじっと考えた。
She's my type.	彼女は私のタイプだ。
Keep watch on him.	彼を見張れ。
He is at play.	彼は遊びの最中です。
He has a book.	彼は本を持っている。
He is my father.	彼は私の父です。
He is on leave.	彼は休暇中である。
He felt at home.	彼はくつろいだ。
He was put out.	彼はおいだされた。
He is well paid.	彼の給料はいい。
I really like him!	彼が大好き！
Watch your head!	頭に気をつけて！
Come here soon.	早く帰ってきてね。
I have no idea.	全然わかりません。
All shall die.	人はすべて必ず死ぬ。
I've had enough.	十分頂きました。
Put your hands up!	手をあげろ！
I like history.	私は歴史が好きだ。
I met a friend.	私は友達に会った。
I saw nothing.	私は何も見なかった。
I play Chopin.	私はショパンを弾く。
My house is big.	私の家は大きい。
I have an idea.	私には考えがある。
Turn hard left.	左へ一杯に曲がれ。
Isn't it black?	黒くないのですか。
I told you before!	言っただろ！
Our plan is made.	計画はできた。
Give me your money.	金出せよ。
Air the futon.	蒲団を干して下さい。
Love to party!	パーティーが大好き。
How kind of you!	なんとご親切に。
On what account?	どう言うわけで？
How kind of you!	どうもご親切に。
Turn off the TV.	テレビを消して。
I don't care.	ちっとも構いませんよ。
Leave at once.	すぐに出発しなさい。
Do it at once.	すぐそれをしなさい。
This is for free.	これ無料です。
This book is old.	この本は古い。
Don't stop here.	ここで止まるな。
Let's rest here.	ここで、休もう。
Where is mother?	お母さんはどこ。
I am 19 years old.	１９歳です。
"Age?" "16."	「何歳？」「１６歳です」
Did Tom call?	トムから電話があった？
He brought up X.	彼がXをネタにする
I feel very good.	とても気分が良い
X is almost gone.	Xがほとんど無い
X is very important.	Xが大切だ
I can hear X.	Xがわたしの耳に聞こえる
X is very important.	Xが重要だ
My mother said 〜	〜と母が申しました
I believe you.	僕は君の言葉を信じる。
Leave it to me.	僕に任せてください。
I can't hear you.	聞こえませんよ。
She looks young.	彼女は若く見える。
She gave money.	彼女はお金を与えた。
I believe in him.	彼を信じている。
He kept talking.	彼は話しつづけた。
He gave up hope.	彼は望みを捨てた。
He broke the law.	彼は法を犯した。
He can't read it.	彼は読めません。
He has big hands.	彼は手が大きい。
He is my friend.	彼は私の友達です。
He comes on strong.	彼は強気だ。
Has he come yet?	彼はもう来たかい。
He is still young.	彼はまだ若い。
He is very young.	彼はとても若い。
Give me half of it.	半分よこせ。
Watch your head!	頭上に気をつけて！
No one can tell.	誰にも分からない。
Live and learn.	生きていれば学べる。
He came to himself.	正気づいた。
All men must die.	人は皆必ず死ぬ。
Do you believe me?	信じてくれる？
Ask your question.	質問をどうぞ。
I'll follow.	私は後からついていきます。
Keep to the left.	左側通行を守れ。
You talk too much.	口数が多いぞ。
I like languages.	言語が好きです。
Don't run risks.	危ない事をするな。
I leave to go home.	家に帰るよ。
I'll do anything.	何でもするから。
What's the cause?	何が原因ですか。
Let's take a rest.	一休みしよう。
I am, of course.	もちろん、私です。
It's already seven.	もう7時よ。
Until next time.	またこの次までね。
Let me hear it.	それを聞かせてくれ。
Can it be true?	それは本当だろうか。
I got it free.	それはただでもらった。
Leave it closed.	そこ閉めておいて。
I'll be back soon.	すぐに戻るよ。
John talks big.	ジョンは話が大きい。
Tom, don't die.	トム、死んじゃだめ。
Can it be true?	これは本当だろうか。
This is my book.	これは私の本です。
Read this book.	この本を読みなさい。
This book is new.	この本は新しい。
Let's rest here.	ここで少し休もう。
Ken's turn came.	ケンの順番が来た。
Let's ask him.	あの人に頼んでみよう。
To your future!	あなたの未来に乾杯！
Watch your step.	足元に気をつけて。
That's my line!	それは私の台詞だよ！
I'll ask Tom.	トムに頼むことにします。
I'll ask Tom.	トムにお願いしようかな。
I'll ask Tom.	トムに訊いてみようっと。
Did you call Tom?	トムに電話した？
I felt so small.	かなり肩身が狭かった
She plays Bach.	彼女はバッハ弾きです。
Day is breaking.	夜が明けかけてきた。
I felt left out.	無視された気がした。
It is nothing to me.	無関係です。
I call your name.	僕は君の名を呼ぶ。
My father is out.	父は外出している。
Keep on smiling.	微笑みつづけなさい。
They are in class.	彼等は授業中だ。
She types well.	彼女はタイプがうまい。
He himself did it.	彼自身そうした。
He looks strong.	彼は強そうにみえる。
How strong he is!	彼は何て強いんだ。
Has he come yet?	彼はもう来ましたか。
He had no money.	彼はお金がなかった。
Knowledge is power.	知識は力なり。
I'm out of control.	制御できない。
How short life is!	人生なんて短い。
We ran out of food.	食糧が尽きた。
I play with him.	私は彼と一緒に遊ぶ。
I want to drive.	私は車を運転したい。
I called Tom up.	私はトムに電話した。
I took my child.	子供を連れていった。
Turn to the left.	左へ曲がりなさい。
I have a problem.	困ってるんだよね。
Get along with you!	行ってしまえ！
I believe in you.	君を信頼している。
Your loving friend.	君の親友より。
I believe you.	君のいうことを信じるよ。
I feel something.	俺が何かを感じる。
How do you feel?	塩梅はいかがですか。
Who ever can it be?	一体誰かしら？
Don't ask me why.	わけは聞かないで。
I don't know yet.	まだ分かりません。
There is yet time.	まだ時間がある。
They asked him.	彼らは彼に聞きました。
I feel it now.	ねぇもう感じちゃったよ。
They are very big.	とても大きいね。
Turn up the TV.	テレビの音大きくして。
No, don't go yet.	だめ、行かないで。
Leave it to me.	それを私に任せなさい。
I'll tell him that.	そう伝えます。
I'll be along soon.	すぐ行きます。
Come here at once.	すぐここに来い。
I'd rather not.	ご遠慮させてください。
This is broken.	これは壊れていました。
This book will do.	この本でいいよ。
Go in the field.	この道を行きなさい。
I'll pay for it.	ここは私が払います。
Watch TV here.	ここでテレビを見なさい。
Can we talk?	お話ししたいことがあります。
I met him once.	いつか彼に会っている。
That is a table.	あれはテーブルです。
Who's that girl?	あの少女は誰ですか。
Here is your book.	あなたの本です。
That's a good idea!	良い考えだね！
I'll go ask Tom.	トムに訊いてくるよ。
I'm aging well.	相応にいい歳をとってきた
He asks himself X.	彼がXを自分に問う
What a business it is!	面倒だな。
Turn off the light.	明かりを消して。
Don't work too hard!	無理するなよ！
You can't be so sure.	本当にそう。
Don't open your book.	本を開くな。
Where is my watch?	僕の時計はどこだ？
Don't tell on me.	僕の告げ口をするな。
My mother is out.	母は外出しています。
I need to hear it.	聞きたいの、私は。
Father is away now.	父は今不在です。
Father came home.	父が家に帰ってきた。
She worked hard.	彼女は一生懸命働いた。
She told Tony.	彼女はトニーに言いました。
She smiled at me.	彼女が私に微笑んだ。
He stopped talking.	彼は話をやめた。
He sees no company.	彼は面会謝絶だ。
He has a black heart.	彼は腹黒い。
He is her friend.	彼は彼女の友達です。
He is kind to her.	彼は彼女に親切だ。
He is in the money.	彼は大金持ちだ。
He called me out.	彼は私を呼びだした。
He is full of go.	彼は元気いっぱいだ。
He hasn't come yet.	彼はまだ来ない。
How big he is!	彼はなんて大きいのだろう。
He will come soon.	彼はすぐに来ます。
I believe in him.	彼のことは信じてる。
Act your age.	年に似合った行動をしなさい。
I worked all night.	徹夜で勉強した。
It's really good.	大変おいしいですよ。
Be kind to others.	他人に親切にせよ。
Watch your step.	足下に注意して下さい。
It was really close.	接戦でしたね。
It is clearing up.	晴れわたってきた。
Take my word for it.	信じてくれよ。
Business is business.	商売は商売。
Who plays the lead?	主演は誰ですか。
My turn comes next.	次は私の番です。
It's your turn next.	次は君の番だ。
I have no friends.	私は友達がいない。
I am the same age.	私は同じ年齢です。
I'm able to run.	私は走ることができる。
I'm going to start.	私は出発します。
I believe in you.	私は君を信じている。
I believe you.	君の言うことを信じている。
I like it black.	私はブラックが好きだ。
I'm short of money.	私はお金不足だ。
Don't mind me.	私にはかまわないで下さい。
Keep to the left.	左側通行をしなさい。
Turn to the left.	左を向いてください。
May I leave now?	今出発していいですか。
Are you free now?	今、お忙しいですか。
Do as I told you.	言ったとおりにしろ。
Don't tell me.	言わなくてもわかりますよ。
You work too hard.	君は働きすぎです。
I'm out of my mind.	気が狂いそうだ。
Business is business.	勘定は勘定。
Anything will do.	何でもけっこうです。
Answer in English.	英語で答えなさい。
Turn to the right.	右に曲がりなさい。
Let's take a break.	一息いれようよ。
Stop, I say.	やめなさいって言ってるでしょ。
It is almost three.	もうすぐ３時だ。
It's starting now.	ほら、始まるわよ。
What a big talk.	なんたる大ボラふきだ。
Tom is very kind.	トムはとても親切だ。
Leave it there.	それをそこへ置いてくれ。
It may be true.	それは本当かもしれない。
Give me the book.	その本をとってくれ。
Tell me about it.	そのことを話してよ。
What a good idea!	そいつはいい考えだ。
I will be back soon.	すぐ戻ります。
I'm coming at once.	すぐに行きます。
It's now my turn.	さあ今度は僕の番だ。
This is her book.	これは彼女の本です。
This is too short.	これは短すぎます。
This is too big.	これは大きすぎました。
This book is small.	この本は小さい。
Who is this girl?	この少女は誰ですか。
Where is Father?	お父さんはどこですか。
I'm leaving first.	お先に失礼します。
That's a good idea!	いい考えですね。
You are so kind.	あなたはとても親切だ。
What is the problem?	何が問題なの？
I'll go ask Tom.	トムに訊いてきますね。
He started talking.	彼が言葉を口にした
X has started acting.	Xが行動に出る
It focuses on X.	それがXに焦点を絞ります
I will be back soon.	すぐに戻ります。
You'll feel better.	良くなるでしょう。
It'll be a big day.	明日は大切な日だ。
Put out the light.	明かりを消しなさい。
The meeting was closed.	閉会した。
She studies hard.	彼女は熱心に勉強する。
She ran second.	彼女は競走で２着になった。
She came at once.	彼女はすぐやってきた。
Is her story true?	彼女の話は本当かな。
He works very hard.	彼は良く働きます。
He came back soon.	彼はすぐ帰ってきた。
He called for help.	彼は助けを呼んだ。
He called for help.	彼は助けを求めた。
He calls me Pete.	彼は私をピートと呼ぶ。
He stopped short.	彼は急に立ち止まった。
He speaks English.	彼は英語を話します。
He has left already.	彼はもう出たよ。
He opened the door.	彼はドアをあけた。
He asked for money.	彼はお金を求めた。
Tell me about him.	彼のことを話してよ。
I haven't met him.	彼とは会っていない。
Let's meet on Sunday.	日曜に会おう。
Turn off the light.	電気を消しなさい。
Knowledge is power.	知識はちからなり。
Be kind to others.	他人には親切であれ。
I long for company.	私は相手が欲しい。
I do hope so.	全くそうなってほしものですよ。
The good die young.	善人は若死にする。
I'll call you back.	折り返し電話する。
We have water enough.	水は十分ある。
I almost believe you.	信じるとこよ。
Let me hear from you.	手紙を下さい。
We play on Sunday.	私達は日曜日に遊ぶ。
I gave him a call.	私は彼に電話をした。
I study at school.	私は学校で勉強する。
I am an only child.	私は一人っ子です。
I don't know yet.	私はまだ分かりません。
I think it true.	私はそれが本当だと思う。
I have no money.	私はお金をもっていない。
My father is young.	私の父は年が若い。
Can I do anything?	私に何ができますか。
What's the material?	材質は何ですか。
I'm leaving now.	今出かける所なんですよ。
Start this moment.	今すぐ出発しなさい。
I believe in you.	君を信じているからね。
What do you learn?	君は何を学びますか。
How kind you are!	君はなんて親切なんだ。
I don't follow.	君の言うことがわからない。
I share your idea.	君と同じ考えをする。
Since you say so.	君がそう言うんだから。
Turn on your back.	仰向けになりなさい。
May I take a rest?	休んでもいいですか。
I feel like going out.	外へ出たい。
For how many nights?	何泊されますか。
Why do you think so?	何故そう思うの？
What shall we play?	何をして遊ぼうか。
Turn to the right.	右を向いてください。
That's a class act.	一流の腕前ですね。
Of course, you may.	もちろんいいとも。
Of course, you may.	もちろん、いいよ。
Are you through yet?	もう終わったの？
I'll tell you what.	まあ、聞きなさい。
I had a hard time.	ひどい目に遭ったよ。
What a good idea!	なんていい考えなんだ！
Any book will do.	どんな本でも結構です。
Tony is playing.	トニー君は遊んでいます。
Tony broke it.	トニー君がそれを壊しました。
Don't watch TV.	テレビを見てはいけません。
Turn down the TV.	テレビの音小さくして。
How was your test?	テストはどうだった？
Never mind!	たいしたことではない、心配するな。
Ask him about it.	それは彼に尋ねなさい。
That's common sense.	それは定石だよ。
Is it not black?	それは黒くありませんか。
What is the story?	それは何の話ですか。
That's a good idea.	そりゃいい考えだ。
John works hard.	ジョンは熱心な勉強家だ。
But not really.	しかし、実際は違いました。
Now let's talk it up.	さあ、宣伝だ。
For your information.	ご参考までに。
This book was new.	この本は新しかった。
Here is a book.	ここに一冊の本があります。
Don't play here.	ここで遊んではいけない。
You put things well.	うまい事言うね。
Sure. What is it?	いいですよ。何ですか。
Those are my books.	あれは私の本です。
Who is that woman?	あの女性は誰ですか。
That house is big.	あの家は大きいです。
You are not kind.	あなたは親切ではない。
Can you drive?	あなたは車を運転できますか。
I tell you this.	あなたに言っておきます。
He closed the door.	彼はドアを閉めた。
That is my school.	あれが私の学校です。
She has good sense.	彼女は話せる人だ。
I have back problems.	腰痛持ちです。
X has become clear.	Xがはっきりしました
It made X possible.	それがXを可能とした
X can be stopped.	Xを阻止することが出来る
I will have a child.	自分に子供が出来る
She/He sounded down.	声に元気が無かった
Answer 24 questions.	２４の質問に答える
He gave a big smile.	彼がにっこり笑った
He allows himself X.	彼がXを自分に許す
May I speak to you?	話してもいいですか。
He is a self-made man.	立志伝中の人。
I have a few friends.	友人は少しいる。
Put your books away.	本を片づけなさい。
They have few books.	本はほとんどない。
The law was changed.	法律が改正された。
I am in deep water.	非常に困っています。
She stopped talking.	彼女は話をやめた。
She smiled at me.	彼女は私を見て微笑した。
She smiled at me.	彼女は私に微笑みかけた。
I haven't met her.	彼女とは会っていない。
They are my friends.	彼らは私の友人だ。
He shares a room.	彼は部屋を共有している。
He is very learned.	彼は非常に学がある。
He answered, No.	彼は答えた。「ちがいます」
He did it himself.	彼は自分でそれをした。
He called my name.	彼は私の名前を呼んだ。
He is a man of action.	彼は行動家だ。
Is he kind to you?	彼は君にやさしいかい？
He needed to rest.	彼は休む必要があった。
He is a learned man.	彼は学識ある人だ。
He is a hard worker.	彼は一生懸命働く。
He has a strong will.	彼は意志が強い。
He works very hard.	彼はよく働きますね。
He is about my age.	彼はほぼ私の年です。
He will come soon.	彼はすぐ来るでしょう。
He came back soon.	彼はすぐに帰ってきた。
He has no money.	彼はお金を持っていません。
He was hard up.	彼はお金に非常に困っていた。
He is past forty.	彼は４０歳を越している。
How big is he?	彼の大きさはどのくらいですか。
I took leave of him.	彼に別れを告げた。
He has no children.	彼には子供がいない。
He hasn't come yet.	彼がまだ来ていない。
Let's meet on Sunday.	日曜日に会おう。
I like reading books.	読書が好きです。
Tokyo is a big city.	東京は大都市です。
Be kind to others.	他人に親切にしなさい。
Put our heads together.	相談し合う。
All hope is gone.	全ての望みは消え失せた。
I've known it all along.	先刻承知。
We ran short of food.	食糧が不足した。
Answer the question.	質問に答えなさい。
We have enough time.	時間は十分にある。
I do not read books.	私は本を読まない。
I ran to my mother.	私は母に駆け寄った。
I called her up.	私は彼女に電話をしました。
I believe in him.	私は彼を信用しています。
I call him Mike.	私は彼をマイクと呼びます。
I followed him.	私は彼の後ろに付いて行った。
I returned to Japan.	私は日本に戻った。
I can't do anything.	私は何もできない。
I can speak English.	私は英語が話せる。
I was forced to go.	私はやむなく行った。
I like to watch TV.	私はテレビが好きだ。
I hope to see you.	私はあなたに会いたい。
Will you tell me?	私に話してくれませんか。
Don't talk to me!	私に何も話しかけないで！
I am free from care.	私には心配がない。
Come along with me.	私についてきなさい。
Come along with me.	私と一緒に来なさい。
We speak Japanese.	私たちは日本語を話す。
Do as I tell you.	私が言うようにしなさい。
You are allowed to go.	行ってもよい。
Do as you are told.	言われたようにせよ。
Clear up the cause.	原因を明らかにする。
Did you meet her?	君は彼女に会ったのかい。
You are hearing things.	空耳ですよ。
Don't ask for money.	金をくれというな。
I have a little money.	金は少しある。
I have little money.	金は少ししかない。
I am short of money.	金に不足している。
How do you feel now?	気分はどうですか。
I know how you feel.	気持ちは分かるよ。
Speak your mind.	気持ちを隠さず話しなさい。
To meet is to part.	会うは別れのはじめ。
Why didn't you come?	何故来なかったの？
Rome is an old city.	ローマは古い街だ。
Come if possible.	もし来られたら来なさい。
Can I leave now?	もう出発してもいいですか。
Meg talks too much.	メグはおしゃべりだ。
I know nothing yet.	まだ何も知りません。
He is but a child.	ほんの子供に過ぎない。
I have an idea.	ひとつ、意見があるんですが。
The party is over.	パーティーは終わった。
What a friend you are!	なんて友人だ。
No, it's second hand.	なに、中古だよ。
Why is he here?	なぜ彼はここにいるのですか。
Why do I even care?	なぜ頭から離れない。
Which is your book?	どれが君の本ですか。
Tom is very kind.	トムは本当に親切ですね。
It's under the table.	テーブルの下よ。
I feel like a rest.	ちょっと休憩したい。
Let's take a rest.	ちょっと一休みしよう。
Bring it here.	それをこっちへ持ってきなさい。
It came to nothing.	それは無駄になった。
It has to be true.	それは本当に違いない。
It is just an act.	それは芝居にすぎない。
Can it be true?	それはいったい本当だろうか。
It can't be true.	それが本当のはずがない。
Tell me the story.	その話を聞かせなさい。
The story was true.	その話は本当でした。
Tell me about it.	そのことを話して下さい。
Turn right there.	そこを右に曲がりなさい。
Come home at once.	すぐに家に帰りなさい。
Come here at once.	すぐにここへ来なさい。
Let's take a break.	さぁ、休憩をとろう。
Who broke this?	これを壊したのはだれですか。
These are my books.	これらは私の本です。
This is above me.	これは私には分からない。
This is an old book.	これは古い本です。
This is your book.	これはあなたの本です。
This book is hers.	この本は彼女の物です。
Is this book yours?	この本は君のですか。
This book is yours.	この本はきみのだよ。
This story is true.	この物語は真実です。
Don't be so hard on me.	キツイなあ。
Can we have a talk?	お話があるのですが。
How's your mother?	お母さんの具合はどう？
I am short of money.	お金がなくなった。
Our money ran out.	お金がなくなってきた。
Emi is a good girl.	エミはよい女の子だ。
When were you born?	いつ生まれましたか。
When will you leave?	いつ出かけますか。
That is your book.	あれはあなたの本です。
Who is that woman?	あの女の人は誰ですか。
You go to school.	あなたは学校へ行きます。
He watched that DVD.	彼がそのＤＶＤを見た
I really need money.	どうしても金が必要だ
I have two friends.	私には友達が２人います
He named the child.	彼が子供に名前をつけた
We are allowed X.	Xが私たちに許されています
Let's talk it out.	話をつけようじゃないか。
Let's leave it at that.	話は決まった。
I have few friends.	友人は少ししかいない。
I believe in you.	僕は君の力量を信じている。
Seeing is believing.	百聞は一見に如かず。
She calls me Kenji.	彼女は僕を健二と呼ぶ。
She held up her head.	彼女は頭を上げた。
She looked behind.	彼女は後ろを振り向いた。
She is five years old.	彼女は五歳です。
She was all smiles.	彼女は喜色満面だった。
How she talks!	彼女は何ておしゃべりなんだろう。
She left for Paris.	彼女はパリへ出発した。
How kind she is.	彼女はなんて親切なのだろう。
She died in 1960.	彼女は１９６０年に死んだ。
Will you meet her?	彼女と会うつもりですか。
She opened the door.	彼女はドアを開けた。
He shall go at once.	彼をすぐ行かせよう。
They stopped talking.	彼らは話をやめた。
They are the same age.	彼らは同い年だ。
They had no food.	彼らには食べ物が無かった。
He isn't coming, either.	彼も来ない。
He is my close friend.	彼は僕の親友だ。
He asked for food.	彼は食物をくれと頼んだ。
He is in business.	彼は商業に従事している。
He drove to school.	彼は車で学校へ行った。
He's younger than me.	彼は私より年少だ。
He gave me a watch.	彼は私に時計をくれた。
He is young at heart.	彼は気持ちが若い。
He is not down yet.	彼はまだ降りてこない。
He speaks French.	彼はフランス語を話します。
He turned around.	彼はぐるりとふりかえった。
He is sure to come.	彼はきっと来ると思う。
He is certain to come.	彼はきっと来る。
He is watching TV.	彼はテレビを見ています。
Let me put him on.	彼に代わってもらいます。
Can you meet him?	彼に会うことは出来ますか。
He has a position.	彼には役職がついている。
Give him a break!	彼にチャンスを与えてやれ！
I gave him the book.	彼にその本をあげた。
Let him pay for it.	彼にお金を払わせれば？
Why don't you come in?	入っておいでよ。
They moved in together?	同棲したこと？
Don't work too hard.	働き過ぎないように。
It was Saturday night.	土曜の夜だった。
Be kind to others.	他人には親切にしなさい。
Do watch your step.	足元に御用心願います。
That's including taxes.	税込みですよ。
Down with the Government!	政府打倒。
Act your place.	新米のくせに大きな顔をするな。
Where will we meet?	集合場所はどこですか？
Let me pay my share.	自分の分は払います。
What's the story?	事の次第はどうなんですか。
I gave him a book.	私は彼に本を一冊やった。
I found him kind.	私は彼が親切だとわかった。
I called for help.	私は大声で助けを求めた。
I was born in Osaka.	私は大阪生まれです。
I turned right.	私は車のハンドルを右に切った。
I was born in Kyoto.	私は京都で生まれた。
I know the girl.	私はその少女を知っています。
I called on Judy.	私はジュディさんを訪れた。
Where is my book?	私の本はどこにありますか。
My watch is broken.	私の時計は狂っている。
Can you hear me?	私の言うことが聞こえますか。
Don't answer me back.	私に口答えするな。
We like children.	私たちは、子供が好きです。
I'll take care of it.	私がご馳走します。
A child needs love.	子供には愛情が必要だ。
The rest is left to you!	後は任せた！
You are strong-minded.	君は意志が強い。
I'm leaving it to you.	君にまかせるよ。
We ran short of money.	金不足になった。
Shall we take a rest?	休憩しましょうか。
Do you speak English?	英語を話しますか。
As you already know.	既にご存じのように。
You better believe it.	間違いないって。
Don't talk around it.	回りくどく言うな。
I can't put up with it.	我慢できない。
I can't say for sure.	何とも言えないな。
Do you have a plan?	何か計画がありますか。
Let's play something.	何かして遊ぼうよ。
Let's speak English.	英語を話しましょう。
Who can read the future?	一寸先は闇。
I didn't hear you.	よく聞こえませんでした。
No more parties.	もうパーティーはなしですよ。
Day will break soon.	もうすぐ夜が明ける。
I saw him but once.	ほんの一度会っただけ。
I want some money.	ぼくはお金がほしいのだ。
I'm in need of money.	ぼくはお金がいる。
Why did you run away?	どうして逃げたの。
That is a good idea.	それは良い考えです。
That's very big of you.	それは有難い。
That's a good answer.	それはいい答えだ。
That's a good idea.	それはいいアイデアだ。
Stop going there.	そこに行くのはやめなさい。
Do keep practicing!	ぜひ練習を続けなさい。
I already told you.	すでにお話ししました。
Jim opens the door.	ジムがドアを開けます。
These books are new.	これらの本は新しい。
This is true to life.	これは生き写しだ。
Is this your book?	これはあなたの本ですか。
Answer me this.	これから言うことに答えなさい。
Anything goes here.	ここでは何でも起こる。
May I talk to you?	お話ししてもよいですか。
Can it be true?	いったいそれは本当なんですか。
When will you be free?	いつお暇ですか。
Ann has a kind heart.	アンは心が優しい。
That is our school.	あれは私達の学校です。
One day I met him.	ある日、私は彼に会った。
Look at the girls.	あの女の子達を見なさい。
You have no heart.	あなたは思いやりがない。
He died aged 54 years.	５４歳で死んだ。
He felt at home.	彼はくつろいだ気分になった。
Mind your own business!	口をはさむな。
I don't believe this.	こんなの信じない。
He put it like that.	彼が、そんな表現をした
There is really no end.	本当にキリが無い
I have two children.	私には子供が二人います
It's hard on your back.	腰に負担がかかる
X can be often seen.	Xがしばしば見られます
The food is so good!	とにかくご飯が美味しい
It's well cared for.	充分に手入れが行き届く
Why don't we go home?	家に帰りましょうか。
To change the subject.	話はかわりますが。
It is a long story.	話せば長いことなのです。
I had a good idea.	良いアイデアが思いついた。
Go about your business.	余計なお節介だ。
Tell me a true story.	本当の話をしなさい。
Better believe it.	本当さ。信じた方がいいぜ。
I am reading a book.	本を読んでいるんです。
I called her Cathy.	彼女をキャシーと呼んだ。
She is out of her mind.	彼女は頭が変だ。
She is a kind girl.	彼女は親切な女の子です。
She was kind enough.	彼女は十分親切でした。
She left me a note.	彼女は私に置手紙をした。
She's hard at it.	彼女は仕事に精を出している。
Is she here yet?	彼女はもうここにきていますか。
