Wow!	すごい！
He went to Nara.	彼は奈良に行った。
His eyes are blue.	彼の目は青い。
I need his help.	彼の助けが必要だ。
I don't ovulate.	排卵がありません。
My sunburn hurts.	日焼けして痛い。
It's a cloudy day.	曇りの日です。
The light went on.	灯りが点いた。
Peaches taste sweet.	桃は甘い。
How embarrassing!	恥ずかしいなぁ！
Ignorance is bliss.	知らぬが仏。
He's tickled pink.	彼は大喜びだ。
I have a bruise.	打撲傷があります。
It's a snowy day.	雪降りの日です。
Be utterly dejected.	青菜に塩。
I excited her.	私は彼女を興奮させた。
I am a bad sailor.	私は船に弱い。
I was embarrassed.	私は困惑した。
I like singing.	私は歌うのが好きだ。
Read after me.	私について読みなさい。
Kid's a hustler.	子供はペテン師だ。
It is sunny today.	今日は晴れだ。
Give the password.	合言葉を言う。
Work like a bee.	甲斐甲斐しく働く。
Learn humility.	謙虚さを身につけて。
I have heartburn.	胸焼けがします。
Go up the stairs.	階段を上がって。
I need an ashtray.	灰皿を下さい。
I have diarrhea.	下痢をしています。
It's a rainy day.	雨降りの日です。
Lemons are sour.	レモンはすっぱい。
Bob helped me.	ボブが手伝ってくれた。
I feel homesick.	ホームシックです。
I'm wheezing.	のどがゼーゼー言います。
Is it baked?	それは焼いてあるのですか。
Hasten, my lads!	さあ君たち急いで！
I abhor spiders.	クモは大嫌いです。
I'm exhausted.	くたくたに疲れました。
It tastes moldy.	かび臭い味がする。
It's sweltering.	うだるように暑い。
That is his car.	あれは彼の車です。
He turned traitor.	彼は裏切った。
The cat took a nap.	猫が昼寝をした
Hey, you there!	ちょっと、そこのきみ！
OK! Bring it on!	よし、かかってこい！
Send me a postcard.	葉書をおくれ。
Heed public opinion.	世論に聞け。
What's the matter?	なにか問題でも？
It cannot be true.	本当の筈がない。
I am constipated.	便秘をしています。
I have a migraine.	偏頭痛がします。
The grapes are sour.	負け惜しみ。
She grew roses.	彼女は薔薇を栽培した。
She is pigeon-toed.	彼女は内股だ。
She is prudish.	彼女は上品ぶっている。
He is depressed.	彼は落ち込んでいる。
He went blind.	彼は目が見えなくなった。
He was acquitted.	彼は無罪になった。
He is a physicist.	彼は物理学者だ。
He lost his all.	彼は全財産を失った。
He is a biologist.	彼は生物学者だ。
He did his best.	彼は最善をつくした。
He is unrealistic.	彼は考えが甘い。
He went far away.	彼は遠くに行った。
He's depressed.	彼は意気消沈している。
He is in pajamas.	彼はパジャマ姿だ。
He played tennis.	彼はテニスをした。
He is skating.	彼はスケートをしている。
It's getting cloudy.	曇ってきた。
The thief ran away.	泥棒が逃げた。
The earth rotates.	地球は自転する。
I feel feverish.	体が熱っぽいのです。
The ship went off.	船は出ていった。
Every man in his way.	人に一癖。
It's unbelievable.	信じられないわ。
Do your homework.	宿題をやりなさい。
What about the rash?	湿疹の方は？
I have an earache.	耳が痛いのです。
I have hemorrhoids.	痔があります。
I have a toothache.	歯が痛いです。
I've got a toothache.	歯が痛い。
I'm a salesperson.	私は販売員です。
I'm a TV addict.	私はテレビ中毒です。
I will endorse it.	俺が保証するよ。
It is windy today.	今日は風が強い。
It's rainy today.	今日は雨降りです。
It's cloudy today.	今日は曇りです。
You're a bookworm.	君は本の虫だね。
You are naughty.	君はいたずらっ子だ。
Call an ambulance.	救急車を呼んで！
I feel refreshed.	気分がさわやかだ。
A shave, please.	顔をそってください。
My face twitches.	顔がひきつります。
Huh? Oh, I'm sorry.	ん？あ、悪い。
I am a bachelor.	わたしは、独身です。
I sneeze a lot.	よくくしゃみが出ます。
Make haste slowly.	ゆっくりと急げ。
It's balmy today.	ぽかぽかと暖かい。
Gotta paint it.	ペンキを塗らなくちゃ。
A fuse has blown.	ヒューズが飛んだ。
Tom lost his job.	トムは首になった。
Unlock the door.	ドアのロックあけて。
So he went in.	だから彼は入っていった。
Everything is OK.	すべてオーケーだ。
Let's hit the hay.	じゃあ寝ようよ。
Spiders spin webs.	クモは網を張る。
I want a guitar.	ギターが欲しいです。
Is there a cafe?	カフェがありますか。
I'm starving!	おなかがすいて死にそうだ。
Call me sometime.	いつか電話してよ。
No, I went out.	いいえ、外出しました。
That is his house.	あれは彼の家だ。
That movie stinks!	あの映画、最低！
Two weeks went by.	２週間が過ぎた。
stipulate in the law	法律に規定する
He broke his word.	彼は約束を破った。
Is there a curfew?	門限がありますか。
Fasten the gate.	門にかぎを掛けなさい。
My eyes feel itchy.	目がかゆいです。
I have bleary eyes.	目がかすみます。
His dream came true.	夢が実現した。
Aren't you sleepy?	眠くないんですか。
Hey, there's no pulse.	脈がない。
I hit on a spa.	僕は偶然温泉を見つけた。
I got a bee sting.	蜂に刺されました。
I won the lottery.	宝くじが当たった。
The wind has abated.	風が和らいだ。
His face cleared.	表情が明るくなった。
I have a runny nose.	鼻水が出ます。
My nose is itchy.	鼻がむずむずします。
She despised him.	彼女は彼を軽蔑した。
She is ill-natured.	彼女は人が悪い。
She adores cats.	彼女はネコが大好きだ。
She is a typist.	彼女はタイピストです。
She's fashionable.	彼女はオシャレだ。
She is carefree.	彼女には心配事がない。
He shall be scolded.	彼をしかろう。
Get off his back.	彼への非難をやめろ。
His eyesight is bad.	彼は目が悪い。
He is a good loser.	彼は諦めが早い。
He is a dramatist.	彼は劇作家である。
He yawned widely.	彼は大あくびをした。
He is a fast runner.	彼は速く走る。
He is a fast runner.	彼は足が速い。
He held his breath.	彼は息を止めた。
He held his breath.	彼は息をのんだ。
He is a war orphan.	彼は戦災孤児だ。
He lost his honor.	彼は信用を失った。
He was embarrassed.	彼は照れていた。
He is a woman hater.	彼は女嫌いだ。
He is unmarried.	彼は結婚してないです。
He started singing.	彼は歌い始めた。
He went back home.	彼は家にもどった。
He is unsociable.	彼はつきあいが悪い。
He likes soccer.	彼はサッカーが好きだ。
He hates spiders.	彼はクモが大嫌いだ。
He went 5 innings.	彼は５回を投げた。
Is his story true?	彼の話は本当かな。
What is his name?	彼の名前は何ですか。
His room is untidy.	彼の部屋は汚い。
What is his age?	彼の年はいくつですか。
Peace to his ashes!	彼の魂に平和を！
I have a backache.	背中が痛いのです。
I have sinus trouble.	蓄膿症です。
I'm busy as a bee.	大変、忙しいです。
The typhoon is gone.	台風は去った。
The stars twinkled.	星が輝いていた。
It's baking hot.	焼けつくように暑いね。
I don't like sushi.	寿司が嫌いです。
Do you like sushi?	寿司は好きですか。
He was deaf, too.	耳も聞こえなかった。
The outlook is grim.	事態は険悪だ。
I'm a good sailor.	私は船酔いしない。
I abhor politics.	私は政治が大嫌いだ。
I went hiking.	ハイキングに行ったんだよ。
I played tennis.	私はテニスをしました。
I often ski.	私はしばしばスキーに行きます。
Don't mislead me.	私の判断を誤らすな。
My hobby is music.	私の趣味は音楽だ。
We went to Gifu.	私たちは岐阜に行った。
The dyer wears white.	紺屋の白袴。
I'm very sleepy now.	今とても眠い。
It is cloudy now.	今、くもっています。
Airmail, please.	航空便でお願いします。
Don't wanna regret.	後悔したくない。
It's an eyesore.	見た目が邪魔だもんな。
I passed clots.	血のかたまりが出ました。
You startled me!	驚くじゃありませんか！
We're goin' home.	家に帰るんだよ僕ら。
Hey, what happened?	何があったんだ？
Don't be a copycat.	猿まねはやめろ。
My hopes revived.	また希望が出てきた。
Bob is my friend.	ボブは私の友達です。
The buzzer sounded.	ブザーがなった。
Daddy passed gas.	パパがおならをした。
I am in a stew.	とてもヤキモキしている。
It's a sunflower.	それはひまわりです。
I hiccup a lot.	しゃっくりがよく出ます。
OK, I'll order it.	じゃあ注文します。
Let's play soccer.	サッカーをやろう。
This is holy ground.	ここは聖地だ。
You look gloomy.	うかぬ顔をしているね。
He hates carrots.	彼は人参が嫌いです。
I get enthusiastic.	思わず力が入ります
He exhales slowly.	彼がゆっくり息を吐く
I faded out.	私の意識がそのまま闇の中に消えた
He ponders X.	彼がXにあれこれ思いを巡らせる
I gave him an enema.	浣腸をしました。
My eyes are watery.	涙が止まりません。
I will be a repeater!	落第しちゃう！
Every man to his trade.	餅は餅屋。
It's abundantly clear.	明々白々だ。
I'm a light sleeper.	眠りが浅いんだ。
I'm terribly sorry.	本当にすいません。
I heaved myself up.	僕は起きあがった。
He's like an eel.	捕らえどころのない人。
Insure it, please.	保険をかけて下さい。
Don't talk rubbish.	変なこと言うなよ。
He became irritated.	彼は腹をたてた。
Rugs absorb sound.	敷物は音を吸収する。
She is a late riser.	彼女は朝寝坊だ。
She is good-natured.	彼女は人がいい。
She is a chatterbox.	彼女は口が軽い。
She's a big teaser.	彼女は意地悪女だ。
She rode a camel.	彼女はらくだに乗った。
She is a pianist.	彼女はピアニストです。
I inquired after him.	彼を見舞った。
He is apt to forget.	彼は忘れっぽい。
He looks gloomy.	彼は浮かぬ顔をしている。
He cannot be ill.	彼は病気のはずがない。
He acts his age.	彼は年齢相応に振る舞う。
He's a late bloomer.	彼は大器晩成だ。
He is an early riser.	彼は早起きだ。
He went to bed early.	彼は早く寝た。
He saved a sailor.	彼は船乗りを助けた。
He shook his head.	彼は首を横に振った。
He warmed his hands.	彼は手を温めた。
He is now on his own.	彼は自立した。
He is my classmate.	彼は私の級友です。
He changed his job.	彼は仕事を変えた。
He lost his memory.	彼は記憶を失った。
He dropped a vase.	彼は花瓶を落とした。
He is a screwball.	彼はつむじ曲がりだ。
He plays soccer.	彼はサッカーをしている。
He slept soundly.	彼はぐっすりと眠った。
He lost his spirit.	彼はがっかりした。
He keeps his word.	彼は約束を守る人だ。
His story is true.	彼の話は本当だった。
His shoes are brown.	彼の靴は茶色だ。
It is our rainy season.	梅雨です。
Natto is sticky.	納豆はねばねばしている。
The fever has abated.	熱が下がった。
His head was gray.	頭の毛は灰色だった。
His head was gray.	頭の色は灰色だった。
We caught the thief.	泥棒を捕まえた。
Take some aspirin.	鎮痛剤を飲みなさい。
We are not amused.	朕はおもしろうない。
Many years went by.	長い年月が過ぎた。
Let me rephrase it.	聴き方をかえます。
Wear warm clothes.	暖かい服を着なさい。
They sweated gallons.	大汗をかいた。
I'm just starving.	全くはらぺこである。
Fair, later cloudy.	晴れ後曇りでした。
The party grew chilly.	場が白けた。
He said so in jest.	冗談にそういった。
It is broiling hot.	焼けるように熱い。
Call a spade a spade.	鋤は鋤と呼べ。
Can we rent a car?	車を借りられますか。
Excuse my clumsiness.	失礼しました。
Don't deceive me.	私を騙さないで下さい。
We abhor violence.	私たちは暴力を憎む。
I like his music.	私は彼の音楽が好きだ。
I went to the zoo.	私は動物園へ行った。
I like astrology.	私は占星学が好きです。
I lost my umbrella.	私は傘をなくした。
I failed after all.	私は結局失敗した。
I met my classmate.	私は級友に会った。
Am I talented?	私には才能があるのだろうか。
We are his sons.	私たちは、彼の息子です。
Umbrellas sell well.	傘が良く売れる。
It is cloudy today.	今日は曇っている。
It's a grim world.	厳しい世の中だなあ。
Wedlock is a padlock.	結婚は身の枷。
Get out your wallet.	金を出しなさい。
Call an ambulance.	救急車を呼んでくれ。
Haste makes waste.	急ぐと無駄が出来る。
Beware of imitations.	偽物にご注意。
You are actresses.	貴方達は、女優です。
Don't be a busybody.	やじ馬はやめろ。
Bees make honey.	ミツバチは蜂蜜をつくる。
A boat capsized.	ボートがひっくり返った。
Here's your pudding.	プリンをどうぞ。
Harry is only 40.	ハリーはまだ４０歳だ。
The thief ran away.	どろぼうは逃げた。
Tom hit a triple.	トムは三塁打を打った。
Tom hit a triple.	トムは３塁打を打った。
Do you play tennis?	テニスをしますか。
That's hindsight.	それは泥縄式な考えだ。
It cannot be helped.	それは仕方ない。
That comes in handy.	そりゃ便利だね。
The thief ran away.	その泥棒は逃げた。
The dog went away.	その犬は立ち去った。
The fruit went bad.	その果物は腐った。
Beware of pickpockets.	スリに注意。
George was livid!	ジョージはブチキレた。
Jack isn't here.	ジャックがきていません。
This means nil.	これは「零点」を意味する。
I hit the jackpot.	くじは私に当たった。
The number is engaged.	お話中です。
Let's have sushi.	お寿司を食べましょう。
India is populous.	インドは人口が多い。
I'm always moody.	いつも不機嫌なのです。
Call me anytime.	いつでもお電話ください。
I'm speechless.	あきれてものも言えないよ。
They're in aisle two.	２番通路です。
I have a stomachache.	お腹が痛いの。
X is indescribable.	Xが、何とも言えない
He ages gracefully.	彼が素敵に年を重ねる
He sits in his seat.	彼が自分の席に着く
I often get thirsty.	やたら喉が渇きます
He did a cartwheel.	彼は側転をしました。
An eyelid opens wide.	瞼が大きく開く。
No wonder I'm sleepy.	眠いのは当然だ。
I sniffed the smell.	僕は匂いを嗅いだ。
I carried on singing.	僕は歌い続けた。
Physics be hanged!	物理なんてまっぴらだ。
I have a stomachache.	腹痛があります。
Let's talk turkey.	腹を割って話し合おう。
Change your clothes.	服を着替えなさい。
Colds are contagious.	風邪は伝染する。
She went on working.	彼女は働き続けた。
She is apt to fail.	彼女は失敗しそうだ。
She went for a walk.	彼女は散歩に出た。
She's hyperactive.	彼女はものすごい元気。
Do not disturb her.	彼女の邪魔をするな。
Follow his example.	彼を手本にしなさい。
They are wrestlers.	彼らはレスラーです。
They drink coke.	彼らは、コーラを飲みます。
He turned traitor.	彼は裏切り者になった。
He keeps his word.	彼は約束に忠実である。
He closed his eyes.	彼は目を閉じました。
He took off his hat.	彼は帽子を脱いだ。
He's a quick walker.	彼は歩くのが速い。
He is doing his work.	彼は勉強中です。
He ran for his life.	彼は必死に逃げた。
He swindled her.	彼は彼女をぺてんにかけた。
He lapsed morally.	彼は道徳的に堕落した。
He went to the store.	彼は店に行った。
He wears his hair long.	彼は長髪だ。
He was very excited.	彼は大変興奮した。
He is a fast runner.	彼は走るのが速い。
He became a sailor.	彼は船乗りになった。
He overslept himself.	彼は寝過ごした。
He hung up his coat.	彼は上着を掛けた。
He is in his library.	彼は書斎にいる。
He held up his hands.	彼は手を挙げた。
He cannot be young.	彼が若いはずがない。
He went by bicycle.	彼は自転車で行った。
His eyes failed him.	彼は視力を失った。
He has poor eyesight.	彼は視力が弱い。
He has good eyesight.	彼は視力がいい。
He gave me a wink.	彼は私に目くばせした。
He failed after all.	彼は結局失敗した。
He changed his mind.	彼は決心を変えた。
He is at his desk.	彼は机に向かっている。
What is he after?	彼は何を求めているのか。
How noisy he is!	彼は何と騒がしいのだろう。
He denied the rumor.	彼は噂を否定した。
He stood aloof.	彼はぽつんと一人立っていた。
He is keen on jazz.	彼はジャズに夢中だ。
He had jeans on.	彼はジーンズをはいていた。
He is good at golf.	彼はゴルフがうまい。
I deny his request.	彼の要求を拒絶する。
His word is law.	彼の命令はそのまま法律だ。
His dream came true.	彼の夢は実現した。
His dream came true.	彼の夢が実現した。
His family is large.	彼の所は大家族だ。
We disturbed him.	私たちは彼の邪魔をした。
His play was a hit.	彼の芝居は当たった。
His bicycle is blue.	彼の自転車は青い。
His doom is sealed.	彼の運命は定まった。
I have greasy skin.	肌が脂っぽいのです。
The twilight came on.	薄暮れが迫った。
What's the number?	電話番号は何番ですか。
Do you wear a kimono?	着物は着ますか。
Yawn a big long yawn.	大あくびをして。
The snowstorm held on.	吹雪が続いた。
The prize went to him.	賞は彼の手に。
I'm bleeding badly.	出血がひどいのです。
Write me sometime, OK?	手紙書いてね。
Time went quickly.	時間がどんどん経った。
I have good eyesight.	視力は良いです。
I have poor eyesight.	視力は悪いです。
We rented a canoe.	私達はカヌーを借りた。
I also went there.	私もそこへ行きました。
I was wet with dew.	私は露に濡れていた。
I aspire to fame.	私は名声を熱望している。
I bowed politely.	丁寧におじぎをしました。
I like red roses.	私は赤いバラが好きです。
I'm good at tennis.	私はテニスが得意だ。
I can play tennis.	私はテニスができます。
I am a trifle sad.	私はちょっぴり悲しい。
I'm good at skiing.	私はスキーが得意だ。
I like jazz music.	私はジャズが好きです。
I adore the opera.	私はオペラが大好きだ。
I went to Nagasaki.	私は、長崎に行った。
My hobby is to read.	私の趣味は読書だ。
Repeat after me.	私の後について言いなさい。
I sat by his side.	私は彼のそばに座った。
My hobby is skiing.	私に趣味はスキーだ。
We abhor violence.	私たちは暴力が嫌いだ。
I am Edgar Degas.	私がエドガー・ドガです。
I closed my umbrella.	傘を閉じました。
I put up my umbrella.	傘をさしました。
That was a close shave.	際どかった。
After death, the doctor.	後の祭り。
Marriage is a lottery.	結婚は運次第。
A whale is a mammal.	鯨は哺乳類である。
You are wavering.	君は浮き足立っているね。
You are hopeless.	君にはまったく往生する。
Tie your shoelaces.	靴の紐を結びなさい。
More haste, less speed.	急がば回れ。
Haste makes waste.	急いては事を仕損じる。
Are you feeling OK?	気分は大丈夫ですか。
I don't wanna go back.	帰りたくない。
A mosquito just bit me.	蚊が刺した。
Let bygones be bygones.	過去は過去。
My papa said no.	俺のパパはダメだと言った。
Bob saw him again.	ボブは再び彼にあった。
I applied for a visa.	ビザを申請した。
Roses smell sweet.	バラは良い香りがする。
Hey, you know what?	ねえねえ、知ってる。
What a big eater!	なんて大食いなのだろう。
Tom threw his game.	トムは試合を投げた。
Anyhow, let's begin.	とにかく始めよう。
It doesn't matter.	どっちでも構いません。
Either day is OK.	どちらの日でも結構です。
Do you play tennis?	テニスをやりますか。
Do you like tennis?	テニスは好きですか。
I blew a gasket.	ついカッとなってしまって。
It is still immoral.	それは反道徳的だ。
The crow flew away.	その烏は飛び去った。
Cicadas are singing.	セミが鳴いている。
John likes chess.	ジョンはチェスが好きだ。
What about Jack?	ジャックはどうしましたか。
Jim put his hand up.	ジムは手を挙げた。
Say hello to Jimmy.	ジミーによろしくね。
Nobody was injured.	けが人はでなかった。
Can you do the crawl?	クロールできる？
You're overworked.	お前、仕事しすぎだよ。
You're my good omen.	お守りはあなたよ。
Tie the apron.	エプロンの紐を結んでください。
Gee, unbelievable!	えー、信じらんなーい！
It's going nicely!	いい線いっていますよ。
Ann sings elegantly.	アンは優雅に歌う。
The storm abated.	あらしの勢いが弱まった。
I outwitted him.	あの男を出し抜いてやった。
Can you skate?	あなたはスケートができますか。
You cannot climb!	あなたは、上れませんよ。
Do you play tennis?	テニスができますか。
He is a daredevil.	あいつは無鉄砲な男だ。
Alas! We are ruined.	ああ、もう破産だ。
He gave me a wink.	彼は私にウインクした。
Live long and prosper.	長寿と繁栄を。
It's very inefficient.	非常に効率が悪い
The call went through. 	電話が繋がった
X prevents mildew.	Xでカビの発生を防ぎます
He gives a pep talk.	彼から叱咤の声が飛ぶ
The Bible says 〜.	〜と聖書には記されています
No spoilers, please!	ネタばれは禁止です。
She was depressed.	彼女は落ち込んでいたわ。
It's a difficult matter.	厄介な事だ。
The alarm went off.	目覚ましがなりました。
My eyes feel gritty.	目がゴロゴロします。
I'm really confused.	本当に参りましたね。
She's my classmate.	僕のクラスの友達だよ。
Sewing is manual work.	縫い物は手仕事。
I have watery stools.	便が水のようです。
I've become impotent.	不能になりました。
Their number is great.	彼等の数は多い。
She went shopping.	彼女は買い物に出かけた。
She went inside.	彼女は内へ入っていきました。
She is an early riser.	彼女は早起きだ。
She remarried soon.	彼女はすぐに再婚した。
She's a glamor girl.	彼女はグラマーだね。
She smiled sadly.	彼女はかなしげに微笑んだ。
She went to Ibaraki.	彼女は茨城に行った。
Her face was sooty.	彼女の顔はすすだらけ。
They sued for peace.	彼らは和睦を求めた。
They call me Bob.	彼らは私をボブと呼びます。
He held up his hands.	彼は両手をあげた。
His life is in danger.	彼は命が危ない。
His pulse beats slow.	彼は脈拍がおそい。
He forbore his anger.	彼は怒りを抑えた。
He yelled with pain.	彼は痛さでわめいた。
He is apt to be late.	彼は遅刻しがちだ。
He yawned heavily.	彼は大きなあくびをした。
He is Taro's brother.	彼は太郎の兄です。
He is a fast runner.	彼は速いランナーだ。
He is his usual self.	彼は相変わらずだ。
He was slain in battle.	彼は戦死した。
He dropped his voice.	彼は声をおとした。
He insured himself.	彼は生命保険をかけた。
He is a square shooter.	彼は正直者だ。
He cannot be trusted.	彼は信用できない。
He took off his coat.	彼は上着を脱いだ。
He warmed his hands.	彼は手を暖かくした。
He is very sociable.	彼はとても社交的だ。
He took his book.	彼は自分の本を手に取った。
He is an eager beaver.	彼は仕事の鬼だ。
He has acted wisely.	彼は賢明に行動した。
He lay on his back.	彼は仰向けに寝転んだ。
He laid on his back.	彼は仰向けになった。
He acted as chairman.	彼は議長を務めた。
He has left his family.	彼は家をでた。
He held out his hand.	彼は握手を求めた。
He has a racket.	彼はラケットを持っています。
He lost his all.	彼はもてる物すべてを失った。
He got out his pen.	彼はペンを取り出した。
He is misfortune.	彼はなんて不運なのだろう。
He went on doing it.	彼はそれをし続けた。
His name is mud.	彼はすっかり信用を無くした。
He's all excited.	彼はすっかり興奮している。
He is playing golf.	彼はゴルフをしている。
He is keen on golf.	彼はゴルフに夢中です。
He shined his shoes.	彼はくつをみがいた。
He took off his hat.	彼は、帽子を取った。
He went up Mt. Fuji.	彼は富士山に登った。
He has a bicycle.	彼は自転車を持っています。
He's gone to his rest.	彼は、永眠した。
His pace quickened.	彼の歩調が速くなった。
His car is a Ford.	彼の車はフォード製です。
I agree to his plan.	彼の計画に賛成する。
I pardoned his fault.	彼の過失を許した。
His family is large.	彼の家族は大家族だ。
His love grew cold.	彼の愛は冷めていった。
His joke killed me.	彼のジョークは最高だ。
His joke killed me.	彼のジョークで笑った。
My hair is so messy!	髪がめちゃくちゃ！！
Cast pearls before swine.	猫に小判。
My urine is cloudy.	尿の色が濁っています。
Can I dial direct?	直接ダイヤルできますか。
Naoko is a swimmer.	直子さんは泳ぎ手です。
The birds are singing.	鳥が歌っている。
Be a good listener.	聴き上手になりなさい。
A spider weaves a web.	蜘蛛は巣を張る。
Let's take the subway.	地下鉄に乗ろう。
The batter was out.	打者はアウトになった。
Taro, dinner's ready!	太郎、ご飯ですよ。
Bring the laundry in.	洗濯物入れてきて。
Honesty doesn't pay.	正直者が馬鹿を見る。
Clothes make the man.	身なりは人を作る。
My heart quickened.	心臓の鼓動が速まった。
I have gas indigestion.	消化不良です。
Hold the handrail.	手すりにつかまりなさい。
The car gave a jolt.	車はがたがた揺れた。
Proper praise stinks.	自賛は悪臭を放つ。
Time passes quickly.	時が経つのははやい。
