I try.	頑張ってみる。
What happened?	何が起こったのですか。
What is happening?	何かあったの？
Get out of bed!	ベッドから出なさい。
Why were you late?	なぜ遅れたの？
See you later!	ではまた会いましょう。
Drink it down.	それを飲み込みなさい。
That's too bad.	それはいけませんね。
The boy is kind.	その少年は親切だ。
Whose book is this?	これ誰の本？
Whose is this?	これは誰のものですか。
Leave it alone!	お前の知ったことか！
I lie on my face.	うつぶせに寝る。
I usually walk.	いつも歩いています。
It's your deal.	あなたが配る番です。
Tom was sleeping.	トムは寝ていた。
She isn't poor.	彼女は貧乏ではない。
I had a lot of X.	Xが私には多かった
It is already dark.	もう日が暮れた
How wide is it?	幅はどれくらいですか。
She talks a lot.	彼女はよくしゃべる。
They are teachers.	彼らは先生です。
He is a kind boy.	彼は親切な少年だ。
Is he sleeping?	彼は寝ているのですか。
He drank a little.	彼は少し飲んだ。
He appeared young.	彼は若く見えた。
He crossed me up.	彼は私を裏切った。
He is my teacher.	彼は私の先生です。
He is off today.	彼は今日は休みです。
He never lies.	彼は決して嘘をつかない。
He lay face up.	彼は仰向けに寝ていた。
How he eats!	彼は何とよく食べるのだろう。
He slept all day.	彼は一日中眠った。
He knows lots.	彼はいろいろ知っている。
I talk to myself.	独り言をいいます。
I put up a notice.	張り紙を出した。
May I try it on?	着てみていいですか。
The fight is over.	戦いは終わった。
What's your major?	専攻は何ですか。
Let's go to eat.	食事に行きましょう。
Water the plants.	植物にお水あげて。
The boy was full.	少年は満腹だった。
I walk every day.	私は毎日歩きます。
I took her arm.	私は彼女の腕を取った。
I like your car.	私は君の車が好きだ。
I have a car.	私は、車を所持しています。
Don't lie to me.	私に嘘を言わないで。
I'm game for it.	私にはその気がある。
I alone did it.	私だけがそれをやった。
There is no choice.	仕方がないよ。
Let's take a walk.	散歩しましょう。
Watch your mouth!	言葉に気をつけろ！
I'm feeling low.	気分がすぐれません。
I sleep on my side.	横向きに寝る。
How's your wife?	奥様はお元気ですか。
Never tell a lie!	嘘は決してつくな！
Are drinks free?	飲み物は無料ですか。
I was made to drink.	飲まされた。
Let me go alone.	一人で行かせてくれ。
It was a dark night.	闇夜だった。
It is a white lie.	悪意のない嘘だ。
Just take it easy.	もっと気楽にね。
What's your job?	どんなお仕事ですか。
Everything is OK.	すべてオーケーだ。
This is my choice.	これを選びます。
This is the boy.	これがその少年です。
Today is Sunday.	きょうは日曜日です。
Bring me the key.	キーを持ってきて。
You are drunk!	お前、酔っぱらってるよ！
It's too late now.	いまさら遅いよ。
Who is that boy?	あの少年は誰ですか。
Follow that car.	あの車を追ってくれ。
Let's have a try.	やってみましょう。
You should sleep.	眠った方がいいよ。
Tom was sleeping.	トムは眠っていた。
He has a big mouth.	彼は口が軽い。
I will take a loss.	自分が損をします
X is very difficult.	Xが大変困難だ
Until next week.	来週までごきげんよう。
Day began to break.	夜が更け始めた。
You look contented.	満足そうですね。
It's a short walk.	歩いてすぐですよ。
Up against the wall!	壁に手をつけ！
Prices are rising.	物価が上っている。
She has short hair.	彼女の髪は短い。
Her hair is long.	彼女の髪の毛は長い。
He shall be fired.	彼を首にしてやる。
He waits on her.	彼は彼女に仕えている。
He told the truth.	彼は真実を話した。
He has a bad heart.	彼は心臓が悪い。
He stopped the car.	彼は車を止めた。
He's the oldest son.	彼は長男です。
May I try it on?	着てみてもいいかしら？
I wish I were young.	若ければなあ。
The car broke down.	車が壊れていた。
Do you want a car?	車がほしいですか。
Let me step inside.	私を受け入れて。
I am a teacher, too.	私も先生です。
I was an outsider.	私は部外者だった。
I sleep in my room.	私は部屋で眠る。
I'm late, aren't I?	私は遅刻ですね。
I had my wife die.	私は妻に死なれた。
I can but wait.	私はただ待つだけの事だ。
I lay on my face.	私はうつぶせに寝た。
My father does walk.	私の父は歩く。
Leave me alone.	私の邪魔をしないでくれ。
Don't lie to me.	私にうそは言わないで。
Let's take a walk.	散歩をしましょう。
How was your walk?	散歩はどうだった？
How about a walk?	散歩に行きませんか。
About three weeks.	三週間ぐらいです。
My brother is out.	兄はいま留守です。
You are a good boy.	君はいい子です。
You are teachers.	貴方達は、先生です。
Let's take it easy.	気楽にしなさい。
Can I sleep out?	外泊してもいいですか。
The house is on fire!	家が火事だ。
What would happen?	何が起こるだろう。
Leave me alone.	一人にしておいて下さい。
I can't sleep well.	よく眠れません。
I'm still single.	なにしろ、独り者で。
Then let us begin.	では始めましょう。
I wish I could.	できればそうしたいけど。
I usually walk.	たいてい歩いて行きます。
Cut it in half.	それを半分にきりなさい。
Try and do it.	それをやってごらんなさい。
That's too bad.	それは大変だねえ・・・。
Try by all means.	ぜひやってみなさい。
But I want a car.	しかし、車は欲しい。
Come on, try again.	さあ、もう一度。
Can I eat this?	これを食べていいですか。
Here's the address.	これが住所です。
Let's cross here.	ここを渡りましょう。
I have a pain here.	ここが痛いです。
In about two weeks.	およそ２週間で。
Who is that boy?	あの男の子は誰ですか。
That car is hers.	あの車は彼女のです。
You are a teacher.	あなたは先生です。
You are a bad boy.	あなたは悪い子ね。
Try it once more.	もう一度やってみて。
I was offered a job.	仕事の話を頂いた
He actually did X.	彼がXを実際にやった
Still, it's too bad.	それなのに残念だ
Don't stand up.	立ち上がってはいけません。
I have two cars.	僕は車を２台持っている。
Look at my new car.	僕の新車を見ろよ。
Prices are rising.	物価が上昇している。
She got up late.	彼女は起きるのが遅れた。
They are teachers.	彼女たちは先生です。
He walked away.	彼は立ち去って行きました。
He drew up to her.	彼は彼女に近づいた。
He was in pain.	彼は痛がって苦しんでいた。
He has a big mouth.	彼は大ボラふきだ。
He crossed himself.	彼は十字を切った。
He took a short cut.	彼は近道をした。
He was very poor.	彼はひどく貧乏だった。
Hand in your papers.	答案を提出せよ。
We mustn't be late.	遅れてはいけない。
What is the price?	値段はいくらですか。
Someone was coming!	誰かがやってきた。
There's a car coming.	車がきてるぞ。
I wish I had a car.	車があったらなぁ。
A car cut in.	車が１台横から割り込んできた。
Can I try this on?	試着していいですか。
We started to walk.	私達は歩き始めた。
I know the truth.	私は真実を知っている。
I walk to school.	私は学校へ歩いていく。
I will stay at home.	私は家にいます。
I know the boy.	私はその少年を知っている。
My car is German.	私の車はドイツ製です。
Leave me alone.	私にかまわないでください。
It is Monday today.	今日は月曜日です。
I wish I were young.	今若ければなあ。
Shall we begin now?	今始めましょうか。
I'll call you later.	後で電話するよ。
You are home late.	帰るのが遅かったね。
What is the price?	価格はいくらですか。
Nothing happened.	何事も起こらなかった。
Leave me alone!	俺のことはほっといてくれ！
A man drew near.	一人の男が近づいてきた。
It is I that am bad.	悪いのは私です。
I have to go to bed.	もう寝なくちゃ。
Make your bed.	ベッドメイキングをしなさい。
Tom drove the car.	トムは車を運転した。
The man stood up.	その男は立ち上がった。
The car broke down.	その車は故障した。
Everything is over.	すべては終わった。
Size 9, I think.	サイズは９だと思います。
Is this your car?	これはきみの車ですか。
Here is your key.	こちらがあなたの鍵だ。
Good morning, Mike.	おはよう、マイク。
Prices are high.	インフレが進んでいます。
Whose car is that?	あれは誰の車ですか。
Did you ask the price?	値段聞いた?
He eats it a lot.	彼がそれをいっぱい食べる
The name stands out.	名前が目に付きます
He represents Japan.	彼が日本を代表する
It was natural that X.	Xが当然だった
Don't eat too much.	あまり食べ過ぎるな。
I ran into a tree.	木にぶつかったんです。
I couldn't sleep.	眠ることができなかった。
Money is everything.	万事が金の世の中。
Tell me the truth.	本当のことを教えてよ。
Tell me the truth.	僕に真相を話してくれ。
Do you have everything?	忘れ物ない？
I can't sleep at night.	不眠症です。
She has no figure.	彼女はスタイルが悪い。
They respect him.	彼らは彼を尊敬している。
He walks to school.	彼は歩いて通学する。
He moves quickly.	彼は動きがびんしょうだ。
He used to drink.	彼は昔、酒を飲んでいた。
He told the truth.	彼は真実を言っていた。
He likes a walk.	彼は散歩が好きに違いない。
He is at home today.	彼は今日家にいる。
He got very drunk.	彼はひどく酔っ払った。
He appeared at last.	彼はついに現れた。
He ate all of it.	彼はそれをみんな食べた。
I have to eat, too.	背に腹は代えられぬ。
I've changed my job.	転職をしたんです。
The pain has gone.	痛みがなくなりました。
Boys will be boys.	男の子はやはり男の子。
Boys will be boys.	男ってそうゆうものだ。
How was your stay?	滞在はいかがでしたか。
Need anything else?	他に何かいりますか。
Don't open the window.	窓を開けるな。
Let's ask the teacher.	先生に頼もう。
When shall we eat?	食事は何時にしようか。
Where did it happen?	場所はどこですか。
I like short hair.	私は短い髪が好きです。
I have one brother.	私は兄が一人います。
I want to stay here.	私はここにいたい。
I always eat out.	私はいつも外食なんです。
My car is a used one.	私の車は中古だ。
Where is my car?	私の車はどこにありますか。
My wife is Chinese.	私の妻は中国人です。
Leave me alone.	私のことはほっておいてくれ。
Let me have a try.	私にやらせてみてくれ。
Eat and drink up.	残さず飲んで食べなさい。
It's Saturday today.	今日は土曜日です。
I feel better today.	今日は気分が良い。
I'll remember that.	考えておきましょう。
It is easy to talk.	口で言うのは簡単だ。
May I have the key?	鍵をいただけますか。
I can't find my key.	鍵が見つからない。
Blood will have blood.	血で血を洗う。
The blood ran red.	血があかあかと流れた。
I can't lie to you.	君には嘘をつけない。
Are you feeling OK?	気分は大丈夫ですか。
The house is on fire.	家が燃えている。
What's your major?	何を専攻していますか。
I feel like a drink.	一杯やりたいなあ。
For personal reasons.	一身上の都合で。
I took a week off.	一週間休んでいました。
I'll sleep on it.	よく考えておきましょう。
I want a lot more.	もっとたくさん欲しい。
Let's try again.	もう一度やってみましょう。
Why were you late?	なぜ遅刻したのですか。
Any paper will do.	どんな紙でも結構です。
What's the difference?	どう違うのだ。
Not quite what I want.	ちょっとねえ。
The boy ran away.	その少年は逃げて行った。
These cars are big.	これらの車は大きい。
Whose book is this?	これは誰の本ですか。
Is this your car?	これはあなたの車ですか。
This is my brother.	この人は私の兄です。
Koko chose the tree.	ココは木を選んだ。
I have a cut here.	ここに切傷があります。
Just sign here.	ここにサインをお願いします。
I'm at a complete loss!	お手上げだ。
Never tell lies.	うそを言ってはいけないよ。
It's too late now.	いまからでは遅すぎる。
Whose book is that?	あれは誰の本ですか。
I'll call you later.	あとで電話します。
I go to bed at eleven.	１１時に寝る。
He has a lot of money.	彼は金持ちだ。
There's no evidence.	証拠がありません。
I'll call you later.	あとで電話するね。
Someone thought that 〜	〜と誰かが思った
They are on good terms.	とても仲が良い
X will really happen.	Xが現実に起きます
My wish will come true.	私の願いが叶う
Come on! Quickly!	さあ、来なさい！ 急いで！
Keep in touch with me.	連絡して下さい。
Everything is all right.	万事順調だ。
Everything goes well.	万事がうまくいく。
I'm really up a tree.	本当にお手上げだ。
I walked to school.	歩いてやってきました。
Prices go on rising.	物価は上がる一方だ。
Prices are going up.	物価が上がっている。
What if I am poor?	貧しかったらどうしよう。
She had gone to bed.	彼女は寝てしまった。
Fear fell upon her.	彼女は恐怖に襲われた。
She has no brothers.	彼女に兄弟はいない。
They feared you.	彼らはあなたを怖がっていた。
He's under treatment.	彼は目下療養中だ。
He walks to school.	彼は歩いて学校へ行く。
He can drive a car.	彼は車の運転ができる。
He stood behind me.	彼は私の後ろに立った。
He looked for the key.	彼は鍵を探した。
He turned the key.	彼はドアのキーを回した。
Whose friend is he?	彼はだれの友達ですか。
He is on the team.	彼はそのチームの所属だ。
He was alone there.	彼はそこに一人でいた。
He got a new job.	彼に新しい勤め口があった。
I found him a job.	彼に職を見つけてやった。
We will let him try.	彼にやらせてみよう。
Hand in your papers.	答案を出して下さい。
It was easy to answer.	答は簡単でした。
And so does my brother.	弟もそうです。
Do you have any pain?	痛みはありますか。
Money is everything.	地獄の沙汰も金次第。
There's a big sign.	大きな看板があります。
It's quite all right.	全くかまいません。
There comes our teacher.	先生が来る。
I've got a feeling.	心の奥からわきあがる。
The evidence is clear.	証拠は明らかだ。
Don't touch the goods.	商品に触れるな。
School begins at 9.	授業は９時から始まる。
Look out for the car.	車に注意しなさい。
I can't stand him.	私は彼には我慢できない。
I can't stand him.	私は彼にがまんできない。
I got my hair cut.	髪を切ってもらったんだ。
I saw him last week.	先週彼に会いました。
I continued working.	私は仕事をし続けた。
I got my hair cut.	私は散髪をしてもらった。
I would like to draw.	私は絵を描きたい。
I am an office worker.	私は会社員です。
I lay down to rest.	私は横になって休んだ。
I have one brother.	私は一人の弟がいます。
I waited for a time.	私はしばらく待った。
History is my major.	私の専攻は歴史です。
Do you remember me?	私のこと覚えてますか。
We got into a car.	私たちは車に乗り込んだ。
I try to stop myself.	止めようとしても。
Let us start our week.	仕事を始めよう。
Is it difficult work?	仕事は大変ですか。
The lines are crossed.	混線しています。
I'm not free today.	今日は都合が悪いんだ。
What's the day today?	今日は何日ですか。
How do you feel today?	今日のご気分は？
Who's the DJ today?	今日のＤＪは誰ですか。
Now it's your serve.	今度は君のサーブだ。
Open your mouth wide.	口を大きく開けて。
Let's keep in touch.	交際を続けましょう。
I'll do it later on.	後でやっておきます。
It is dark out of doors.	戸外は暗い。
I have an older brother.	兄がいます。
You are young boys.	君たちは若い男の子だ。
Let's take a short cut.	近道をしよう。
Don't cut in line.	割り込んではいけません。
What caused the fire?	火災の理由は何か。
What should I eat?	何を食べたらいいですか。
What do you suggest?	何がおいしいですか。
Don't drink and drive.	飲んだら乗るな。
He took a week off.	一週間の休みをとった。
I've had a good sleep.	よく眠りました。
Do you eat out often?	よく外食しますか。
Of course I'll wait.	もちろん待ちますよ。
I can't wait any more.	もう待てないよ。
He lay on the bed.	ベッドに横になっていた。
Don't give up the fight.	ファイトだ。
Here are your keys.	はい、あなたの鍵です。
Tom broke the window.	トムは窓を割った。
At last he appeared.	とうとう彼が現れた。
Just keep on walking.	ただ歩き続けてね。
I tried to tell you.	だから言っただろう。
May I try it on?	それを着てみてもいいですか。
They are our cars.	それらは私たちの車です。
It serves you right.	それは当然の報いだ。
I made it myself.	それはわたしが作ったのよ。
You mustn't touch it.	それには触れるな。
Let me try it.	それ、ちょっと僕にやらせてみて。
Lay down all arms.	すべての武器を捨てよう。
Whose room is this?	これは誰の部屋ですか。
Whose car is this?	これは誰の自動車ですか。
I'll find one later.	これから見つけます。
He is here to stay.	これからは彼の時代だ。
This car won't start.	この車は動かない。
This job eats money.	この事業は金を食う。
This is how it stands.	こういう次第だ。
I can wait for you.	お前のこと待ってるよ。
Whose side are you?	あなたは誰の味方なの。
I make you a deal.	あなたと取り引きします。
He has a big mouth.	彼はよくしゃべる人だ。
I can do it by myself!	一人で出来るよ。
Let's try something.	何かしてみましょう。
I have to sleep.	私は眠らなければなりません。
I will do the treatment.	治療を私がする
I try to make time.	私が何とか時間を作ります
The price is still high.	まだ価格が高い
He gets in shape.	彼が、しっかり体調を整えます
I'm looking forward to X.	Xが楽しみだ
This is much easier.	このほうがよっぽど楽だ
Many trees fell down.	木がたくさん倒れた。
When can we eat?	僕らはいつ食事ができるのかな。
Leave my car alone.	僕の車を触らないでくれ。
Leave my car alone.	僕の車に触れないでくれ。
It is not good wishing.	望んでも無駄だ。
Is it too far to walk?	歩くと遠いですか。
Prices are going up.	物価が上がりつつある。
She stood by him.	彼女は彼のそばに立っていた。
She has long hair.	彼女は長い髪をしています。
She got quite well.	彼女は大変元気になった。
She opens the window.	彼女は窓を開けます。
She has no brothers.	彼女には兄弟はいない。
He fell from the tree.	彼は木から落ちた。
He will be sleeping.	彼は眠っているだろう。
He acted on the stage.	彼は舞台に立った。
He acted on the stage.	彼は舞台で演じた。
He is a Japanese boy.	彼は日本の少年です。
He often comes late.	彼は度々遅れてきます。
He can't stay long.	彼は長く滞在できません。
How else can he act?	彼は他に何ができるか。
He led a simple life.	彼は質素に暮らした。
He walked before me.	彼は私より先に歩いた。
He may come today.	彼は今日来るかもしれない。
He has wide views.	彼は広い視野をもっている。
He is an office worker.	彼は会社員です。
He doesn't tell lies.	彼は嘘など言わない。
He took a week off.	彼は一週間休みをとった。
He is likely to come.	彼はやって来そうだ。
He can no longer wait.	彼はもう待てない。
He is still standing.	彼はまだ立っている。
He is still in bed.	彼はまだベッドにいます。
He is quite right.	彼の言うことは全く正しい。
Tell him to wait.	彼に待つように言って下さい。
He had three sons.	彼には三人の息子があった。
He is easy to reach.	彼にはたやすく会える。
Can he do this job?	彼にこの仕事ができるか。
He and I are teachers.	彼と私は先生です。
He and I are brothers.	彼と私は兄弟です。
He designed the car.	彼がその車を設計した。
Is he your teacher?	彼があなたの先生ですか。
Give your papers in.	答案を提出して下さい。
Leave him alone.	弟のことなんかほっときなさい。
I can't bear the pain.	痛くてたまらない。
Like father, like son.	息子は父親に似る。
Let's open the window.	窓を開けましょう。
First come, first served.	早い者勝ち。
I'd like that a lot.	是非そうしたいですね。
Like father, like son.	親が親なら子も子。
The light turned red.	信号は赤に変わった。
It's OK not to eat it.	食べないでいいよ。
Is this your first visit?	初診ですか。
The game was drawn.	試合は引き分けになった。
I majored in history.	私は歴史を専攻した。
I stayed up all night.	私は徹夜しました。
I waited and waited.	私は待ちに待ちました。
I am not a teacher.	私は先生ではありません。
I saw her last week.	私は先週彼女に会った。
I had a good sleep.	私は十分な睡眠をとった。
I don't have a car.	私は車を持っていません。
I lay on my bed.	私は自分のベッドに横になった。
I like taking a walk.	私は散歩が好きです。
I am in Tokyo today.	私は今日東京にいます。
I'm just beginning.	私は今始めたところです。
I will stay at home.	私は家にいるつもりだ。
I will do it myself.	それは自分でやります。
I looked for the key.	私はその鍵を探した。
I usually eat out.	私は、普通外食しています。
Don't stand in my way.	私の邪魔をするな。
My car is a Toyota.	私の車はトヨタの車です。
We slept by turns.	私たちは代わる代わる寝た。
We had a sound sleep.	私たちはよく眠った。
Don't be late for work.	仕事に遅れるな。
Is there a difference?	差額はありますか。
How about meeting today?	今日会わない？
I feel well today.	今日は気分がよいようです。
Stay where you are.	今いるところにいなさい。
You will stay at home.	君は家にいなさい。
Will you stay at home?	君は家にいますか。
You'll never be alone.	君は一人じゃない。
You are to stay here.	君はここにいなさい。
You are quite a man.	君はいっぱしの大人だ。
Your hair is too long.	君の髪は長すぎる。
Make your choice.	君の好きなものを選びなさい。
I'm not feeling well.	気分が良くないです。
Keep away from the fire.	火に近づくな。
What's eating you?	何をくよくよしているのだ。
Make more efforts.	よりいっそう努力しなさい。
Let well enough alone.	やぶへびを出すな。
I can't eat any more.	もう食べられません。
Try it once again.	もう一度それをやりなさい。
I can't sleep at all!	まるで眠れやしない。
I'll call again later.	また後でかけます。
When did TV appear?	テレビはいつからあるの。
That's not a bad idea.	それも悪くないね。
That's quite a problem.	それは大問題だ。
When does it begin?	それはいつ始まりますか。
I didn't notice it.	それには気付かなかった。
And the boy did.	そして、男の子はそうしました。
What is your address?	ご住所はどこですか。
Can I try this on?	これを試着したいのですが？
Whose is this book?	この本は誰のものですか。
This car is like new.	この車は新車同様だ。
Whose is that book?	あの本は誰のものですか。
She's our teacher.	あの方は私たちの先生です。
You are always late.	あなたはいつも遅れる。
I'll order that later.	あとで注文します。
Out of my way, boy.	あっちへ行きな、ぼうや。
You came alone today?	今日、一人で来たの？
You make an effort too!	君も努力してよ。
She is likely to come.	彼女は来るだろう。
Do you feel like eating?	何か食べたい？
Cut it in half again.	さらに長さを半分に切る
X is a much better deal.	Xがだんぜん得だ
Don't go back to sleep!	二度寝しないのっ！
Evening is drawing on.	夕方が近づいてきた。
I need to get some sleep.	眠らなくちゃ。
Are you sleeping, Tom?	眠っているの、トム。
Don't stand by me.	僕のそばに立たないでくれよ。
My father's car is new.	父の車は新車です。
She continued her talk.	彼女は話し続けた。
She does talk a lot.	彼女は実によくしゃべる。
She came near to me.	彼女は私に近づいてきた。
She feels bad today.	彼女は今日は気分が悪い。
She can drive a car.	彼女は車の運転ができる。
She stood on her head.	彼女は逆立ちをした。
She speaks the truth.	彼女の話は本当である。
I meet her demands.	彼女の要求をかなえてやる。
I know her address.	彼女の住所を知っています。
You stay away from her.	彼女に手をだすな。
Leave him alone.	彼を一人にしておいてやりなさい。
They fought the fire.	彼らは消火にあたった。
They meet once a week.	彼らは週に１回会う。
They walked around.	彼らはあちこち歩き回った。
He tried to stand up.	彼は立とうとしました。
He is a man of letters.	彼は文学者である。
He got a lot of money.	彼は大金を手にした。
He is a man of character.	彼は人格者だ。
He is given to drink.	彼は酒にふけっている。
He is bad at driving.	彼は車の運転が下手だ。
He actually did it.	彼は実際にそれを実行した。
He took me by the arm.	彼は私の腕を取った。
He is about my size.	彼は私くらいの大きさだ。
He didn't fear death.	彼は死を恐れなかった。
He is taking a walk.	彼は散歩に行っているよ。
He knows a lot of people.	彼は顔が広い。
He is hard to deal with.	彼は扱いにくい。
He got quite well.	彼はもうすっかりよくなった。
He soon walked away.	彼はまもなく立ち去った。
He is from this town.	彼はこの町の出身です。
He has three brothers.	彼は３人の兄がいる。
He is on the town.	彼は、町で遊びまわっている。
She took him by the arm.	彼の腕を掴んだ。
He has another son.	彼にはもう一人息子がいる。
Never tell a lie again.	二度と嘘をいうな。
Easy come, easy go.	得やすいものは失いやすい。
We all stood up at once.	同時に起立した。
The lines are crossed.	電話が混線している。
Did you ask the price?	値段は聞きましたか。
The men were at a loss.	男達は困りました。
Who broke the window?	誰がガラスを割ったの。
Who broke the window?	窓を割ったのはだれだ。
How's your new job?	新しい職場はいかがですか。
We'll be late for class.	授業に遅れるよ。
May I help myself?	自由に取ってもいいんですか。
I can do it alone.	自分の力だけでそれをできる。
We eat with our mouths.	私達は口で食べる。
I stood all the way.	私は立ちっぱなしだった。
I fought against sleep.	私は眠気と戦った。
I remember him well.	私は彼をよく覚えている。
I will do it myself.	私は自分でそれをします。
I'll stand up for you.	私は君を支持します。
I will visit Kyoto.	私は京都を訪れるつもりだ。
I lay down to rest.	私は休むために横になった。
I don't like drinking.	私はお酒が嫌いです。
I was forced to lie.	私はやむなく嘘をついた。
My mother is a teacher.	私の母は教師です。
My father is a teacher.	私の父は教師です。
You may use my car.	私の車を使ってもよろしい。
My car won't start.	私の車はなかなか動かない。
I am paid by the week.	私の給料は週給です。
I have two brothers.	私には２人兄弟がいます。
All of us stood up.	私たちはみな立ち上がった。
I'm looking for a job.	仕事を探してるんだ。
Do your work quickly.	仕事は素早くしなさい。
I'm out of shape today.	今日は体調が悪い。
I found no job today.	今日は仕事にあぶれた。
Let's go Dutch today.	今日は割り勘にしよう。
That's enough for today.	今日はこれまで。
