Birds fly.	鳥は飛ぶ。
You are stupid.	あなたは愚かだ。
You are crazy.	あなたは狂ってる。
The curtain rose.	幕があがった。
She shed tears.	彼女は涙を流した。
She was brave.	彼女は勇ましかった。
He is my uncle.	彼は私の叔父です。
He has gone mad.	彼は気が狂った。
He kicked it.	彼はそれを蹴飛ばした。
I have no fever.	熱はありません。
Are you pregnant?	妊娠中ですか。
The birds sang.	鳥達がさえずった。
Is somebody there?	誰かいるの？
I'll treasure it.	大切にします。
A clock stopped.	時計が止まった。
I like apples.	私は林檎が好きです。
I ache all over.	私は全身が痛い。
I paid in coin.	私は硬貨で払った。
I am a professor.	私は教授です。
I have a pen.	私はペンを持っている。
I buy a tape.	私はテープを買います。
I'm on a diet.	今ダイエット中なの。
The flag is up.	旗が揚がっている。
Everybody laughed.	皆が笑った。
A beer, please.	ビールをください。
Just fancy!	とてもすてきだ、うれしい。
Are you crazy?	おかしいんじゃない？
We are cousins.	いとこの間柄です。
You're in luck.	あなたは運がいい。
He recommends X.	彼がXをすすめます
He emphasizes X.	彼がXを重視します
Be my guest.	ご遠慮なくお使いください。
I study abroad.	僕は留学しています。
Beat the eggs.	卵をよくかき混ぜます。
It began to dawn.	夜が明け始めた。
He fixed the net.	彼は網を張った。
He stared at me.	彼は私をにらんだ。
A bird has wings.	鳥には翼がある。
Strength in unity.	団結は力なり。
Who painted it?	誰が描いたのですか。
My joints ache.	体の節々が痛いです。
My heart's aching.	心が痛みます。
Long live the Queen!	女王万歳。
Lend me a hand.	手を貸してください。
Can I be excused?	失礼してもいい。
I like castles.	私は、城が好きです。
I'm lucky today.	今日はついている。
Behave yourself.	行儀よくしなさい。
Please forgive me.	許して下さい。
Pass me the pen.	ペンを取ってくれ。
My head aches so.	ひどく頭が痛む。
I hurt my elbow.	ひじを痛めました。
It poured down.	ざあざあ雨が降った。
I feel guilty.	うしろめたい気がする。
Sure. Good luck!	いいぞ。頑張れよ。
He's a lucky guy.	彼は果報な男だ。
I recommend X.	私はXをお勧めいたします
No dirty jokes!	しもネタは禁止だよ〜。
Have a nice weekend!	良い週末を。
Riches have wings.	富には翼がある。
She is attractive.	彼女は魅力的だ。
They dug a grave.	彼らは墓を掘った。
Their lips met.	彼らの唇は触れ合った。
He is a brave man.	彼は勇敢な男だ。
He grows rice.	彼は米を栽培しています。
He is not stupid.	彼は馬鹿ではない。
He died yesterday.	彼は昨日死んだ。
He began to shout.	彼は叫び始めた。
He put up a flag.	彼は旗をかかげた。
He drives roughly.	彼は運転が荒い。
Do you have a fever?	熱はあるの？
Have you any fever?	熱があるかい。
Keep in the shade.	日陰にいなさい。
Doctor, cure me.	先生、俺を診てくれ。
Ticket, please.	切符を拝見いたします。
God save the Queen.	女王陛下万歳！
We fixed him!	私達は彼に身を固めさせた。
Don't use my pen.	私のペンを使うな。
Fill in the blanks.	空所を埋めろ。
It's a piece of cake.	楽勝だよ。
We're elected.	我々は選挙で選ばれます。
Hold the rope.	ロープにつかまりなさい。
Have a good weekend!	よい週末を！
Just wrap it up.	それを包んで下さい。
That's my affair.	それは私の問題だ。
Please fix this.	これを直して下さい。
This is a painting.	これは絵画だ。
Behave yourself.	お行儀良くしなさい。
Well, I declare!	おや、これは驚いた。
Where is everybody?	みんなはどこ？
He just fainted.	彼がそのまま気を失った
He stared at me.	彼がじっと私を見詰めた
He recommends X.	彼がXをオススメします
I also like cake.	僕もケーキが好きだ。
Take off your cap.	帽子を脱ぎなさい。
Soldiers bear arms.	兵士は武装する。
They feel hungry.	彼らは空腹を感じた。
They are pilots.	彼らはパイロットです。
They like apples.	彼らは、林檎が好き。
He behaved badly.	彼は行儀が悪かった。
He heard a shout.	彼は叫び声を聞いた。
He has a bad temper.	彼は気が短い。
He made a robot.	彼はロボットを作った。
He is very brave.	彼はたいへん勇敢だ。
He is in the pink.	彼はすごく元気だ。
He likes oranges.	彼はオレンジが好き。
I'm crazy about him!	彼に夢中なの！
The fever has risen.	熱が上がった。
That's unusual.	珍しいこともあるもんだ。
Nobody else can.	他の誰もだめなのです。
Have a nice holiday.	素敵な休日を。
It's bitter cold.	身を切るように寒い。
Don't eat to excess.	食べ過ぎるな。
Did you invite him?	彼を招待したの？
Keep up your courage.	失望するな。
Lend me your ears!	耳を貸して下さい。
I have an egg.	私は卵を一つ持っています。
I'm on a diet.	私は食事制限をしています。
I firmly believe.	私は強く信じている。
I'm on a diet.	私はダイエットしています。
I'm tied up now.	今手がふさがっている。
Fill in the blanks.	空所を補充せよ。
A cow gives us milk.	牛は乳が出る。
Who is absent?	休んでいるのはだれですか。
Let it all hang out.	気楽にしよう。
Grand opening sale.	開店大売り出し。
We eat fish raw.	我々は魚を生で食べる。
I like pop music.	ポップスが好きです。
We'll paint it.	ペンキを塗るからいいわ。
The paint is off.	ペンキがはげている。
There's the bell.	ベルが鳴っているよ。
I'm off beer.	ビールを飲むのはやめている。
Do I need a tie?	ネクタイは必要ですか。
Chicken, please.	チキンをお願いします。
Let it hang.	それは未決定のままにしておけ。
It isn't expensive.	それは高くない。
Do you have rice?	ご飯は置いてますか。
May you succeed!	ご成功をお祈りします。
This is her pen.	これは彼女のペンです。
This egg is fresh.	この卵は新しいよ。
There's the bell.	あっベルが鳴ってる。
He's kicking me!	彼は私を蹴っています！
I use this lens.	私はこのレンズを使います
And now I'm hungry.	さすがに腹が減った
He is desperate to X.	彼がXに必死だ
He is a handsome man.	彼は二枚目だ。
I fractured my arm.	腕を骨折しました。
The lovers kissed.	恋人達はキスをした。
Can I get a blanket?	毛布をください。
Look before you leap.	飛ぶ前に見よ。
She has a hot temper.	彼女は短気だ。
She stared at me.	彼女は私をじっと見た。
She is badly off.	彼女は金に困っている。
She picked flowers.	彼女は花を摘んだ。
She drives me mad.	彼女が僕を狂わせる。
Some pitied them.	彼らあわれむ者もいた。
He is quick of temper.	彼は短気だ。
He hanged himself.	彼は首つり自殺した。
He has ten cows.	彼は牛を十頭飼っている。
He studied abroad.	彼は海外へ留学した。
He behaved well.	彼はりっぱに振る舞った。
He ran five miles.	彼は５マイル走った。
The jury is hung.	陪審員は未決のままだ。
It's too expensive.	値段が高すぎです。
The bell is ringing.	鐘が鳴っている。
See you on the weekend.	週末にね。
Cows supply milk.	雌牛は牛乳を供給する。
I confessed my sin.	私は罪を告白した。
How lucky I am!	私はなんて幸運なんだろう。
Luck is against me.	私はついていない。
We are hungry.	私たちはお腹がすいています。
Fish is cheap today.	今日は魚が安い。
Have a nice weekend.	楽しい週末をね。
I want to go abroad.	外国へいきたい。
I'll fix a drink.	飲み物を作りましょう。
Nobody likes it.	みんな嫌がっているのに。
Do you have a pen?	ペン持っていますか。
Has the bell rung?	ベルは鳴りましたか。
How lucky we are!	なんて幸運なのだろう。
I was very hungry.	とてもお腹がすいた。
Be my guest.	どうぞご自由に、お使いください。
Please forgive me.	どうか許して下さい。
It's expensive though.	でも高いよ。
The ship set sail.	その船は、出航した。
I'll take a shower.	シャワーにするわ。
But he was lucky.	しかし彼は幸運だった。
The meat is tough.	この肉は固いですね。
This beer is dry.	このビールはドライだ。
This cake is sweet.	このケーキは甘い。
Are you hungry?	お腹が空いているのですか。
Where is your cap?	お辞儀はどうしたの？
You'll regret that!	いまに後悔するぞ。
What's that flower?	あの花は何ですか。
It was pretty lucky.	本当に運が良かった
Sweat is pouring out.	ダラダラ汗が出る
People commit a crime.	人が犯罪を犯す
Everyone declared 〜.	〜と誰もが断言した
I don't care for eggs.	卵は嫌いです。
Tomorrow is a holiday.	明日は休みだ。
She bought chicken.	彼女は鶏肉を買った。
They live nearby.	彼らは近くに住んでいる。
He likes adventure.	彼は冒険が好きです。
He is out of tune.	彼は調子が外れている。
He hoped to succeed.	彼は成功を望んだ。
He committed suicide.	彼は自殺をした。
He writes scripts.	彼は脚本を書いている。
He is in good temper.	彼は機嫌が良い。
He lacks motivation.	彼はやる気がない。
He kicked the ball.	彼はボールを蹴った。
I wish I were a bird.	鳥になりたいな。
Nobody taught me.	誰も教えてくれなかった。
Everybody loves him.	誰でも彼が好きだ。
Somebody touched me.	誰かが私にふれた。
Your feet are dirty.	足が汚れているよ。
The coal is burning.	石炭が燃えている。
The heat has relaxed.	暑さが弱まった。
Do not interfere!	邪魔をしてはいけないよ。
I'll try my luck.	自分の運を試してみよう。
I lent him a CD.	私は彼にＣＤを１枚貸した。
I like pop music.	私はポップスが好きです。
I smoke cigarettes.	私はタバコを吸うよ。
My mind is a blank.	私の心は空虚である。
That's really stupid.	私ったら馬鹿ね。
It was hot yesterday.	昨日は暑かった。
It rained yesterday.	昨日は雨が降った。
I met Ken yesterday.	昨日ケンに会った。
I have a high fever.	高熱があるのです。
It's a lovely day.	気持ちがいい日だなぁ。
I'll bite the bullet.	我慢しましょう。
That would be lovely.	わあ、素敵だな。
Let go of the rope.	ロープを離しなさい。
I let down the rope.	ロープを下ろした。
Do you like apples?	リンゴは好きですか。
The bell is ringing.	ベルが鳴っている。
Two beers, please.	ビールを２つください。
I have no excuse.	なんとも面目ありません。
Tom likes cheese.	トムはチーズが好きです。
Knock on the door.	ドアをノックしなさい。
Excuse me a minute.	ちょっと失礼します。
I want some cake.	そのケーキが少し欲しい。
Some juice, please.	ジュースをください。
Beat the Giants!	ジャイアンツをやっつけろ。
This isn't for sale.	これは非売品です。
This apple is bad.	この林檎は腐っている。
This apple is sweet.	このりんごは甘い。
Whose pen is this?	このペンは誰のですか。
Thus he succeeded.	こうして彼は成功した。
I'm getting hungry.	お腹が空いてきたよ。
What's that bird?	あれは何という鳥ですか。
It rained yesterday.	きのう雨が降った。
He stares at women.	彼がじっと女の人を見る
I got mad at myself.	自分自身に腹が立った
He steps lightly.	彼が軽やかにステップを踏む
I have an ache in my arm.	腕が痛む。
Speak to me freely.	率直に話してください。
It's so lovely a day.	本当にいい天気だ。
I'm bad at sports.	僕はスポーツが苦手です。
I can't find my pen.	僕のペンがないなぁ。
I have a slight fever.	微熱があります。
She is on a diet.	彼女は食事療法をしている。
She kicked the door.	彼女はドアを蹴った。
She got into a rage.	彼女はかっとなった。
She met her uncle.	彼女はおじさんに会った。
She has a hot temper.	彼女は怒りっぽい。
He was raging mad.	彼は烈火のように怒った。
He succeeded in life.	彼は立身出世した。
He has rough manners.	彼は無作法な男だ。
He aimed at the bird.	彼は小鳥を狙った。
He drinks to excess.	彼は酒を飲みすぎる。
He isn't my cousin.	彼は私のいとこでない。
He gave me a hint.	彼は私にヒントをくれた。
He is guilty of murder.	彼は殺人犯だ。
He's in a bad temper.	彼は今機嫌が悪い。
He's power-hungry.	彼は権力欲の強い人間だ。
He fell into a rage.	彼は急に怒り出した。
He called for beer.	彼はビールを注文した。
He lied readily.	彼はすらすらとうそをついた。
He flew into a rage.	彼は、カッとなった。
The meat cuts tough.	肉が硬くて切れない。
I'd bet my life on it.	賭けてもいいよ。
The battery died.	電池がだめになっちゃった。
Surrender to the enemy.	敵に降伏する。
The empire strikes back.	帝国の逆襲。
Birds fly in the sky.	鳥は空を飛びます。
Shit! I've got a flat.	畜生、パンクだ。
I'm all out of tricks.	打つ手がないね。
He has plenty of cheek.	全く生意気だ。
The water pipe burst.	水道管が破裂した。
How was your weekend?	週末はどうだった？
May I be excused?	失礼してもよろしいですか。
Please take freely.	自由にお取りください。
Put the clock right.	時計の時刻を直して。
Set the clock right.	時間を合わせなさい。
We live on rice.	私達は米を常食としています。
I awoke from a dream.	私は夢から覚めた。
I resemble my mother.	私は母に似ている。
I was ill yesterday.	私は昨日病気でした。
I met him yesterday.	私は昨日彼に会った。
I want to go abroad.	私は外国へ行きたい。
I wish to go abroad.	私は外国に行きたい。
I had lost my pen.	私はペンをなくしていた。
We got up at dawn.	私たちは夜明けに起きた。
I bought it yesterday.	昨日買いました。
It was cold yesterday.	昨日は寒かった。
I can't fix the seat.	座席が倒れません。
No cross, no crown.	困難なくして栄冠なし。
Please wish me luck.	幸運を祈って下さい。
I'll lend it to you.	君に貸して上げよう。
No cross, no crown.	苦労なしに栄光はない。
Enjoy your holidays.	休日を楽しみなさい。
You're happy-go-lucky.	気楽なやつだな。
I have no real intent.	何も意思がない。
The clouds hung low.	雲が低く垂れ込めた。
It seemed to be cheap.	安いようでした。
When it rains, it pours.	悪事続きだ。
Apples grow on trees.	リンゴは木になる。
What a pity it is!	なんと残念なことだろう。
Tom gave me a pen.	トムは私にペンをくれた。
It was really cheap.	とても安かったのよ。
You must forgive me.	どうぞ許して下さい。
Please forgive me.	どうか僕を許して下さい。
How's your diet kick?	ダイエットはどう？
It's a piece of cake.	そんなの朝飯前よ。
That's my province.	それは私の領分ですよ。
That's too expensive.	それは高すぎます。
It wasn't expensive.	それは高くなかった。
That's an old trick.	それはよくある手だ。
None of your tricks.	その手には乗らない。
The clock is wrong.	その時計は狂っている。
That is too expensive.	これは高すぎる。
Is this your pen?	これはあなたのペンですか。
This article is cheap.	この品物は安い。
This button is loose.	このボタンは緩い。
This game is fixed.	このゲームは八百長だ。
This is my cousin.	こちらは私のいとこです。
Who's this nobody?	こいつはどこの馬の骨だ？
I've lost my crown.	クラウンが取れました。
Aren't you hungry?	お腹がすいていませんか。
I hope it pans out.	うまく行くといいわね。
Isn't it a lovely day!	いい天気だなあ。
That's a cheap store.	あの店は物が安い。
The child is dirty.	あの子はあかだらけだ。
Look at those cattle.	あの牛を見なさい。
She's a tough woman.	彼女は強い女性です。
He was badly wounded.	彼は重傷を負った。
She bought a chicken.	彼女は鶏を買った。
I put my lips on X.	俺の唇が、Xにフタをした
There is a faint sound.	かすかな声がする
It was very pleasant.	とても感じが良かった
A little bird told me.	風の便りに聞いた。
We have no spare money.	余分な金はない。
The friend was absent.	友達は留守だった。
I have lost my cap.	帽子をなくしてしまった。
Don't lose your temper.	腹を立てないで。
She reserved a room.	彼女は部屋を予約した。
She begged for mercy.	彼女は慈悲を願った。
She committed a crime.	彼女は罪を犯した。
She put down her pen.	彼女はペンをおいた。
She likes oranges.	彼女はオレンジが好きです。
He must be innocent.	彼は無罪にちがいない。
He is sure to succeed.	彼は必ず成功する。
He wanted to succeed.	彼は成功したかった。
He cured my illness.	彼は私の病気を治した。
He is all curiosity.	彼は好奇心そのものだ。
He wants affection.	彼は愛情が不足している。
He pulled the rope.	彼はロープを引っ張った。
He appeared hungry.	彼はひもじそうに見えた。
He is very handsome.	彼はなかなかの男前だ。
He gets mad very easily.	彼はすぐ怒る。
He earns a great deal.	彼はおおいに稼ぐ。
I felt sympathy for him.	彼に同情した。
He came to my rescue.	彼が私を助けに来た。
Farmers produce crops.	農民は作物を作る。
Cats arch their backs.	猫は背中を丸める。
The telephone was still.	電話が切れた。
Nobody can stop me!	誰もオレを止められない。
The snow has disappeared.	雪は消えた。
Look before you leap.	石橋をたたいて渡れ。
The car behaved well.	車は調子が良かった。
The clock says two.	時計が２時を指している。
I want to study abroad.	私は留学したい。
I bid against him.	私は彼に対抗して入札した。
I have a slight fever.	私は少し熱がある。
I have some pens.	私は少しペンを持っています。
I was busy yesterday.	私は昨日忙しかった。
I like apples best.	私はリンゴが一番好きだ。
I lay awake in bed.	私はベッドで横になった。
I found your cap.	私はあなたの帽子を見つけた。
I had my pen stolen.	私は、ペンを盗まれた。
My aunt looks young.	私の叔母は若く見える。
We ate some apples.	私たちはリンゴを食べた。
I wish I were a bird.	私が鳥であればなあ。
I succeed to a fortune.	財産を相続する。
You will yet regret it.	今に後悔するぞ。
Don't behave lightly.	軽率な行動はするな。
Have you got a pen?	君はペンを持ってるかい。
You are very brave.	君はとても勇気があるね。
I forbid you to smoke.	君の喫煙を禁じる。
No sweet without sweat.	苦あれば楽あり。
Suddenly I got lucky.	急に運が向いてきた。
I've lost my filling.	詰め物が取れました。
You have a telephone.	貴方は、電話を持つ。
A pleasant trip to you!	楽しい御旅行を！
The station is nearby.	駅はすぐそこです。
It's six o'clock already.	もう６時だ。
I want a pen friend.	ペンフレンドが欲しい。
Have you got any beer?	ビールありますか。
The battery gave out.	バッテリーが切れた。
What a lovely day!	なんて素晴らしい日なんだ。
What a stroke of luck!	なんて幸運なんだ。
What a lovely day!	なんてよい天気なのだろう。
How stupid he is!	なんてばかなんだ、あの子は！
Love your neighbors.	なんじの隣人を愛せよ。
The tape is rolling.	テープが回っているよ。
Can somebody get that?	だれか、電話出て。
That meat is chicken.	その肉は鶏の肉です。
I rejected the offer.	その申し出を断った。
The cake tastes sweet.	そのケーキは甘い。
I intend to go there.	そこへ行くつもりだ。
Don't be so reserved.	そう水くさくするな。
That's no excuse.	そうゆう言い訳はとおらない。
This is an apple, too.	これもリンゴです。
Got the hang of it?	こつが飲み込めましたか。
There were two cakes.	ケーキが２つあった。
I bet he will get mad.	きっと彼は怒るぞ！
We have ten cattle.	うちには十頭の牛がいる。
Those apples are big.	あのリンゴは大きい。
Are you the prophet?	あなたは預言者ですか。
Which is your pen?	あなたのペンはどれですか。
He is a tough customer.	あいつは苦手だ。
Nobody speaks to me.	誰も私に話しかけない。
She is unconscious.	彼女は意識がありません。
She's a tough woman.	彼女は手厳しい人です。
The server was down.	サーバーが落ちていた。
I made a funny face.	自分がおかしな表情をする
He is self-employed.	彼は自分で事業をやります
He commits himself to X.	彼がXを心に誓う
Snow is lightly falling.	ちらちら雪が舞う
I bought a red tie.	赤いネクタイを買いました。
Lover, come back to me.	恋人よ、我に帰れ。
Quote me an example.	例を一つ示してください。
I want to study abroad.	留学したいものだ。
Keep up your courage.	勇気を持ち続けなさい。
I'll be absent tomorrow.	明日は休みます。
Where is the bathroom?	風呂場はどこですか。
My father grows rice.	父は米を栽培している。
Where's the museum?	美術館はどこにありますか。
She leaped for joy.	彼女は踊りあがって喜んだ。
She committed a crime.	彼女は犯罪を犯した。
She attempted suicide.	彼女は自殺を企てた。
She begged for mercy.	彼女は慈悲を懇願した。
Her face became pink.	彼女の顔が赤くなった。
They made me captain.	彼らは私を主将にした。
They are my cousins.	彼らは、私の従兄弟です。
He took out one egg.	彼は卵を一つ取り出した。
He cursed her fate.	彼は彼女の運命をのろった。
He won her affection.	彼は彼女の愛情を得た。
He's everybody's friend.	彼は八方美人だ。
He hoped to succeed.	彼は成功を期待していた。
He was chosen captain.	彼は主将に選ばれた。
He will excuse me.	彼は私を許してくれるだろう。
He is a tight-lipped man.	彼は口が堅い。
He will come afterwards.	彼は後で来ます。
He is mad about music.	彼は音楽に夢中です。
He let go of the rope.	彼はロープを放した。
He was badly wounded.	彼はひどいけがをした。
He asked for a beer.	彼はビールを一杯頼んだ。
He gave up cigarettes.	彼はタバコをやめた。
He usually succeeded.	彼はたいてい成功した。
I've got to fix my hair.	髪を整えないと。
My fever won't go away.	熱が下がりません。
The bell rang suddenly.	突然ベルが鳴った。
She's been poisoned.	毒物にやられていますね。
I dreamt I was a bird.	鳥になった夢を見た。
I confirmed the order.	注文を確認しました。
I want somebody else.	誰かほかの人がほしい。
We tried to persuade him.	説得に努めた。
Spirit manifested itself.	聖霊が現れた。
I always feel hungry.	常に空腹感があります。
Has the bell rung yet?	鐘はもう鳴ったのか。
Is it about ten o'clock?	十時ごろですか。
We make sake from rice.	酒は米で作ります。
The snake sheds its skin.	蛇は脱皮した。
The clock struck ten.	時計が１０時を打った。
I like wild flowers.	私は野生の花が好きです。
I let go of the rope.	私は網を手から放した。
I'm attracted to him.	私は彼に惹かれている。
I raced him a mile.	私は彼と一マイル競争した。
I was happy yesterday.	私は昨日幸せでした。
I need money badly.	私は金が無くて困っている。
I stared at the man.	私はその男をじっと見た。
I was chilled with fear.	私はぞっとした。
I was moved to pity.	私はかわいそうになった。
My plan was rejected.	私の計画は拒否された。
I wish I were a bird.	私が鳥になれたらなあ。
I sustain my family.	私が家族を養っています。
The best is best cheap.	最高品が一番安い。
It's fairly warm today.	今日は相当暖かい。
We have a holiday today.	今日は祝日です。
Sales are down now.	今は売り上げが落ちている。
Are you hungry now?	今おなかがすいていますか。
When it rains, it pours.	降れば土砂降り。
Time flies like an arrow.	光陰矢の如し。
My lips are sealed.	言っちゃいけないんだけど。
You are guilty of murder.	君は殺人犯だ。
You may go anywhere.	君は何処へ行ってもよい。
How lucky you are!	君はなんて運がいいんだろう。
Can I use your pen?	君のペンをつかってもいい？
Cows live on grass.	牛は草を食べて生きている。
The guests are all gone.	客はみな帰った。
Good morning, everybody.	皆さんおはよう。
I fix broken radios.	壊れたラジオを修理する。
We stand for liberty.	我々は自由の為に戦う。
We had a rough time.	我々はつらい目にあった。
We obeyed the rules.	我々はその規則に従った。
Have the devil's own luck.	悪運が強い。
You won't regret it.	悪いようにはしないから。
I am eating an apple.	りんごを食べています。
Get to work, everybody.	みんな仕事につけ。
Sit down on the bench.	ベンチに座りなさい。
Press the bell twice.	ベルを２度押しなさい。
Fred kicked a ball.	フレッドがボールをけった。
I'll buy you a beer.	ビールをおごりましょう。
What pretty flowers!	なんとかわいい花だろう。
What a lovely day!	なんてよい天気なんでしょう。
Tom knocked him down.	トムは彼を殴り倒した。
I'll punch the clock.	タイムカードを押そう。
That's cheap, isn't it?	それは安いですね。
The article is genuine.	その品物は本物だ。
I wish you good luck.	ご幸運をお祈りします。
This is a free ticket.	この切符は無料です。
This cloth wears well.	この生地は丈夫です。
This watch is expensive.	この時計は高い。
I was making a cake.	ケーキを作っていました。
To hear is to obey.	きくことは従うことである。
They are bitter enemies.	お互い仇同士だ。
How was your holiday?	お休みはどうでしたか。
What do you recommend?	おすすめは何ですか。
That is an old castle.	あれは古いお城です。
The race was fixed.	あのレースは八百長だった。
May I eat that cake?	あのケーキ食べてもいい？
There goes the bell.	あっ、ベルが鳴っている。
There is nobody about.	あたりに誰もいない。
I'm kind of anxious.	私がなんとなく不安を感じる
He shows mercy to them.	彼が情けを人にかける
He firmly learned X.	彼がXをしっかり学びました
The DVD will go on sale.	ＤＶＤが発売される
Demons aim for children.	鬼たちが子供を狙う
The train gathered speed.	列車は加速した。
The dawn is breaking.	夜が明けようとしている。
Dreams can make me mad.	夢を求めて狂っても。
I felt much more relaxed.	僕はホッとした。
My mother cut the cake.	母はケーキを切った。
She sings out of tune.	彼女は調子外れに歌う。
She has a tender heart.	彼女は心がやさしい。
She fainted with fear.	彼女は恐怖で失神した。
She worked to excess.	彼女は過度に働きすぎだ。
She looks very lovely.	彼女はとてもきれいだ。
She is bad at sports.	彼女はスポーツが苦手だ。
She has a loose tongue.	彼女はおしゃべりだ。
They settled in Japan.	彼らは日本に定住した。
They burned some coal.	彼らは石炭をもやした。
They embraced tightly.	彼らは固く抱き合った。
He is a famous merchant.	彼は有名な商人だ。
He is an able engineer.	彼は有能な技師です。
He is wanting in courage.	彼は勇気がない。
He plays dirty pool.	彼は本当にやり方が汚いね。
I suspect he is ill.	彼は病気ではないかと思う。
He has a good reputation.	彼は評判がよい。
He was guilty of murder.	彼は殺人を犯した。
He works in a factory.	彼は工場で働いている。
He made up an excuse.	彼は口実をでっち上げた。
He burst into laughter.	彼は急に笑い出した。
He bade us welcome.	彼は我々に歓迎の挨拶をした。
He is of royal blood.	彼は王の血を引いている。
He was drunk on beer.	彼はビールで酔っていた。
How did he behave?	彼はどんな行動を取りましたか。
He hung up on me.	彼の方から電話を切ってしまった。
Did you telephone him?	彼に電話したのですか。
He and I are cousins.	彼と私はいとこ同士です。
Where is the museum?	博物館はどこにありますか。
I was kicked in the back.	背中を蹴られた。
I'm four months pregnant.	妊娠４か月です。
Do you sell batteries?	電池は売っていますか。
Wires carry electricity.	電線は電気を流す。
I was caught in a shower.	通り雨にあった。
Who broke this pen?	誰がこのペンを壊しましたか。
He is sure to succeed.	大丈夫。彼は成功する。
My baby kicks very hard.	胎動が激しいです。
The snow was knee deep.	雪は膝の深さだった。
You have my sympathies.	心中お察し致します。
As it is, I am awake.	実際は、僕は起きている。
I am fixing the clock.	時計の修理をしている。
I walked about a mile.	私は約１マイル歩いた。
I have lost my cap.	私は帽子をなくしてしまった。
I saw a beautiful bird.	私は美しい鳥を見た。
I lent him a magazine.	私は彼に雑誌を貸した。
I catch the telephone.	私は電話を受けました。
I've lost my ticket.	私は切符をなくしたのです。
I bought an old lamp.	私は古いランプを買った。
I don't like apples.	私はリンゴが好きではない。
I have lost my pen.	私はペンを無くしてしまった。
How stupid of me!	私はなんと馬鹿だったんでしょう。
I never go anywhere.	私はどこにもいかないから。
My mother makes cakes.	私の母はケーキを作る。
Don't lean on my desk.	私の机によりかかるな。
You may use my pen.	私のペンを使ってもよろしい。
Speak in my behalf.	私に有利なように言ってくれ。
Let me fix the car.	私に車を修理させてください。
We slept in a tent.	私たちはテントで眠りました。
We let the bird fly.	私たちはその鳥を飛ばした。
I wish I were a bird.	私が鳥ならいいのになあ。
I wish I were a bird.	私が鳥であればよいのに。
I got my pay yesterday.	昨日給料をもらった。
Yesterday was Thursday.	昨日は木曜日だった。
Was it cold yesterday?	昨日は寒かったですか。
Fortune smiled on him.	幸運が彼にほほえんだ。
Ten o'clock local time?	現地時間で１０時だ。
I suppose you're hungry.	君は空腹だと思う。
You may go anywhere.	君はどこにでも行ってよい。
It's so painful. Stop it!	苦しい、やめろ。
Smoking means suicide.	喫煙は自殺を意味する。
We roared with laughter.	我々は大笑いした。
How lucky you are!	何とあなたは幸福なんでしょう。
The end justifies the means.	嘘も方便。
Don't let go of the rope.	ロープを放すな。
Pull the rope tight.	ロープをぴんと張りなさい。
Take hold of the rope.	ロープをつかみなさい。
It's already nine o'clock.	もう９時です。
It is almost ten o'clock.	もう１０時近い。
Everybody likes him.	みんな彼のことが好きです。
You bet I was surprised.	ほんとに驚いたよ。
I had a devil of a time.	ひどい目にあった。
