Is he right?	彼は正しいですか。
It is used by a great many people.	それは非常にたくさんの人々によって使われます。
It is very good of you to say so.	そういって下さるとはご親切です。
It is very good of you to say so.	そう言っていただいてとてもありがたいです。
It is your business to take care of them.	彼らのめんどうをみるのはあなたの役目だ。
It isn't much of a car.	たいした車ではない。
It looks as if you're right.	どうやら君の言うことが正しいようだ。
It may be all right.	それでいいと思います。
It may be said that a man is known by the company he keeps.	人は交わる仲間によって知られるということができよう。
It might be said that this is the computer age.	現在はコンピューター時代といってもいいくらいである。
It must be three years if a day since she was last in England.	彼女はこの前英国に来てからすくなくとも３年にはなるはずだ。
It only costs $10.00!	たった１０ドルだぜ。
It pays in the long run to buy goods of high quality.	結局は質の良い物を買う方が得をする。
It pays in the long run to buy goods of high quality.	長い目で見ると良い品物を買った方が得だ。
It pays in the long run to buy goods of high quality.	高級な品物を買う事は、結局は損にならない。
It records all information.	すべての情報を記録する
It saved me.	おかげで助かったよ。
It shows white from here.	それはここからでは白く見える。
It takes more time to do X.	Xにはまだまだ時間が掛かる
It took a long time for her to write the report.	彼女がレポートを書くのに長い時間かかった。
It took a long time to take in what she was saying.	彼女が言っている事を理解するのにずいぶんと時間がかかった。
It took a long, long time.	長い長い時が過ぎた。
It took all evening.	寝るまでずっと時間がかかりました。
It took him a long time to take in what she was saying.	彼女が言っていることを理解するのに彼には随分時間がかかった。
It took him a long time to take in what she was saying.	彼女の言っていることを理解するのに彼にはずいぶん時間がかかった。
It took me some time to learn how to drive a car.	車の運転を覚えるのにしばらく時間がかかりました。
It was a very big room.	それはとても大きな部屋だった。
It was a very good experience for him.	それは彼にとってとてもいい経験だった。
It was a week before she got well.	１週間してやっと彼女は良くなった。
It was at Oxford University that Tom studied history.	トムが歴史を研究したのはオックスフォード大学でだった。
It was her that told me.	私に言ってくれたのは彼女だった。
It was last week that John bought a second-hand car.	ジョンが中古車を買ったのは先週であった。
It was long before he knew it.	長い間たってから彼はそれを知った。
It was not long before I got a call from him.	まもなく彼から電話がかかってきた。
It was not long before he got well.	彼は間もなくよくなった。
It was not long before he knew it.	まもなく彼はそれを知った。
It was not long before she came back.	まもなく彼女が帰って来た。
It was not long before she came.	彼女はほどなくやってきた。
It was not long before she came.	待つほどもなく彼女はやって来た。
It was not long before the news came.	知らせが来るまでには長くはかからなかった。
It was not long before the news came.	間もなくその知らせが来た。
It was she who made him do it.	彼は彼女にそれをさせられた。
It was the best experience in all my life.	それは私のこれまでの生涯の中で、最高の経験だった。
It will be a long time before I can buy a house.	私が家を買えるのはずっと先のことだろう。
It will be done a week from today, that is, on May 3.	それはこれから１週間後、つまり５月３日に行われるだろう。
It will be done a week from today, that is, on May 3.	それは今日から一週間後、つまり５月３日に行われるだろう。
It will be some time before he gets well.	彼がよくなるにはしばらくかかるだろう。
It will be some time before they come.	彼らが来るまでにはまだしばらくかかるだろう。
It will be three months before our house is completed.	われわれの家が完成されるまでに３カ月かかるだろう。
It will do you good to live in the country.	田舎に住むのはあなたにとってよいでしょう。
It will not be long before I come back.	まもなく私は戻って来ます。
It will not be long before Scott gets well.	スコットが元気になるのもそう遠くないでしょう。
It will not be long before he comes.	まもなく彼がくるだろう。
It will not be long before he gets better.	まもなく彼は快方に向かうだろう。
It will not be long before he gets well.	もうすぐ彼の病気は回復するだろう。
It will not be long before he gets well.	もうすぐ彼はよくなるだろう。
It will not be long before one out of five people owns a car.	５人に１人が車を持つような日も遠くあるまい。
It will not be long before our food runs out.	もうじき我々の食糧は尽きてしまうでしょう。
It will not be long before she comes back.	彼女はまもなく戻るだろう。
It won't be a long time before he gets well.	彼は間もなく良くなるだろう。
It won't be long before Mike gets well.	まもなくマイクは元気になるでしょう。
It won't be long before he is up and about.	まもなく彼は病気が治って動き出すだろう。
It won't be long before he returns home.	まもなく彼は帰宅するだろう。
It won't be long before we can start.	まもなく出発できるでしょう。
It won't take long to do the job.	その仕事をするのにそう長くはかからないだろう。
It won't take long to read that book.	その本を読むのに長くはかからないでしょう。
It would be better for you to read more books.	あなたはもっと本を読むほうがよい。
It would be better for you to read more books.	あなたは本を読む方がよい。
It would be better for you to read more books.	君はもっと本を読んだ方がよい。
It would be better to try.	それはやってみた方がいい。
It'll be a big day.	明日は大切な日だ。
It'll be opening time, time I get down there.	そこにたどりついたときはもう開始の時刻になっているだろう。
It'll come all right in the end.	結局うまくおさまるだろう。
It'll come right in the end.	最後にはうまく収まるだろう。
It'll cost me my job.	そのために仕事を失うことになるかもしれない。
It'll take a week or so to read through this book.	この本を読み終えるには１週間かそこらかかるだろう。
It's Saturday today.	今日は土曜日です。
It's a house just like that I have seen.	私が見たのはそれにそっくりの家だった。
It's a long way from here to school.	ここから学校は遠いんだ。
It's a long way to Boston.	ボストンまでは遠い。
It's a present for you.	あなたへのプレゼントです。
It's a problem any way you look at it.	ともかく困ったことだ。
It's a problem.	問題だなあ。
It's a small world.	世の中は狭いものですね。
It's about one month.	約１ヶ月です。
It's about time for him to get here.	そろそろ彼がやってくる時刻だ。
It's all over between us.	僕たちの仲はもう終わりだ。
It's all right with him.	私はそれでかまいません。
It's all right with me.	私は大丈夫です。
It's all right.	気にしなくていいんですよ。
It's all the same to me.	僕はどっちでも結構です。
It's all the same to me.	私はどちらでも構わない。
It's all up with him.	彼は回復の見込みが無い。
It's around the city center.	それがほぼ街の中心に位置する
It's because I was asked to come that I'm here.	私がここに来ているのは来るように言われたからです。
It's been a long time.	ずいぶんになりますね。
It's been ages since I saw you last.	大変お久しぶりですね。
It's been five years since I came to Tokyo.	東京へ来てから５年になります。
It's been five years since I last saw you.	この前御会いしてから５年がたちます。
It's been two years since I saw him last.	この前彼に会ってから２年経つ。
It's best to have one of the locals show you around.	土地の人に案内してもらうのが一番だよ。
It's best to make international calls person to person.	指名通話で国際電話をかけるといいよ。
It's better than it was before.	以前と比べるとよくなった。
It's five in the evening.	夕方の五時です。
It's for my family.	それは私の家族へのものです。
It's for my personal use.	それは私が使う物です。
It's for my personal use.	それは私の個人用のものです。
It's good. You should try it.	おいしいよ。試してみるべきだよ。
It's great to have a family.	家族がいるって素晴らしいことです。
It's just another story.	それはごく平凡な物語だ。
It's no use asking him for help.	彼に助けを求めても無駄だ。
It's no use asking me for money.	僕に金をせびろうとしても無駄だ。
It's north of the park.	それは公園の北側に位置する
It's not a little money.	そりゃ大金だよ。
It's the best job in the world!	世界でいちばんいい仕事だものね。
It's the same to me.	それは、私にとって、どっちでも同じ事だ。
It's time to get down to business.	そろそろ話の本筋に入るべきです。
It's under the table.	テーブルの下よ。
It's well cared for.	充分に手入れが行き届く
It's white.	それは白いです。
It's you that she loves, not me.	彼女が愛しているのは僕じゃない、君だ。
I’m still in Tokyo now.	私は今まだ東京にいます
Jack is one of my friends.	ジャックは私の友人の一人です。
Jane gave me the same present as Wendy did.	ジェーンは私にウェンディがくれたのと同じプレゼントをくれました。
Jane has it in for Bob because he didn't help her.	ジェーンはボブが助けてくれなかったのを根に持っている。
Jane is as old as I am.	ジェーンは私と同じ年齢です。
Jane is loved by Peter.	ジェーンはペーターに愛されている。
January is the first month of the year.	一月は年の一番目の月です。
Japan is a very long country from north to south.	日本は南北に長い国です。
Japan is not as large as Canada.	日本はカナダほど大きくない。
Japan is smaller than Canada.	日本はカナダより小さい。
Japan will get it from many countries.	日本は多くの国からしっぺ返しをくらうだろう。
Japanese cars are right hand drive.	日本車は右ハンドルです。
Japanese companies will go into this market.	この市場に日本の企業が参入する
Japanese houses are small.	日本の家は小さい。
Japanese is not used in this country.	日本語はこの国では使われていません。
Jim is in my black book.	ジムは私のブラックリストに載っている。
Jim is learning how to drive a car.	ジムは車の運転の仕方を学んでいます。
Jim is not the man that you think him to be.	ジムは君が思っているような人ではない。
Jim will not come today.	ジムは今日は来ない。
Jim wrote to me last week and said he had come back two months before.	ジムは先週私に手紙をよこして、２ヶ月前に戻っていることを告げた。
Jim, don't run about in the room.	ジム、部屋の中を走り回らないで。
Jiro doesn't have to go to school today.	次郎は今日学校へ行く必要がない。
John and Beth are of an age.	ジョンとベスは同い年だ。
John and I are old friends.	ジョンと私は古くからの友達です。
John and Mary have known each other since 1976.	ジョンとメアリーは１９７６年以来の知り合いです。
John and Mary loved each other.	ジョンとメアリーはお互いに愛し合っていました。
John came running into the room.	ジョンは走りながら部屋の中へ入ってきた。
John doesn't know what to do next.	ジョンは次に何をするべきかわからない。
John gave Mary some money.	ジョンはメアリーに少しのお金を上げた。
John has no friends here.	ジョンはこのへんには友達がいない。
John is as old as I.	ジョンは私と同い年です。
John is looking for a book on Japanese history.	ジョンは日本史に関する本を探している。
John is my best friend.	ジョンは私の親友です。
John knows English history from A to Z.	ジョンは英国史を隅から隅まで知っている。
John ran into the room.	ジョンは部屋にかけ込んだ。
John was another great player.	ジョンもまたえらい選手だった。
John's older than I thought.	ジョンさんは私が思ったよりは年をとっている。
Join us, won't you?	仲間に入りませんか。
Judy likes him.	ジュディーさんが彼を好きです。
Just 13 people? That's all?	１３人？たったそんだけかよ。
Just give me your name and address.	お名前とご住所をどうぞ。
Just go about your business and don't keep looking at me.	あなたの仕事だけに取りかかって、私をじっと見るのをやめてください。
Just go about your business and don't keep looking at me.	私の方ばかり見ていないで、自分の仕事に精をだしなさい。
Just right here?	この場所に？
Just run down to the post office, won't you?	ちょっと郵便局までひとっ走りしてくれませんか。
Just sign here.	ここにサインをお願いします。
Just take my word for it.	だまされたと思ってやってみなさい。
Just tell Mr Tate that Helen Cartwright is here to see him.	テイトさんにヘレンが会いにきているとだけ伝えて下さい。
Just tell me what you'd like me to do.	何なりと言って下さい。
Just the same!	どっちでも同じことだ。
Just then she came into my room.	ちょうどその時彼女が私の部屋に入ってきた。
Just water, please.	お水だけでけっこうです。
Kabuki is an old Japanese art.	歌舞伎は古くからの日本の芸術だ。
Kasai was credited with 30 saves.	葛西は３０セーブをあげた。
Kate has three times as many records as Jane has.	ケイトはジェーンの３倍のレコードを持っている。
Kate is running in the field now.	ケイトは今運動場で走っている。
Kathy got a part-time job so that she could study at college.	キャッシーは大学で勉強できるようにアルバイトを見つけた。
Katsuko leads her class in English.	勝子は英語でクラス一番だ。
Kazu told her that he would go to Brazil in May.	かずは彼女に５月にブラジルへ行くと言った。
Keep as many as you need.	必要なだけおもち帰りください。
Keep it up!	その調子で続けて。
Keep it up.	その調子でがんばって。
Keep next Sunday free.	次の日曜は空けておいてね。
Keep out of the way, please.	道を開けておいて下さい。
Keep out!	立ち入り禁止。
Keep out.	立ち入りを禁ず。
Keep the change!	つりは要らんよ。
Keep the change, please.	釣り銭は取っておいてください。
Keep the change.	おつりは取っておいてください。
Keep the change.	お釣りは取っておいて。
Keep the room in good order.	部屋を整頓しときなさい。
Keep this money for me.	この金を預かってください。
Keep to the right.	ここでは右側通行です。
Keep to the right.	右側通行をしなさい。
Keep to your own line.	自己の方針をあくまで守れ。
Keep up the good work, Mr. Sakamoto.	坂本さんこれからもいい仕事を続けてください。
Keep up with the times.	時代に遅れないように。
Keep up with the times.	時代に遅れないようにしよう。
Keep your hand still.	手を動かさないで。
Ken calls me every day.	ケンは毎日私に電話をかけてくる。
Ken has been to England before.	健は以前イングランドに行ったことがあります。
Ken has more books than you.	ケンは君よりたくさんの本を持っている。
Ken has no more than ten books.	ケンはわずか１０冊しか本を持っていない。
Ken is older than Seiko.	ケンは、聖子より年上です。
Ken likes music very much.	ケンは音楽がとても好きです。
Ken must be home by now.	ケンは、今ごろ家に着いているに違いない。
Ken studies not only English but French.	健は英語だけでなくフランス語も勉強している。
Ken was running at that time.	ケンはその時走っていました。
Ken wasn't running.	ケンは走っていませんでした。
Kim and I are the same age.	キムと私は同じ年齢だ。
Kim is older than I am by four years.	キムは私よりも４歳年上だ。
Kumi did not make a box.	クミは箱を作りませんでした。
Kumi made a box.	クミは箱を作りました。
Kyoto has many places to see.	京都には見るべき場所がたくさんある。
Kyoto has many universities.	京都には多くの大学がある。
Kyoto is not as large as Osaka.	京都は大阪ほど大きくない。
Kyoto is visited by many people every year.	京都は、毎年多くの人々に訪れられます。
Large or small?	大か、小か。
Learn little by little every day.	毎日少しずつ学びなさい。
Learn these words, one by one.	これらの単語を一つずつ覚えなさい。
Life as it is is very uninteresting to him.	あるがままの人生は彼にとっては非常に退屈なものだ。
Life is all in all.	生命はかけがえのないものだ。
Life is full of ups and downs.	人生には浮き沈みがつきものだ。
Light has come into the world.	光が世にやって来た。
Lincoln is a great person.	リンカーンは偉大な人です。
Little money will come from this business.	この仕事ではほとんど金がもうからないだろう。
Living costs are getting higher.	生活費が高くなってきている。
Living costs this month are lower than those of last month are.	今月の生活費は先月よりかからない。
Living standards should be higher.	生活水準は上がるべきである。
London is large, compared with Paris.	ロンドンはパリに比べると大きい。
London is one of the largest cities in the world.	ロンドンは世界で最も大きな都市の一つです。
Long may he live!	彼の命の長からんことを。
Look at me with your books closed.	本を閉じて私を見なさい。
Look at that house.	あの家を見なさい。
Look at the notes on page 10.	１０ページの注釈を見なさい。
Look at this large map of America.	この大きなアメリカの地図を見て。
Look into the box.	箱の中をみてごらん。
Look over the papers, please.	その書類をざっと見て下さい。
Look up more.	もっと上を向きなさい。
Look! That shop's just opened! Why not take a look?	ね、ね、あの店、ニューオープンだって！よってみない？
Looking up, I saw him come in.	見上げると彼が入って来た。
Looks like you didn't study much for the test.	テストの勉強、あんまりしなかったようだね。
Los Angeles is one of the places that I'd like to visit.	ロサンゼルスは私が行ってみたいと思う場所の１つです。
Louie, your friends are coming.	ルイ、友達がくるよ。
Love is like the measles; we all have to go through it.	恋愛は、はしかのようなものだ。みんな一度はかからなければならない。
Love me little, love me long.	愛は小出しにせよ。
Love me little, love me long.	細く愛して長く愛して。
Love to party!	パーティーが大好き。
Love will come in time.	やがて愛情が生まれるだろう。
Lucy has as many friends as I do.	ルーシーには私と同じぐらい友達がいます。
Mahjong is a game four people play.	麻雀は普通、四人で遊ぶゲームです。
Mahjong is a game well-known all around the world.	麻雀は世界でとても有名な、ゲームのひとつです。
Make best use of the internet.	ネットを最大限に利用しよう
Make it a person-to-person call, please.	指名通話でお願いします。
Make it real.	本物を追求しろ。
Make the most of your college life.	大学生活を有効に過ごしなさい。
Man is 70% water.	人間は７０％水なんだよ。
Man lives in communities such as cities and countries.	人は市や国というような生活共同体を作って生活する。
Manjiro played a part in making the two countries friends with each other.	万次郎はこの二国をお互いに親しくするために一役果たしました。
Many Europeans visit Egypt every year.	多くのヨーロッパ人が毎年エジプトを訪れる。
Many a little makes a mickle.	ちりも積もれば山となる。
Many a man comes and goes.	多くの人が往来する。
Many a mickle makes a muckle.	塵も積もれば山となる。
Many a person has had the same experience.	同じような経験をした人は行く人も行く人もいる。
Many a story has been told about him.	彼についてはずいぶん多くの話が語られている。
Many businesses closed down.	多くの会社が休業した。
Many hands make light work.	人手が多ければ仕事がらくになる。
Many hands make light work.	人手が多ければ仕事は楽しい。
Many hands make light work.	多くの人手は仕事を軽くする。
Many old people these days can't keep up with the times.	最近では、多くの老人が時勢についていけない。
Many people are better off than they used to be.	暮らし向きが以前よりよくなっている人が多い。
Many people do research.	いろんな人が研究をします
Many people like X.	Xを多くの人が好む
Many people say 〜.	〜とみんなが口を揃える
Many people take action.	多くの人が行動を取る
Many people work in this field now.	現在多くの人がこの分野で働いている。
Mariko studied not only English but also German.	真理子は英語だけでなくドイツ語も勉強した。
Mary and I are in the same class.	メアリーと私は同じクラスだ。
Mary and I became good friends.	メアリーと私は仲良しになりました。
Mary called him every name she could think of.	メアリーはすべての悪態をいった。
Mary called him every name she could think of.	メアリーは彼に考えうる限りの悪態をついた。
Mary is setting by money to go to Japan.	メアリーは日本に行くためにお金を貯めている。
Mary is studying in her room.	メアリーは自分の部屋で勉強している。
Mary likes Japan, doesn't she?	メアリーは日本が好きですね。
Mary ran.	メアリーは走った。
May I add a point?	もう１点付け加えてもいいですか。
May I ask about your family?	家族について聞いてもいいですか。
May I ask your name?	お名前は何とおっしゃいますか。
May I ask your name?	お名前をお聞きしたいのですが。
May I ask your name?	お名前を聞いてもいいですか。
May I call on you today?	今日お訪ねしてもよろしいですか。
May I do it right now?	それをすぐしてもいいですか。
May I do it right now?	それをすぐにしてもいいですか。
May I go with him?	彼といってもよろしいか。
May I have an application form in Japanese?	日本語の申請書はありますか。
May I have the check, please?	お勘定をお願いします。
May I have the check, please?	勘定をお願いします。
May I join you?	一緒に行っていいですか。
May I join you?	僕も一緒にしていい？
May I open the box?	箱を開けてもいいですか。
May I pay by check?	小切手でお支払いしてもよいですか。
May I present Mr Johnson to you?	ジョンソン氏をご紹介いたします。
May I run with you?	一緒に走ってもいいですか。
May I see the room, please?	私の部屋を見せていただけませんか。
May I set the table?	食事の用意をしましょうか。
May I share this table with you?	相席させていただいてよろしいですか。
May I share this table with you?	相席させていただけますか。
May I show you around?	このあたりを案内いたしましょう。
May I take a message for him?	ご伝言を承ります。
May I try it on?	それを着てみてもいいですか。
May I try it on?	着てみていいですか。
May I try it on?	着てみてもいいかしら？
May I try it on?	試着できますか。
May I try this on?	これを試着してもいいですか。
May I use some paper?	紙を借りてもいいですか。
May I use your car today?	今日、車を借りてもいいですか。
May I visit your home one of these days?	そのうちお宅にお伺いしてもいいでしょうか。
May he live long!	彼が長生きしますように。
May they live long!	あの人たちが長生きされますように。
May you live long!	どうぞ長生きなさいますように。
Mayuko came out of the room.	マユコが部屋から出てきた。
Mayuko came up with him.	マユコは彼に追いついた。
Meg didn't even look at me.	メグは私を見もしなかった。
Might I ask your address?	住所をお聞きしてよろしいですか。
Might I ask your age?	お年をお聞きしてよろしいでしょうか。
Might I ask your name and address?	お名前と住所お聞きしてもよろしいでしょうか。
Might I ask your name and address?	お名前と住所をお聞きしてもよろしいでしょうか。
Might I ask your name?	お名前をお伺いしてもよろしいでしょうか。
Might I ask your name?	お名前をお伺いしてもよろしいですか。
Might is right.	力は正義なり。
Might makes right.	無理が通れば道理が引っ込む。
Miho was in the living room when I visited her.	私が美穂を訪ねたとき、彼女は居間にいた。
Mike and Ken are friends.	マイクとケンは友達です。
Mike and Tom are in the same class.	マイクとトムは同じクラスです。
Mike calls him Ned.	マイクは彼をネッドと呼ぶ。
Mike got back from the library at five.	マイクは図書館から五時にもどった。
Mike has a friend who lives in Chicago.	マイクはシカゴに住んでいる友達がいます。
Mike is the only man on the board.	マイクはその委員会で唯ひとりの男性です。
Mike said that he would come.	マイクは来ると言った。
Miyuki set the table for the party.	美雪はパーティーのためにテーブルを整えた。
Money comes and goes.	金は天下の回りもの。
More and more people offered to help.	ますます多くの人々が援助を申し出た。
More than 80% are using the Internet.	８０％以上がインターネットを利用しています
Most of our money goes for food.	われわれの金のほとんどが食費になる。
Most people know about X.	Xをほとんどの方が御存知だ
Most people think so.	たいていの人がそう考える。
Most signs are written in English.	大部分の標識は英語で書かれている。
Mr Aoyama has a large family to support.	青山さんは養う家族が多い。
Mr Colcott came to like Japanese food.	コルコットさんは日本の食べ物が好きになった。
Mr Ford is all right now.	フォード氏はもう大丈夫です。
Mr Johnson's house is next to my house.	ジョンソン氏の家は私の家の隣にあります。
Mr Johnson's was a large room.	ジョンソンさんのは広い部屋だ。
Mr Johnson's was a large room.	ジョンソン氏の部屋は広い部屋だった。
Mr Murata, this is my friend Lisa.	村田さん、これが僕の友達のリサです。
Mr Smith studied Chinese history.	スミスさんは、中国史を勉強していました。
Mr Soarez has been my close friend for years.	ソアレズ氏は私の長年の親友です。
Mr White has gone to Canada.	ホワイト氏はカナダに行きました。
Mr White has gone to Canada.	ホワイト氏はカナダへ行きました。
Mr White has gone to India.	ホワイト氏はインドへ行ってしまった。
Mr White is about my age.	ホワイトさんは私とほぼ同じ年です。
Mr White wanted to help them.	ホワイト氏は彼らを助けてあげたいと思いました。
Mr Yoshida is at home in French history.	吉田君はフランスの歴史が詳しいです。
Mr. Oh came to Japan to study Japanese.	王さんは日本語を勉強するために日本へ来ました。
Mr. Yamada asks Mr. Sato.	山田先生が、佐藤先生に質問をする
Mr. and Mrs. Yamada will come home next month.	山田夫妻は来月帰国します。
Mrs. Smith is in black.	スミス夫人は喪服を着ている。
Ms. Roland, what do you think about this problem?	ローランドさん、この問題についてどうお考えですか。
Much water is needed.	たくさんの水が必要である。
Must I come home now?	今帰らなければなりませんか。
Must I do it now?	今、それをしなければいけませんか。
Must you go to the post office?	君は郵便局へ行かなければならないのですか。
Must you work on Sunday?	君は日曜日に働く必要があるのですか。
My age is going to tell on me.	もう歳には勝てません。
My car is not running.	私の車は故障している。
My e-mail address has been changed.	私のｅ―ｍａｉｌアドレスが変わりました。
My education has made me what I am.	教育のおかげで私は今日のようになった。
My family are all in good health.	私の家族はみんな健康です。
My family are all very well.	私の家族はみんなとても元気です。
My family are all well.	家族は全員元気です。
My family are all well.	私のうちはみな元気です。
My family are all well.	私の家族は皆元気です。
My family goes to Italy every year.	私の家族は毎年イタリアに行きます。
My family have lived here for twenty years.	私の家族はここに２０年間住んでいます。
My family is a large one.	私に家族は大勢です。
My family is a large one.	私の家は大家族だ。
My family is a large one.	私の家族は大勢です。
My family is a large one.	私の家族は大家族である。
My family is an old one.	私の家は旧家です。
My family is not very large.	私の家族はそれほど大家族ではない。
My family is small.	私のうちは小人数です。
My family was well off in those days.	当時我が家は暮らし向きがよかった。
My friend has a large family.	友人の家は大家族です。
My friend will be our guide.	私の友人が、私たちを案内してくれる。
My friends call me Beth.	友達は私をベスと呼ぶ。
My friends call me Ken.	友達はぼくをケンと呼ぶ。
My friends call me Ken.	友達は僕のことをケンと呼ぶ。
My friends set off to America.	私の友達はアメリカへと出発した。
My hand came into contact with her hand.	私の手が彼女の手に触れた。
My home is in the country.	私の家はいなかにあります。
My hotel told me to call you.	ホテルで聞いて電話しています。
My house is a long way from here.	私の家はここから遠い。
My house is big.	私の家は大きい。
My house is close to the park.	私の家は公園のすぐ近くにある。
My house is covered by insurance.	私の家には火災保険がかけてある。
My house is like yours.	私の家は、君の家と似ている。
My house looks to the south.	私の家は南向きです。
My job will only last two years at most.	私に仕事はせいぜい２年しかもたないよ。
My level is low.	自分のレベルが低い
