I like tea.	私はお茶が好きです。
I want the same style of coat as you wear now.	私はあなたが今着ているのと同じような型のコートが欲しい。
I want the same jacket as you are wearing.	私はあなたが今着ているのと同じジャケットが欲しい。
I don't like your going out alone.	私はあなたが一人で外出するのが好きではない。
I don't like your going out alone.	私はあなたがひとりで外出するのが好きではない。
I don't like your going out alone.	私はあなたが１人で出かけるのを好まない。
I never have an ice cream without feeling happy.	私はアイスクリームを食べるといつも幸せな気分になる。
I don't care for ice cream.	私はアイスクリームが好きではない。
I had my T-shirt washed.	私はＴシャツを洗ってもらった。
I will have finished the work by eight o'clock.	私は８時までにその仕事をすませているでしょう。
I ate breakfast at eight.	私は８時に朝食を取った。
I had breakfast at 7:30.	７時半に朝食を食べた。
I have breakfast at seven.	私は７時に朝食を摂る。
I'll be back at seven o'clock.	7時に帰るよ。
I'll come home by six o'clock.	私は６時までには家に帰ります。
I was allowed to go there on condition that I came back by five o'clock.	私は５時までに帰って来るという条件でそこへ行くことを許された。
I will finish this work by 5 o'clock.	私は５時までにこの仕事を終えるつもりです。
I have been here since five o'clock.	私は５時からここにいます。
I have to finish the work by four o'clock.	私は４時までにその仕事を終えなければなりません。
I'll call back at four o'clock.	私は４時に電話をかけなおすつもりです。
I am meeting my mother at the station at 4 o'clock.	私は４時に駅で母と会う事になっています。
I met her by accident on Third Avenue.	私は３番街で偶然彼女にあった。
I met a friend whom I had not seen for three years.	私は３年ぶりに友人に会った。
I play tennis all the year around.	私は１年中テニスをします。
I was chained to the desk all day.	私は１日中忙しくて机から離れる暇がなかった。
I was playing tennis all day.	私は１日中テニスをしていました。
I spent the whole day in reading the novel.	私は１日中その小説を読んで過ごした。
I take a bath every other day.	私は１日おきに入浴する。
I like to travel alone.	私は一人で旅行するのが好きだ。
I'm old enough to live by myself.	私は１人で生活できる年頃です。
I live in this house by myself.	私は１人でこの家に住んでいます。
I hung around for one hour.	私は１時間も待っていた。
I took one, and gave the other apples to my little sister.	私は１つを自分がとり、あとのリンゴを妹にやった。
I learned how to ride a bike when I was six years old.	私は１６の時、バイクの乗り方を習いました。
I waited up for him until ten o'clock.	私は１０時まで、寝ずに彼を待っていた。
I left for America at ten o'clock.	私は１０時にアメリカに向けて出発した。
I lost a ten-dollar note.	私は１０ドル紙幣をなくした。
I am not about to pay ten dollars.	私は１０ドルも払うつもりはない。
I play many ball games; baseball, basketball, and so on.	私は、野球、バスケットボールなどたくさんの球技をやります。
I lost the watch my sister had given me for my birthday.	私は、妹が私の誕生日にくれた時計をなくした。
If I knew the truth, I would tell you.	私は、本当のことを知っていればあなたに話すのだが。
I must live up to my father's faith in me.	私は、父の信頼にそむかぬようにしなければならない。
I am going to America by plane.	私は、飛行機でアメリカへ行くつもりだ。
I made him tell the truth.	私は、彼に真実を話させた。
I can't bring myself to tell him that there is no hope of his being given the position.	私は、彼がその地位を与えられる見込みはないということを彼に話す気にはなれない。
I'm a junior high school student.	私は中学生です。
I majored in philosophy at my university.	私は、大学で哲学を専攻しました。
I saw a young boy crossing the street by himself.	私は、小さな男の子が一人で通りを横切っているのを見た。
I think it important that we should keep a promise.	私は、私たちが約束を守ることが大切だと思う。
I enjoyed myself very much at the party last night.	私は、昨晩のパーティーで楽しく過ごした。
I played soccer yesterday.	私は、昨日サッカーをしました。
I cleared up my desk.	私は机を片付けた。
I made that dress by myself.	私は、一人でその服を縫った。
I came to the conclusion that something was wrong.	私は、なにかおかしいという結論に達した。
I've just started playing tennis.	私は、テニスを始めたばかりです。
I had to cancel my trip on account of the strike.	私は、ストライキのために、旅行を中止しなければならなかった。
I bought a camera for 30 dollars.	カメラを３０ドルで買ったよ。
I stand for freedom of speech for everyone.	私は、あらゆる人の言論の自由に賛成だ。
I object to you going to Europe alone.	私は、あなたが１人でヨーロッパに行くことに反対です。
He caught me by the arm.	私の腕をつかんだ。
Sitting next to me was a famous actor.	私の隣に有名な俳優が座った。
My parents were surprised to hear the news.	私の両親はその知らせを聞いて驚いた。
I'll eat my hat if my candidate does not win the election.	私の立てた候補が選挙に破れれば、私は首をやる。
I can see the tower from where I stand.	私の立っている場所からその塔が見える。
In my understanding, those two experiments do not have common factors.	私の理解ではその二つの実験には共通の因子はない。
In my understanding, Robinson treats this element as secondary.	私の理解では、ロビンソンはこの要素を二次的なものとして扱っている。
My friends don't play tennis.	私の友達はテニスをしません。
May I introduce my friend to you?	私の友人を紹介したいのですが。
Allow me to introduce to you my friend Yamada.	私の友人の山田君を紹介します。
I am sorry that my friend is not here.	私の友人がここにいないのは残念だ。
I replied automatically when I heard my name.	私の名前を聞いたとき思わず返事をした。
My daughter is in labor.	私の娘は分娩中だ。
My daughter has grown out of this suit.	私の娘は大きくなってこの服が着られなくなった。
My daughter never fails to write to me at least once a week.	私の娘は少なくとも週に一度は必ず手紙をくれます。
My daughter is in her late teens.	私の娘はハイティーンです。
My daughter is looking forward to Christmas.	私の娘はクリスマスを楽しみに待っている。
My daughter is but a child.	私の娘は、ほんの子供です。
I opened an account in my daughter's name.	私の娘の名前で預金口座を開いた。
My dream is to be a baseball player.	私の夢は野球の選手です。
My dream is soon realized.	私の夢はもうすぐ実現する。
My dream is to make it as an actor in Hollywood.	私の夢はハリウッドの俳優として成功する事です。
My dream is to become a pilot.	私の夢はパイロットになることです。
My sister isn't used to cooking.	私の妹は料理に慣れていない。
My sister will go to Tokyo next year.	私の妹は来年、東京に行く予定です。
My sister is famous.	私の妹は有名だ。
My sister washes her hair every morning.	私の妹は毎朝髪を洗う。
My sister is a junior at Kobe College.	私の妹は神戸女学院の３回生です。
My sister will be thirteen years old next summer.	私の妹は次の夏には１３歳になる。
My sister lives near Yokohama.	私の妹は横浜の近くに住んでいる。
My sister can play the guitar very well.	私の妹はギターを大変上手にひける。
My sister is pretty.	私の妹はかわいいです。
My sister isn't studying now.	私の妹はいま勉強してません。
My sister always keeps her room clean.	私の妹はいつも自分の部屋を清潔にしておく。
My sister expects to graduate from college next year.	私の妹は、来年、大学を卒業する予定でいる。
My sister's name is Patricia.	私の妹の名前はパトリシアです。
My sister played the leading character.	私の妹が主役を演じた。
My book is on your desk.	私の本はあなたの机の上にあります。
My hat is bigger than Jim's.	私の帽子は、ジムのより大きい。
Turn toward me, please.	私の方を向いてください。
I myself didn't have to go and meet him there.	私の方から彼に会いにそこまで出かけていく必要がなかった。
My mother grows flowers in her garden.	私の母は庭で花を育てている。
My mother objected to my traveling alone.	母は私の一人旅に反対したんです。
My mother likes tea very much.	私の母はとてもお茶が好きです。
My mother bought some apples at a fruit store.	私の母はくだもの店でいくつかのりんごを買った。
My reply was negative.	私の返事は否定的だった。
I have all suits made to order.	私の服はすべて注文で作らせる。
There is no clock in my room.	私の部屋には時計がない。
My father is frank.	私の父親は気さくです。
My father goes to work by bike.	私の父は自転車で会社に行く。
My father objected to my traveling alone.	私の父は私の一人旅に反対した。
My father always thought that he wanted to be a pilot when he was a boy.	私の父は子供のころ、パイロットになりたいと思っていた。
My father won't have any noise while he is at work.	私の父は仕事中は雑音を一切好まない。
My father is a pilot on the domestic line.	私の父は国内線のパイロットです。
My father pulled his car into the large park.	私の父は広い公園に彼の車を入れた。
My father serves in the Foreign Ministry.	私の父は外務省に勤めている。
My father likes tennis.	私の父はテニスがすきです。
My father doesn't like soccer.	私の父はサッカーが好きではありません。
My father and my brother work in this factory.	私の父と兄はこの工場で働いている。
My skin burns easily in the sun.	私の皮膚は日焼けしやすい。
My hair was still wet from being washed.	私の髪はまだ洗ったばかりで濡れていた。
My skin burns easily.	私の肌は日焼けしやすい。
The pain in my back is getting worse.	私の背骨の痛みはひどくなっています。
As compared with my trouble, yours is nothing.	私の悩みに比べたら君の悩みなどなんでもない。
Can you guess my age?	私の年齢を言い当てれますか。
I was having a bath when the telephone rang.	私の入浴中に電話が鳴った。
My investments earn about 10 percent a year.	私の投資は年に１０パーセントの配当がつく。
My proposal met with a negative.	私の提案は反対にあった。
My brother has to take an examination.	私の弟は試験を受けなければなりません。
My brother soon got used to living alone in Tokyo.	私の弟はすぐに東京の独り暮らしに慣れた。
My savings are so small that they won't last much longer.	私の貯金はとても少ないので、あまり長くもたないだろう。
To the best of my knowledge, this is the only translation available.	私の知る限りでは、これが手にはいる唯一の翻訳書だ。
Thank you for remembering my birthday.	私の誕生日を覚えていてくれてありがとう。
My birthday falls on Sunday.	私の誕生日は日曜日に当たる。
My birthday falls on Friday this year.	私の誕生日は今年は金曜日に当たる。
My birthday is a month from today. That is to say, April 5th.	私の誕生日は今日から数えて１ヵ月先です。つまり、４月５日です。
My birthday is close to yours.	私の誕生日は君の誕生日と日が近い。
My birthday is on March 22.	私の誕生日は3月22日です。
My birthday is one month from today.	私の誕生日は１ヶ月先の今日です。
My birthday is in November.	私の誕生日は１１月です。
My birthday is coming near.	私の誕生日が近づいています。
My son is subject to ill health.	うちの息子は病気がちだ。
My son can read a clock.	私の息子は時計が読めます。
My major is agriculture.	私の専攻は農業です。
My teacher's instructions are always to the point.	私の先生の指導はいつも要を得ている。
I guessed right in nine cases out of ten.	私の推測は十中八九当たっていた。
My guess is that it will rain soon.	私の推測ではまもなく雨が降るだろう。
All my relatives live in this city.	私の親族は皆この町に住んでいる。
He announced my statement to be true.	私の申し立ては本当だと彼は発表した。
How do you like my new suit?	私の新しい服はいかが？
Is my new hair style funny?	私の新しい髪型はおかしいのだろうか。
Please help me pick out a hat which matches my new dress.	私の新しい服に似合う帽子を選ぶのを手伝って下さい。
Please help me pick out a hat which matches my new dress.	私の新しいドレスにあう帽子をみつけてくれませんか。
I love my new apartment because it's very close to the station.	私の新しいアパートはたいへん気に入っています。というのは駅にとっても近いからです。
My business address is 465 Fifth Avenue.	私の職場の住所は５番街４６５番です。
Please let me introduce myself.	私の紹介をさせていただきます。
My promotion hangs on his decision.	私の昇進は彼の胸三寸である。
Come and have tea with me.	私の所にお茶を飲みにいらしゃい。
Always bring your notebook to my class, will you?	私の授業にはいつもノートを持ってきてくださいね。
My taste is quite different from yours.	私の趣味は君の趣味とまったく違う。
This is at best the extent of my magic.	私の手品はせいぜいこんなもんです。
Leave me alone.	私の邪魔をしないでくれ。
My car needs washing.	私の車は、洗う必要がある。
My car, which broke down yesterday, has not been repaired yet.	私の車は、昨日故障したのだが、まだ修理できていない。
My clock is two minutes fast.	私の時計は二分早い。
My watch is accurate.	私の時計は正確だ。
My watch is more accurate than yours.	私の時計は君のより正確だ。
My watch is very accurate.	私の時計はとても正確だ。
It is ten o'clock by my watch.	私の時計は１０時です。
It's four o'clock by my watch.	私の時計では４時です。
That was because my watch was five minutes slow.	私の時計が５分遅れていたせいだった。
Please leave my things alone.	私の持ち物に触れないでください。
Let my things alone.	私の持ち物には触らないで。
My office faces Fifth Avenue.	私の事務所は５番街に面している。
Let me introduce my sister.	私の姉を紹介します。
My sister isn't used to cooking.	私の姉は料理に慣れていない。
My sister takes a shower every morning.	姉は毎朝シャワーを浴びます。
My sister has her hair done each week.	私の姉は毎週、髪を整えてもらう。
My sister usually walks to school.	私の姉は普通歩いて学校に行きます。
It is said that my sister is beautiful.	私の姉は美人だと言われている。
My sister became a college student.	私の姉は大学生になりました。
My sister will have been studying English for ten years when she graduates from her college.	私の姉は大学を卒業するときには１０年英語を勉強したことになります。
My sister goes to a university.	私の姉は大学へ通っている。
My sister has three times as many books as I do.	私の姉は私の三倍本を持っています。
My sister likes classical music no less than I do.	私の姉は私に劣らず、クラシック音楽が好きだ。
My sister is not a high school student.	私の姉は高校生ではない。
My sister is shorter than you.	私の姉は君より背が低い。
My sister used to take care of the flower bed.	私の姉はよく花壇の手入れをしたものだった。
My sister has a very good brain.	私の姉はとても頭が良い。
My sister always keeps her room clean.	私の姉はいつも自分の部屋をきれいにしている。
My sister is in her twenties.	私の姉は２０代だ。
Could you find a room for my sister?	私の姉に部屋を一つ見つけてくれませんか。
My work is to wash my father's car.	私の仕事は父の車を洗うことです。
My job is to wash dishes.	私の仕事は皿を洗うことです。
My day ends at 5 o'clock.	私の仕事は５時に終わる。
Let me introduce my wife.	私の妻を紹介します。
My wife told me to do away with this old hat.	私の妻は私にこの古い帽子をすてるようにと言った。
My wife really hates cats.	私の妻はひどく猫嫌いです。
My wife wants me to do away with this nice old hat.	私の妻はこの古いよい帽子を私にすててほしいと思っている。
My first guess was wide off the mark.	私の最初の推測ははずれた。
My first guess was wide off the mark.	私の最初の推測は見当違いであった。
My first guess was wide off the mark.	私の最初の考えは的外れである。
My thoughts are in agreement with them.	私の考えは彼らに賛成です。
You should try the exam again.	君はもう一度試験を受けるべきだ。
In my view you should try the exam again.	私の考えでは君はもう一度その試験を受けてみるべきだ。
In my opinion, you should take the exam again.	私の考えでは、きみはもう一度試験を受けるべきだ。
My taste is quite normal.	私の好みはごく当たり前さ。
One of my favorite tunes was playing on the radio.	私の好きな歌がラジオでかかっていた。
My favorite sport is soccer.	私の好きなスポーツはサッカーです。
Tennis, my favorite sport, has brought me a lot of friends.	私の好きなスポーツであるテニスによってたくさんの友人が出来た。
My favorite soccer player is Shinji Ono.	私の好きなサッカー選手は小野伸二です。
I heard a noise behind me.	私の後ろで音がした。
Don't take my words ill.	私の言葉を悪く取らないでください。
Do I make myself clear?	私の言っていることが分かりますか。
As you treat me, so I will treat you.	私の言ったとおりにそれをしなさい。
You will do exactly as I say.	私の言う通りにしなさい。
Let me make plain what I mean.	私の言いたいことをはっきりとさせてください。
My point is a broader one.	私の言いたいことはもっと広い意味合いのものである。
My bet is that John will get the job.	私の見方ではジョンがその仕事を手に入れるだろう。
I see great possibility in him.	私の見るところ彼は将来性が大いにある。
My elder brother is an authority on philosophy.	私の兄は哲学の権威者である。
My brother's an authority on philosophy.	私の兄は哲学の権威だ。
My brother was very pleased with the examination result.	私の兄は試験の結果に大喜びでした。
My brother failed to pass the examination.	私の兄は試験に合格できなかった。
My brother was killed in a traffic accident.	私の兄は交通事故で亡くなった。
My brother is healthy.	私の兄は健康だ。
My brother has a taste for music.	私の兄は音楽が好きだ。
My brother is big enough to travel alone.	私の兄はもう大きいので十分一人で旅行できる。
My brother is good at playing tennis.	私の兄はテニスをするのが得意だ。
My brother wants to go to the moon some day.	私の兄はいつか月に行きたがっています。
My brother earns half as much money as my father.	私の兄の収入は父の半分である。
My brother uses this bike.	私の兄がこの自転車を使う。
My salary doesn't allow us to live extravagantly.	私の給料ではぜいたくな暮らしはできない。
His behavior, as I remember, was very bad.	私の記憶している限りでは、彼の態度はとても悪かった。
My desk is made of wood.	私の机は木でできている。
My desk is old, but his is new.	私の机は古いが、彼のは新しい。
My desk is old.	私の机は古い。
There is an interesting book on my desk.	私の机の上に面白い本があります。
The majority of my patients come to me from out of town.	私の患者の大半は郊外から来ています。
I would be honored to give you a showing in my gallery.	私の画廊をあなたにお見せできるとは光栄です。
My house is near Tokyo Tower.	私の家は東京タワーの近くにあります。
My house has a small yard.	私の家は庭がせまい。
There is a broad street near my house.	私の家の近くを広い道路が走っている。
There is an apartment house near my house.	私の家の近くにアパートがあります。
I could not make myself understood in English.	私の英語は通じなかった。
In my opinion, it would be difficult to solve this problem.	私の意見では、この問題を解決するのは難しいだろう。
It happened that there was a hole in my pocket.	私のポケットにはたまたま穴があいていた。
My plane leaves at six o'clock.	私のは６時の飛行機です。
Bring my notebook back to me, please.	私のノートを返してください。
My notebook is in the desk.	私のノートは机の中にあります。
We have a lot of rain in June.	私のところでは６月にたくさん雨が降ります。
I like playing tennis, though I'm not very good at it.	私のテニスはへたの横好きだ。
Please don't take any trouble on my account.	私のためにご心配はご無用に願います。
All of my strength gave out.	私のすべての力を出し尽くした。
My jacket is not the same as yours.	私のジャケットは君のと同じではない。
I'm looking for a coat in my size.	私のサイズのコートを探しています。
Whatever you say about me, say it to my face, not behind my back.	私のことを何というにせよ、私のいないところでなく、私の目の前で言って下さい。
Don't trouble about me.	私のことは心配しないで下さい。
Let me alone.	私のことはほっといて。
Leave me alone.	私のことはほっておいてくれ。
My coat has finally worn out.	私のコートはついにだめになった。
There's a hole in my coat.	私のコートには穴が開いている。
My big sister washes her hair every morning.	私のお姉さんは毎朝髪を洗う。
Don't go too far ahead of me.	私のあまり先を行ってはいけません。
Ring the bell when you want me.	私に用があるときはベルを鳴らして下さい。
I wish I could use magic.	私に魔法が使えたら良いのに。
You may as well tell me the truth.	私には本当のことを言ったほうがいいんだよ。
Please let me know the truth.	私に本当のことを教えて下さい。
He made me a suit.	私に服を作ってくれた。
The girl who gave me beautiful flowers was your sister.	私に美しい花をくれた少女は君の妹でした。
Follow me and do exactly the way I do it.	私に続いて、私がやるのと全く同じようにやってください。
Please tell me the truth.	私に真実を話して下さい。
Let me know your exam results.	私に試験の結果を知らせてください。
Please give me a cup of tea.	私に紅茶を一杯下さい。
I saw a man coming toward me.	私に向かってやって来る人が見えた。
I wish I had wings to fly.	私に空を飛ぶ翼があったらいいのになあ。
As far as I'm concerned, I have no complaint.	私に関する限り不満はありません。
Guess what happened to me.	私に何が起こったのか言ってごらん。
As far as I could make out, he was experimenting with new methods.	私にわかる限りでは、彼は新しい方法の実験をしていた。
I've had my ups and downs, but I've always managed to pull myself together.	私にも浮き沈みがありましたが、常にどうにか落ち着きを取り戻すようにしてきました。
I have a friend whose father is a famous actor.	私には有名な俳優を父に持つ友人がいます。
I have two daughters.	私には娘が２人います。
I don't know if her new shirt will go with her blue jeans.	私には彼女の新しいシャツがブルー・ジーンズに調和するかどうかわからない。
I have two daughters and two sons.	私には二人の息子と二人の娘がいます。
I've got one brother and two sisters.	私には弟が１人と姉が２人います。
I have a son and a daughter. The one is in New York, and the other in London.	私には息子と娘がある。息子はニューヨークにいるが、娘はロンドンにいる。
I have a son and a daughter. The one is in New York, and the other in London.	私には息子と娘がある。前者はニューヨークにいるが、後者はロンドンにいる。
I have no plans whatever.	私には全く案がありません。
You may as well tell me the truth.	私には真実を言った方がいいよ。
I have three sisters; one is a nurse and the others are students.	私には姉妹が三人いる。一人は看護婦で、残る二人は学生である。
I have a brother and a sister. My brother lives in Tokyo and my sister lives in Nagano.	私には兄と姉がいるが、兄は東京に、姉は長野にいる。
I have the same trouble as you had.	私には君にあったのと同じ悩みがある。
I want a jacket shaped like yours.	私は君が持っているような形の上着がほしい。
I have another sister.	私にはもう一人姉がいる。
I have a friend who is a pilot.	私にはパイロットの友人がいる。
I didn't have the heart to tell him the truth.	私にはとてもかれに事実を伝える勇気はなかった。
I have my own way of solving it.	私にはそれを解決する独自の方法がある。
I have no friend with whom to talk about it.	私にはそのことで相談する友人がいない。
This problem is difficult for me to solve.	私にはこの問題を解くのは難しい。
Words fail me to describe the beauty of this landscape.	私にはこの風景の美しさを言葉で表すことができない。
I have no strength to lift this stone.	私にはこの石を持ち上げる力がない。
This math problem beats me.	私にはこの数学の問題はわからない。
I wasn't happy, but it seemed reasonable that his prices should go up like everything else, so I agreed.	私にはうれしくはなかったが、ほかのあらゆるものと同じ様にトニーの価格も上がるのは無理はないと思い、同意した。
It is too warm for me.	私にはあまりにも暖かすぎます。
I have eight brothers and sisters.	私には８人の兄弟姉妹がいます。
I have two brothers and a sister.	私には２人の兄弟と１人の姉がいる。
I have two brothers and one sister.	私には２人の兄と１人の妹がいます。
I don't have any sisters.	私には、姉妹がいない。
Will you pick out a tie for me?	ネクタイを選んでくれませんか？
It's not easy for me to travel alone in Japan.	私にとって日本を一人で旅行することは容易ではありません。
The ultimate question for me is whether I like business.	私にとって結局問題なのは商売が好きかどうかということだ。
Do you think that money really matters to me?	私にとってお金が本当に大切だと思いますか。
Two hundred dollars is a lot to me.	私にとって200ドルは大金です。
I was surprised to find five Suzukis in my class.	私にクラスに鈴木さんという名の生徒が５人もいるので驚いた。
Leave me alone.	私にかまわないでください。
Leave me alone, please.	私にかまわないで。
Please make me some tea.	私にお茶を入れてください。
Don't push me around.	私にあれこれ指図するのは、やめてください。
Will you have dinner with me?	私と夕食を一緒に食べませんか。
I’m looking for a man like myself.	私と同じような男性を捜しています。
We would be prepared to grant you a special discount of 5% for the quantity of 10 sets of STL	私どもはＳＴＬ＃３４５６１０セットについて５％の特別値引きをさせていただく用意があります。
We hope to establish a closer relationship between us.	私どもの関係がより緊密になることを願っております。
We have two daughters.	私どもには娘が２人います。
Would you promise to keep in touch with me?	私との連絡を保つよう、お約束いただけますか。
What do you say to playing tennis with me?	私とテニスをしませんか。
For my part I hope it won't rain.	私としては雨が降らなければいいと思います。
For myself, I have wanted to live in the country.	私としては、田舎に住みたいと思ってきました。
What puzzled us was that he said he would not attend the meeting.	私たちを戸惑わせたのは、彼が会議に出席しないといったことだ。
Don't go too far ahead of us.	私たちよりあまり先に行かないように。
We all wish for permanent world peace.	私たちみんな恒久的な世界平和を願っています。
We all regarded the situation as serious.	私たちみな、事態は深刻だと考えた。
We were rowing against the current.	私たちは流れに逆らってボートを漕いでいました。
We were late because of the storm.	私たちは嵐のために遅れた。
We made a promise to meet the next week.	私たちは来週会う約束をした。
We were giving a concert the next day.	私たちは翌日コンサートを開くことになっていた。
We made a promise to meet the next week.	私たちは翌週会う約束をした。
We'll need an extra ten dollars.	私たちは余分に１０ドル必要だ。
We had six guests to dinner.	私たちは夕食に６人の客を迎えました。
We played baseball.	私たちは野球をしました。
We waited for our daughter to come to her senses.	私たちは娘が正気に戻るのをまった。
We take a bath every day.	私たちは毎日ふろに入ります。
We play tennis every day.	私たちは毎日テニスをします。
I play soccer every day.	私たちは毎日サッカーをします。
We should appeal to reason instead of resorting to violence.	私たちは暴力に頼るのではなく、理性に訴えるべきだ。
We walked along an avenue lined with trees.	私たちは並木道を歩いた。
We will keep the room warm.	私たちは部屋を暖かいままにしておこうじゃないか。
We will give Father a birthday present.	私たちは父にバースデイプレゼントをあげるつもりです。
We watched her drive her car away, until it was no more than a dot in the distance.	私たちは彼女の車が遠くのわずか１点になるまで、見送っていた。
We have finished the work in accordance with her instructions.	私たちは彼女の指示に従って作業を完了した。
We have finished the work in accordance with her instructions.	私たちは彼女の指示に従って、作業を終了した。
We chose her a nice birthday present.	私たちは彼女にすてきな誕生日のプレゼントを選んだ。
We made him chairman.	私たちは彼を議長にしました。
We came to the conclusion that he should be fired.	私たちは彼を解雇するべきだという結論に達した。
We have not been notified about their change of address.	私たちは彼らの住所の変更を知らされていない。
We estimated his losses at 100 dollars.	私たちは彼の損害は１００ドルと見積った。
We read the full text of his speech.	私たちは彼の小説の全文を読んだ。
We wondered at his display of magic.	私たちは彼の手品の実演に感嘆した。
We read the full text of his speech.	私たちは彼の演説の全文を読んだ。
We called on him for a speech.	私たちは彼にスピーチを頼んだ。
We bargained with him for the house.	私たちは彼とその家の値段について話し合った。
We came to the conclusion that he had been right.	私たちは彼が正しかったという結論に達した。
We should have taken the schedule into consideration.	私たちは日程を考慮に入れるべきだった。
We have decided to stay here for the time being.	私たちは当分ここにとどまることにした。
We always play tennis on Saturday morning.	私たちは土曜日の朝はいつもテニスをする。
We found a poor little cat in the yard.	私たちは庭でかわいそうな小さな猫を見つけた。
We live in that apartment just over the street.	私たちは通りのちょうど向こう側のあのアパートに住んでいます。
We used to take a walk before breakfast.	私たちは朝食前に散歩するのが習慣だった。
We were shocked at the news.	私たちは知らせを聞いてひどく驚いた。
We will give her a present on her birthday.	私たちは誕生日に彼女にプレゼントをあげるつもりだ。
We got to the top of Osaka Tower.	私たちは大阪タワーのてっぺんに上がった。
The heavy rain prevented us from going fishing.	私たちは大雨のため釣りに行けなかった。
We had a wonderful time.	私たちは素晴らしい時を過ごした。
We are trying a completely new method.	私たちは全く新しい方法を試しています。
We met each other again completely by accident.	私たちは全く偶然に再会した。
We bought our plane tickets two months in advance.	私たちは前もって２カ月前に航空券を買った。
We couldn't row against the strong current.	私たちは川の強い流れにさからってボートをこぐことができなかった。
We formed a circle around the teacher.	私たちは先生のまわりに輪になって集まった。
We always associate snow with skiing.	私たちは雪といえばいつもスキーを連想する。
We've had several meetings.	私たちは数回会合を待った。
We purchased a new house for eighty thousand dollars.	私たちは新しい家を８万ドルで買った。
We are fully aware of the importance of the situation.	私たちは状況の重大さを十分に認識しています。
We had to start our business from zero.	私たちは商売をゼロから始めなければならなかった。
We have to book in before twelve o'clock.	私たちは十二時前にチェックインしないといけない。
We got behind the car and pushed.	私たちは車の後ろに回って押した。
We have our dinner between seven and seven-thirty.	私たちは七時と七時半の間に夕食をします。
We were held up for two hours on account of the accident.	私たちは事故のため二時間遅れた。
We came to the conclusion that we should support the movement.	私たちは私たちがその運動を支援すべきだという結論に達した。
We have to put up with a lot of noise when the children are at home.	私たちは子供が家にいるときには騒音にはずい分我慢しなければならない。
We spread out and began to search through the woods.	私たちは散開して森の中を捜索した。
We didn't go out last night. We could have gone to the movies, but we decided to stay home.	私たちは昨夜出かけなかった。その映画に行けたのだが、家にいることにした。
We had an examination yesterday.	私たちは昨日試験があった。
We are to have met yesterday.	私たちは昨日会う事になっていたのだが。
We had a chat over tea yesterday.	私たちは昨日紅茶を飲みながらおしゃべりをした。
We played basketball yesterday.	私たちは昨日バスケットをした。
We played tennis yesterday.	私たちは昨日テニスをした。
