You may go there.	君はそこに行ってもよい。
What are you doing?	何してるの？
What are you doing?	何しているのですか。
What's new?	何か変わりはない？
What's new?	何か変わったことは？
What's new?	何か変わったことある？
What do you need?	何が必要ですか。
What is the news?	何か珍しいことがありますか。
Can I help you?	何か手伝いましょうか。
What are you getting at?	何が言いたいの？
What's up?	何が起こったんだ？
May I help you?	何かご用はありますか。
May I help you?	何かお探しですか。
What shall I do for you?	何かお手伝いしましょうか。
What do you like?	何がお好きですか。
What are you getting at?	何がおっしゃりたいのですか。
What is it that "isn't only you"?	何があなただけではないって？
How can I help you?	何かあったのですか。
You like English, don't you?	英語は好きなのでしょう。
I like English best.	英語が一番好きです。
Ichiro will go to Nagoya for the first time.	一郎ははじめて名古屋へ行く。
We can make a day of it.	一日、そこで過ごせるわね。
Take three at a time.	一度に三個づつ取りなさい。
Take me with you.	一緒に連れて行って下さい。
I would like to go with you.	一緒に行きたいのですが。
We should do our best.	我々は最善を尽くすべきだ。
I'm working in Tokyo now.	わたし今、東京で仕事をしているの。
Work is all in all to me.	わたしには仕事が一番です。
What time is it in London now?	ロンドンは今何時ですか。
It is seven in London now.	ロンドンは今７時です。
When did you get to London?	ロンドンにはいつ着きましたか。
When in Rome, do as the Romans do.	ローマにいるときはローマ人がするとおりにせよ。
When in Rome, do as the Romans do.	ローマにいるときは、ローマ人と同じように行動せよ。
When in Rome, do as the Romans do.	ローマではローマ人のする通りにせよ。
When in Rome, do as the Romans do.	ローマではローマ人がするようにしなさい。
It is no business of yours.	よけいなお世話だ。
Take your time.	ゆっくり時間を掛けなさい。
Take your time.	ゆっくりやってくれ。
Take your time.	ゆっくりどうぞ。
What is a UFO?	ユーフォーって何？
Well, here we are!	やれやれ、やっと着いたぞ。
If you do it at all, do it well.	やるからには、ちゃんとやりなさい。
I'll see if he is in.	もどっているか見てまいります。
If I had been with you, I could have helped you.	もし私が君と一緒にいたなら、君を助けることができただろうに。
If I were free, I could help you.	もし私が暇だったら君を手伝うことができるのに。
If I were free, I could help you.	もし暇だったら手伝えるのに。
Are you there?	もしもし、来ていますか。
But for your help, I could not have done it.	もしあなたの助けがなかったら、わたしはそれをすることはできなかったのに。
I may as well go now.	もう出かけたほうがよさそうだ。
It's time for us to go home.	もう私たちが帰る時間だ。
I have got to go now.	もう行かなければなりません。
Got to go now.	もう行かないと。
This is the time you should get up.	もう起きる時間ですよ。
You can go home now.	もう帰宅してもよろしい。
Can I go home now?	もう帰宅してもいいですか。
Hadn't we better be going now?	もう帰ることにしようか。
You can go home now.	もう帰ってもいいですよ。
You may as well go home now.	もう帰ったらどうですか。
Can I go home now?	もう家へ帰ってもいいですか。
You'd better go home now.	もう家に帰りなさい。
May I go home now?	もう家に帰ってもよいですか。
It's getting there.	もう一息というところです。
I need some get-up-and-go.	もうダメだ、もうくたくた、疲れた。
Well, I have to be going.	もうそろそろ失礼しなくては。
It is time I was going.	もうおいとまする時間です。
May has been in Japan for a year.	メイは一年間ずっと日本にいます。
How is Mary?	メアリーは元気？
Mary. That's my name.	メアリーですよ、私の名前は。
I'd like a Manhattan.	マンハッタンをください。
Any time.	またいつでもどうぞ。
I'm working for McDonald's.	マクドナルドで働いてるんだ。
Mike has been out of work for a year.	マイクはここ一年間失業中である。
This is Mike. Is Hiroshi there?	マイクですが、博君はいますか。
How are you, Mike?	マイク、君はどうだい？
Well, you can't.	まあ無理ですな。
Well, it'll do for the time being.	まあ当分はそれで間に合うだろう。
Oh, what is this?	まあ、これは何なんでしょう？
Bob helped me.	ボブが手伝ってくれた。
I would like to see Mr Holmes.	ホームズさんにお会いしたいのですが。
Do your best.	ベストを尽くせ。
We can but do our best.	ベストを尽くさざるをえない。
I would like to go to France.	フランスへ行きたいものです。
Peter is not in now.	ピーターは今不在です。
I'd like to go to Hawaii.	ハワイに行きたいものです。
Hollywood isn't what it used to be.	ハリウッドには昔日の面影はない。
What is butter made of?	バターは何から作られてるの？
I need some butter. Do you have any?	バターが要るんだけど、いくらかありますか。
How do you do, Mrs. Jones?	はじめまして、ジョーンズ夫人。
Here it is.	はいどうぞ。
Here we are.	はい、着きました。
No, I didn't go out.	はい、外出しませんでした。
May I help you?	はい、何かご用でしょうか。
Here's $10.00.	はい、１０ドルです。
How do you like New York?	ニューヨークはどうですか。
Here's some news for you.	ニュースをお知らせします。
What?	なんて言った？
Nancy and Jane had to go home at five-thirty.	ナンシーとジェーンは５時半に帰宅しなければならなかった。
So this is New York.	なるほどこれがニューヨークか。
What are nabemono like?	なべ物とはどんなものですか。
What's new?	何か変わったことない？
What did you go to Kyoto for?	なぜ京都へ行ったのですか。
What did you go there for?	なぜそこへ行ったの？
What did you do that for?	なぜそうしたんですか。
Tom was also there.	トムもそこにいました。
Tom is getting better.	トムは段々よくなっている。
Tom is now in the fifth year.	トムは今５年生だ。
Will you go with Tom?	トムといっしょに行きませんか。
How are you, Tom?	トム、ごきげんいかがですか。
What is Tony doing?	トニー君は何をしていますか。
Is Tony there?	トニー君はそこにいますか。
Who do you work for?	どちらにお勤めですか。
One of us will have to go.	どちらか一方が出て行くしかないな。
What should I see?	どこを見物すればいいでしょうか。
What do you make of it?	どう理解しますか。
How is it going?	どう上手くいってる？
How did you make it?	どうやって作ったのですか。
How are you going to get home?	どうやって家に帰るつもりなの？
If you do it at all, do it well.	どうせやるなら上手にやれ。
What are you going to do about it?	どうするつもりなんだ？
It can't be helped.	どうしょうも無いのね。
What are you doing that for?	どうして君はそんな事をしているの。
What's up, Mike?	どうしたんだい、マイク。
How are you doing?	どう？近ごろ。
Which do you like better, Denver or Montreal?	デンヴァーとモントリオールとどっちが好きですか。
I would like to see Mr Terry Tate.	テリー・テイトさんにお会いしたいのです。
You may as well get used to it.	でも慣れた方がいい。
But you like it!	でも、そういうキミはそれを気に入っているのだろう。
I would like to go home now.	できればもう帰宅したいのですが。
I can't find Tim.	ティムが見つからない。
Aren't you going to get Mr Tate?	テイト氏をつれてきていただけませんか。
I'll take a time-out.	ちょっとタイム。
How do I get to Chinatown?	チャイナタウンにはどうやっていきますか。
No one can help me.	だれも私を助けることができない。
He's gone to Nagoya on business.	ただいま名古屋に出張中です。
So what?	だから何なの？
I've got to get out of here.	そろそろ失礼しなくては。
We'd better go home now.	そろそろ家へ帰るほうがよい。
It's about time I was going home.	そろそろ家へ帰る時間だ。
It is about time I was going.	そろそろおいとましなければならない時間です。
I would like to see it.	それを見たいものです。
What shall I do with it?	それをどう始末するの。
It is up to you how you take it.	それをどうとるかは君しだいだ。
What are you going to do with it?	それをどうするつもりですか。
It's not us who did it.	それをしたのは私たちではない。
What are they for?	それらは何のためですか。
What are they made of?	それらは何でできていますか。
They are all of a price.	それらはみんな同じ値段だ。
It is on me.	それは僕のおごりだ。
It can't be helped.	それは避けられない。
It is he.	それは彼だ。
I don't like it at all.	それは全然気にいらない。
That's news to me.	それは初耳ですね。
It's all one to me.	それは私にとってはどうでもよいことです。
It's me.	それは私だ。
That won't help you.	それは君の役には立つまい。
That is no business of yours.	それは君には関係ないことだ。
How did you like it?	それは気に入りましたか。
I can't help it.	それはやむを得ないね。
It was used only from time to time.	それはときどき使用されるだけだった。
You'd better not do it.	それはしない方がいい。
It was like this.	それはこんな次第だった。
It can be done in a day.	それは１日でできる。
That won't work.	それは、無茶だ。
What is it?	それは何ですか。
It has my name on it.	それには私の名前が書いてあります。
It has my name on it.	それには私の名前があります。
How did you see that?	それについてどう思った。
And what do you do?	それで君はどうするんだい？
That will do me well.	それでは私は結構です。
What has that to do with me?	それが私にどう関係があるのか。
That name is Ken.	その名前はケンです。
Would you like me to do that work?	その仕事を私がやりましょうか。
The work is done.	その仕事は終わった。
There is no one here who can help you with the work.	その仕事のお手伝いが出来る人はここには誰一人いません。
I was there all the time.	その間ずっと私はそこにいた。
It's news to me.	そのニュースは全く寝耳に水だ。
How did the news get out?	そのニュースはどうして漏れたのだろう。
I'll take you there one of these days.	そのうち君をそこに連れていってあげよう。
I'll be there at five p.m.	そちらには午後五時に到着します。
And there were three.	そして、三人が残った。
Will you take me there?	そこへ連れていってくれませんか。
It is no use going there.	そこへ行っても仕方がない。
You should not go there.	そこへ行ってはいけません。
You had better not go there.	そこへは行かないほうがよい。
How can I get there?	そこへはどうやって行けばいいのですか。
Could you find out how to get there?	そこへいく方法を調べてもらえませんか。
There is Tokyo.	そこは東京です。
I'll take you there.	そこに連れて行きますよ。
Who's there?	そこにいるのは誰だ。
There you are.	そこにありますのでどうぞ。
What did you do there?	そこで何をしたの？
What was it that you did there?	そこでいったい何をやったんだ。
Oh, OK. Well, can you get me one?	そうですか、じゃ、取り寄せてもらえますか。
I can't help doing that.	そうしないではいられないんだよ。
If you could do it at all, I'd like you to do it.	せっかく君にそれがやれるなら、やってほしいんだが。
I would like to see Mr Smith.	スミスさんにお会いしたいのですが。
All systems are go.	すべて準備完了。
What have you been doing?	ずっと何をしていたんだい。
What is sukiyaki made of?	すき焼きはどんな材料を使うのですか。
How did you like Singapore?	シンガポールはいかがでしたか。
What is John doing now?	ジョンは今何をしていますか。
Is Mr Schmidt at home now?	シュミット氏はご在宅ですか。
What about Jack?	ジャックはどうしましたか。
Jack isn't here.	ジャックがきていません。
Would you like me to see you home?	じゃあ、送っていこうか。
Jim has gone to London.	ジムはロンドンへ行ってしまった。
Jim is not what he was.	ジムは、昔の彼ではない。
But how can they do this?	しかし彼らはどうやってこれをすることができるのか。
Jane may not be at home now.	ジェーンは今家にいないかもしれない。
What time is it now in San Francisco?	サンフランシスコは今何時ですか？
What time do we get to San Francisco?	サンフランシスコには何時に着きますか。
I'll be seeing you.	さようなら。また会いましょう。
Sam, what are you doing?	サム、何をやってんだ？
Here we are!	さあ着いたぞ。
Here we go.	さあ、行くぞ。
May I help you?	ご用件をうけたまわりましょうか。
May I help you?	ご用件は？
What do you do?	ご職業は何ですか。
How are you?	ご機嫌いかがですか。
How are you?	ご機嫌いかが？
I would like to go with you.	ご一緒したいものです。
This is how I made it.	こんなふうにして私はそれを作った。
What are you doing here?	こんなところで何してるの？
This is the first time.	こんなこと初めてだ。
I can't get my contacts out.	コンタクトレンズが取れません。
What's this?	これ何？
I'll take it.	これを買います。
May I have this for two or three days?	これを二、三日貸していただけますか。
I'd like three of these.	これを三つください。
Can I see this one?	これを見せてください。
I'll take this one.	これをもらいます。
What do you make of this?	これをどう解釈しますか。
Are these yours?	これらはあなたの物ですか。
I'd like to take this with me.	これは持っていたいのだ。
I don't like this one.	これは気に入らない。
I don't like this.	これは気にいりません。
These are the ABCs.	これは基本です。
What are these for?	これは何に使うものですか。
Are these all your belongings?	これはみんな身の回り品ですか。
This has gone out of use here.	これはここではもう使われません。
What is the price for this?	これの値段はいくらですか。
How do you like that?	これどう思いますか。
Which is better, this or that?	これとあれではどちらが良いですか。
This is all he has to do.	これだけのことを彼はやらなければならない。
This is how I go about it.	これが僕のやり方だ。
This is how we do it.	これが私たちのやり方です。
This is what I need.	これが私が必要とするものです。
This is my best work to date.	これが現在までの私の最高傑作です。
I like this. I'll take it.	これが気に入りました。これをもらいます。
I'm going home now.	これから帰ります。
This is Japan as Americans see it.	これがアメリカ人から見た日本観です。
Is this what you've been searching for all this time?	これが、君が長い間探していたものですか。
How about that!	こりゃすごい！
This information is not as up-to-date as it should be.	この情報は当然最新であるべきなのに、実際はそうでない。
This is how I did it.	このようにして私はそれをした。
How do you make Mirano?	このミラノという料理はどういう料理方法ですか。
This hotel is the best, as hotels go.	このホテルはホテルとしてはいちばんよい。
This hotel will not do.	このホテルではだめだ。
This news is new to me.	このニュースは初耳です。
How have you been getting on?	このところ調子はいかがですか。
Are you new here?	こちらは初めてですか。
There's no one by that name here.	こちらには、そういう名前の者はおりません。
Is it for here?	こちらで召し上がりますか。
Here or to go?	こちらでお召し上がりか、お持ち帰りか。
I am here on business.	ここへは、商用で来ています。
There's no one but me here.	ここには私のほかに誰もいない。
What are you doing here?	ここで何をしてるの？
What's going on here?	ここで何が起こっているのですか。
You may be free to do what you like.	ここでは自由に振る舞っていいですよ。
Mt Fuji can be seen from here.	ここから富士山が見えるよ。
Get out of here.	ここから出ていけ。
If you do that, it will help you.	こうしたら君のプラスになる。
What's Ken doing now?	ケン君は今何をしていますか。
Christmas Day is December 25th.	クリスマスは１２月２５日です。
What did you get for Christmas?	クリスマスに何をもらいましたか。
What did Kumi make?	クミは何を作りましたか。
You need not do so.	きみはそうする必要はない。
I have no time to see you.	お目にかかるのに時間はありません。
What was your name?	お名前は何とおっしゃいましたか。
May I have your name?	お名前は？
I didn't get your name.	お名前が聞きとれませんでした。
How are you doing these days?	お変わりなくやっておられますか。
I would like to go with you.	お伴したいものです。
Shall I help you?	お手伝いしようか。
I am willing to help you.	お手伝いしますよ。
I am willing to help you.	お手伝いしてもかまいませんよ。
Could you help me?	お手伝いいただけますか。
Shall I help you?	お手伝いいたしましょうか。
Do you have some time?	お時間がありますか。
Is it to go?	お持ち帰りですか。
What do you do?	お仕事は何ですか。
Well, do you like it?	お口に合いますか。
How have you been?	お元気でしたか。
Who do you work for?	お勤めはどちらですか。
What will you be having?	お客様は？
How would you like it?	お気に召しますか。
It's time to be going.	お暇する時間です。
Don't take it out on me.	オレに八つ当たりするなよ。
We will go but you won't.	おれたちは行くのにおまえたちは行かぬ。
You have to go.	おまえは行かなければならない。
Oh! It's my day.	おっ！今日はついてるぞ。
Is Emily at home now?	エミリーは今家にいますか。
Who's Emily?	エミリーってだれ？
We take the Asahi and Yomiuri.	うちは朝日新聞と読売新聞を購読しています。
All are well at home.	うちではみんな元気です。
Go and see if Mr Wilson is at home.	ウィルソンさんが家に居るかどうか、行って見ておいで。
No, we have to go now.	いや駄目だ、今すぐに行かなくちゃ行けない。
I've seen it a million times.	いやというほど見てきたから分かる。
If you do it at all, do it well.	いやしくもやるからには上手くやれ。
No, I don't have it with me.	いや、今は持ってない。
When did they go home?	いつ彼らは帰宅しましたか。
When do you work?	いつ働いてるの？
When shall we go?	いつ行こうか。
When did you get to Kyoto?	いつ京都に着きましたか。
When did you go to Rome?	いつローマに行ったんですか。
When are you going to Europe?	いつヨーロッパへ行くのですか。
You may use it any time.	いつでもそれを使ってください。
What is going on?	いったい何が起こっているのか。
When did you go there?	いつそこへ行きましたか。
You have only to go with me.	いっしょに付いて来てくれさえすればいい。
When will we get to Sydney?	いつシドニーに着いたのだろう。
When can I see you?	いつお目にかかれますか。
When will you go out?	いつお出かけになりますか。
When will you be free?	いつお暇ですか。
Search as we would, we could not find it.	いくら探しても見つからなかった。
You had better not go.	いかない方がよい。
How is it with you?	いかがお暮らしですか。
How have you been?	いかがお過ごしでしたか。
No, I don't. What's he like?	いいや、どんな人。
No, you need not.	いいえ、必要ありません。
No, I didn't help.	いいえ、手伝いませんでした。
No, he will not.	いいえ、教えないでしょう。
No, no, it's on me.	いいえ、それは私のおごりです。
What's that?	あれ何？
Can I see that one?	あれを見せてください。
What is that?	あれは何ですか。
I have no time to go to America.	アメリカへ行く時間がない。
There are fifty states in America.	アメリカには５０の州がある。
What's your business in the States?	アメリカでは、どんな仕事をするのですか。
He is done for.	あの男ももう上がったりだ。
He is sixty, if a day.	あの人は少なくとも60歳にはなっている。
I will see you home.	あなたを家まで見送ります。
What do you do on Sunday?	あなたは日曜日に何をしますか。
Who are you?	あなたは誰ですか。
All you have to do is to do your best.	あなたは全力を出しさえすればよい。
You'd better not go out.	あなたは出かけないほうがよい。
Will you go with us?	あなたは私達と行きますか。
What do you take me for?	あなたは私を何だと思っているのですか。
What would you have me do?	あなたは私に何をしてもらいたいのですか。
Who do you like better, Sachiko or Akiko?	あなたは佐知子さんとアキ子さんとではどちらが好きですか。
What've you been up to?	あなたは今まで何をしていたの。
You may as well go home now.	あなたは、今のうちに家に帰ることですね。
You'd better go home.	あなたは家に帰った方がよい。
You may go.	あなたは行ってもよい。
You'd better go.	あなたは行ったほうがいい。
You don't need to go.	あなたは行く必要ないよ。
Would you like to go?	あなたは行きますか。
What will you do on Friday?	あなたは金曜日に何をするつもりですか。
You should make better use of your free time.	あなたは暇な時間をもっとうまく利用すべきだ。
You may go home.	あなたは家に帰ってもよろしい。
What are you?	あなたは何者ですか。
What time do you get up?	あなたは何時に起きますか。
What did you make?	あなたは何を作りましたか。
What don't you have?	あなたは何を持っていないのですか。
What are you going to do?	あなたは何をするつもりですか。
What would you like to do?	あなたは何をしたいのですか。
What are you going to be?	あなたは何になるつもりですか。
What are you going to have?	あなたは何にするの。
Do you like Japanese or English?	あなたは英語と国語どちらが好きですか。
You like English, don't you?	あなたは英語が好きですね。
Do you like English?	あなたは英語が好きですか。
Who do you like better, Akiko or Sachiko?	あなたは亜紀子さんと佐知子さんとどちらが好きですか。
It is time you should get up.	あなたはもう起きるべき時間だ。
You can go home now.	あなたはもう家に帰ってもいいですよ。
Did you go to Hawaii or Guam?	あなたはハワイへ行ったのですか、それともグアムへ行ったのですか。
What were you doing at that time?	あなたはそのとき何をしていましたか。
You have only to go there.	あなたはそこへ行きさえすればよいのだ。
You don't have to go there.	あなたはそこへ行く必要はない。
Are you going there on business?	あなたはそこに仕事でいくのですか。
You need not go there.	あなたはそこに行く必要がない。
Do you like San Francisco?	あなたはサンフランシスコが好きですか。
Which will you take, this one or that one?	あなたはこれとあれとどちらを選びますか。
Which do you like better, this or that?	あなたはこれとあれとどちらが好きですか。
What are you doing here?	あなたはここで何をしているのですか。
When did you get home?	あなたはいつ家へ帰りましたか。
What are you up to?	あなたは、今度は何にとりかかっているの。
What time do you go home?	あなたは、何時に帰宅しますか。
I didn't get your name.	あなたの名前が聞き取れませんでした。
But for your help, I could not have done it.	あなたの助けが無ければそれはできなかったでしょう。
What is your name?	あなたの氏名は何ですか。
What do you do?	あなたの仕事は何ですか。
Had it not been for your help, I could not have done it.	あなたの援助がなかったら、私はそれをすることが出来なかっただろう。
Shall I get some for you?	あなたのためにいくらか手に入れてあげましょうか。
What's your name?	あなたのお名前は？
I would like you to go home with me.	あなたに私といっしょに帰宅してもらいたい。
Here's to you!	あなたに乾杯！
I'd like for you to go.	あなたに会ってほしいのですが。
Had I better go with you?	あなたと一緒に行くほうがいいですか。
It's OK with me if it's OK with you.	あなたさえよければ、私はかまいませんよ。
Who has made you what you are now?	あなたが今あるのはだれのおかげなのですか。
I'd like to see you when you are free.	あなたがお暇な時にお会いしたいのですが。
Here he is!	あっ、来た来た。
What is going on there now?	あそこで今何が起こっているんだ？
Well, I have to go now.	ああ、もうお暇しなくては。
Which do you like better, L.A. or New York?	Ｌ．Ａとニューヨークどちらが好きですか。
I like L.A. better.	Ｌ．Ａの方が好きです。
Get me up at eight.	８時に起こして。
See you about 7.	７時頃にね。
I have to be there by 7:00.	７時までに着きたいんだけど。
See you at 7.	７時にね。
Add six and four and you have ten.	６と４を足すと１０になる。
What do you have to add to 17 to get 60?	６０にするためには１７に何を足せばよいの。
I saw Yoshida for the first time in five years.	５年ぶりに吉田君に会った。
I'd like to get home by five.	５時までには家に帰りたいのですが。
Here's $5.	５ドルをやる。
Add 5 and 2, and you get 7.	５と２を加えると７になる。
At four we could go home.	４時になれば家に帰ることができるからでした。
How about $100 for three?	３個で１００ドルならどうですか。
If you add three to four, you get seven.	３を４に加えると７になる。
Add 5 to 3 and you have 8.	３に５を加えると８になる。
If you add 3 to 3, you get 6.	３に３を加えれば６になる。
I've been working all day.	１日中ずっと仕事をしていたから。
Do you have any ones?	１ドル札をお持ちですか。
How about 12:45?	１２時４５分はどうでしょう？
Ten years have gone by.	１０年が過ぎた。
"Who is he?" "He is Jim."	「彼は誰ですか」「ジムです」
"Who helped you?" "Tom did."	「誰がきみを手伝ったのですか」「トムです」
"What time is it?" "It is ten-thirty."	「何時ですか」「１０時半です」
What is the English for "kaisha"?	「会社」を表す英語は何ですか。
"Who is it?" "It's me."	「どなたですか」「私です」
What do you have?	あなたは何を持っていますか。
"When do you get up?" "I get up at eight."	「あなたはいつ起きますか」「８時です」
For me, I like this better.	私といえば、こちらの方がすきだ。
What are some other nabemono?	なべ物にはほかにどんなものがありますか。
What's this?	これは何ですか。
That won't work!	それは行かんわい！
My name is Andrea.	アンドレアと申します。
Who is he?	彼は誰ですか。
"What time is it?" "It's 3:20."	「今何時ですか。」「３時２０分です。」
He is French.	彼はフランス人です。
You had better go now.	あなたはもう行ったほうがいい。
I don't need it.	必要ありません。
What's going on?	何が起こっているのか。
Tom likes Mary and Mary likes Tom.	トムはメアリーが好きだし、メアリーもトムが好きだ。
I'll be here.	ここにいるよ。
I wimped out.	意気地がなかったんだ。
Is he at home?	彼は家にいますか。
