Last call!	ラスト・オーダーは締め切らせていただきました。
Shall I come next Sunday?	次の日曜日に参りましょうか。
Shall we start?	始めましょうか。
She and I get on well.	彼女と私は仲がよい。
She and hers are all very well.	彼女も彼女の家族もみなとてもげんきだ。
She bought a book at the shop.	彼女がその店で本を買った。
She called for help.	彼女は大声で助けを求めた。
She called me up from Tokyo.	彼女は東京から電話をしてきた。
She called out to us for help.	彼女は我々に大声で助けを求めた。
She calls me Kenji.	彼女は僕を健二と呼ぶ。
She calls on me from time to time.	彼女はときどき私を訪ねてくる。
She came all the way from New York to see me.	彼女は私に会いにはるばるニューヨークからやってきた。
She came from Canada to see me.	彼女はカナダから私に会いに来た。
She came here all the way from Hokkaido.	彼女は北海道からはるばるここへ来た。
She came here to see me.	彼女は私に会うためにここにきた。
She came home for the first time in five years.	彼女は５年ぶりに帰国した。
She came home just now.	彼女はたった今帰ったところです。
She came last.	彼女は最後にきた。
She came out of there.	彼女がそこからが出てきた。
She came to see me the other day.	先日、彼女が遊びにきた。
She came to see me.	彼女は私に会いにきた。
She came up to Tokyo at eighteen.	彼女は１８歳のときに上京した。
She came with good news.	彼女はよい知らせを持ってきた。
She can't be over thirty.	彼女は３０歳を超えているはずはない。
She can't have been in her twenties at that time.	当時、彼女が２０代であったはずがない。
She can't have known about it.	彼女はそれについて知っていたはずがいない。
She changed her name to Ann.	彼女は名前をアンに変えた。
She comes from California.	彼女はカリフォルニアの出身です。
She comes to school in her car.	彼女は車で学校に来る。
She comes to see me from time to time.	時々彼女は私に会いにやってくる。
She could not find her way back.	彼女は帰り道がわからなかった。
She could read when she was four.	彼女は４歳の時に読むことができた。
She did come here.	彼女は本当にここへ来たんだ。
She did it in her own way.	彼女はそれを彼女独特の方法でやった。
She did not go there.	彼女はそこへ行かなかった。
She did not read the book.	彼女はその本を読まなかった。
She did well by me.	彼女はわたしにとてもよくしてくれた。
She didn't give me her name.	彼女は名前を教えてくれなかった。
She didn't like living in the city.	彼女は町に住んでいるのが好きではありませんでした。
She didn't need to come.	彼女が来る必要はなかった。
She didn't show up.	彼女は来なかった。
She gave me a book for Christmas.	彼女はクリスマスプレゼントに本をくれた。
She gave me a look at her new car.	彼女は新車を見せてくれた。
She goes by the name of Amy.	彼女はエイミーの名で通っている。
She goes to school.	彼女は学校に通っています。
She got home at seven.	彼女は７時に家に着いた。
She got out of the car.	彼女は車から降りた。
She had just come home when I called.	私が電話したとき、彼女はちょうど帰宅したところだった。
She had no way to know about it.	それについては知る由もなかった。
She has been out of work these two years.	この２年間彼女は失業している。
She has been to Paris.	彼女はパリに行ったことがある。
She has gone out.	彼女は行ってしまった。
She has gone shopping.	彼女は買い物に行ってしまいました。
She has gone to America.	彼女はアメリカに行ってしまった。
She has gone to Italy.	彼女はイタリアへ行ってしまった。
She has gone to Paris.	彼女はパリに行っていて、ここにはいない。
She has got there just in time.	彼女はちょうど間に合ってそこに着いた。
She has hundreds of books.	彼女は何百冊という本を持っている。
She has known better days.	彼女は羽振りのよいときもあった。
She has seen better days.	彼女にも全盛時代があった。
She has two thousand books.	彼女は二千冊本を持っている。
She has two uncles; one lives in Kyoto and the other in Osaka.	彼女にはおじが二人いる。一人は京都に、もう一人は大阪に住んでいる。
She is American, but she lives in England.	彼女はアメリカ人だが、イギリスに住んでいる。
She is Betty.	彼女はベティです。
She is a high-liver.	彼女は高望みするタイプです。
She is a temp.	彼女は派遣社員です。
She is all for going shopping.	彼女は買い物に行くことに大賛成だ。
She is all in all to me.	僕にとって彼女は最も重要な人だ。
She is all in all to me.	彼女は私にとってもっとも大切な人だ。
She is at home in English.	彼女は英語が得意です。
She is eight.	彼女は８才だ。
She is first in line.	彼女が列の先頭です。
She is from France.	彼女はフランス出身です。
She is from Hokkaido, but is now living in Tokyo.	彼女は北海道出身だが、今は東京に住んでいる。
She is getting better day by day.	彼女は日ごとに快方に向かっています。
She is getting on.	彼女は年をとってきている。
She is getting up a new play.	彼女は新しい芝居を企画中だ。
She is going on 35.	彼女はそろそろ３５歳だ。
She is going to be six next year.	彼女は来年六歳になる。
She is good-natured.	彼女は人がいい。
She is in her hotel now.	彼女は今ホテルにいる。
She is in need of help.	彼女は助けを必要とする。
She is just going shopping.	彼女はちょうど買い物に出かけるところです。
She is living in London.	彼女はロンドンに住んでいる。
She is living in London.	彼女は今ロンドンに住んでいる。
She is looked up to.	彼女は尊敬されている。
She is making use of you.	彼女はあなたを利用しているのです。
She is not home, but at school.	彼女は家にいなくて学校に行っています。
She is not less than thirty.	彼女は少なくとも３０歳だ。
She is not very well off.	彼女はあまり暮らし向きがよくない。
She is not what she used to be.	彼女は昔の彼女ではない。
She is out now.	彼女は今外出中です。
She is seeing a Kabuki play now.	彼女は今、歌舞伎を観ているところだ。
She is thirty-one.	彼女は３１歳だ。
She is used to traveling.	彼女は旅行することに慣れています。
She is well off now.	彼女は今裕福である。
She knows how to use her good looks to get what she wants out of men.	彼女は色仕掛けで男を誘惑する。
She knows me.	彼女は私を知っている。
She knows what to do now.	彼女は今何をすべきかよく知っている。
She liked it.	彼女はそれが好きでした。
She likes Hiroshima better than any other city.	彼女は他のどの都市よりも広島が好きだ。
She likes it least of all.	彼女はそれがもっともきらいだ。
She likes no one and no one likes her.	彼女は誰も好かないし、また誰も彼女を好かない。
She likes to be on her own.	彼女は一人っきりで居るのが好きです。
She likes to read books.	彼女は本を読むのが好きだ。
She likes traveling best of all.	彼女は旅行がとりわけ好きである。
She lived there about five years.	彼女はそこに約５年間住んだ。
She lived there for years.	彼女はそこに何年間も住んでいた。
She lived to be ninety.	彼女は９０歳まで生きた。
She lives in New York.	彼女はニューヨークで暮らしている。
She lives in Yokohama.	彼女は横浜に住んでいる。
She looked at me.	彼女は私を見た。
She looked back on her school days.	彼女は学生時代を思い出した。
She looked better than last time.	彼女は前より元気そうだった。
She looked well when I last saw her.	この前会った時彼女は健康そうだった。
She looks at least sixty.	彼女は少なくとも６０歳には見える。
She makes a good living.	彼女はいい暮らしをしている。
She makes up in public.	彼女は人前で化粧する。
She may be French.	彼女はフランス人かもしれない。
She may have gone out to do some shopping.	彼女は買い物をしに外出したかもしれない。
She may not be at home now.	彼女は今家にいないかもしれない。
She may not come.	彼女は来ないかもしれない。
She might know that we are here.	彼女は私たちがここにいることをしらないかもしれない。
She might not know that we are here.	ひょっとすると彼女は私たちがここにいることを知らないのかもしれない。
She need not have done the work.	彼女はその仕事をする必要はなかったのに。
She needs our help.	彼女はこちらから助けてやる必要がある。
She ordered the book from England.	彼女はその本をイギリスに注文した。
She ordered the book from London.	彼女は、その本をロンドンに注文した。
She plays Bach.	彼女はバッハ弾きです。
She reported the news.	彼女がそのニュースを報じた。
She sent this book to me.	彼女はこの本を私に送った。
She set out for Thailand.	彼女はタイに旅立った。
She set out for Thailand.	彼女はタイ国に旅立った。
She so wants to go.	彼女はとても行きたがっている。
She thought of a good plan.	彼女はいい計画を思いついた。
She took her book.	彼女は自分の本を手に取った。
She took it off.	彼女はそれを脱いだ。
She took me for Mr Tamori.	彼女は私をタモリさんとまちがえた。
She took part in our project.	彼女が我々の計画に参加した。
She types well.	彼女はタイプがうまい。
She used to work for our company.	彼女はかつて私達の会社で働いていた。
She uses her looks.	彼女は美貌を売りにしています。
She wanted me to come.	彼女は私に来てもらいたがっていた。
She wanted to help them.	彼女は彼らを助けたかった。
She wants me to go with her.	彼女は私にいっしょにきてほしいと思っている。
She was a great help to me.	彼女はとても私の助けになった。
She was about to go out.	彼女はまさに外出しようとしていた。
She was about to start.	彼女まさに出発しようとしていた。
She was at home in English.	彼女は英語に堪能であった。
She was off in her Sunday best.	彼女は晴れ着を着て出かけた。
She was on her way to school.	彼女は学校へ行く途中だった。
She was out of Japan last year.	彼女は去年日本を離れていた。
She was out when I called.	私が訪問した時彼女は留守だった。
She will be back at five.	彼女は五時に戻ってきます。
She will be here in no time.	彼女はすぐに来るでしょう。
She will be in Paris by now.	彼女は今頃もうパリに着いているだろう。
She will be seventeen next year.	彼女は来年１７歳になる。
She will be there by now.	今頃彼女はそこにいるだろう。
She will be there by now.	彼女は、今ごろは、そちらに着いているでしょう。
She will do her best to be here on time.	彼女は定刻にここへ来るように全力を尽くすでしょう。
She will have her own way.	彼女はどうしても自分の思い通りにしようとする。
She will have her own way.	彼女は何でも自分の思うとおりにしようよする。
She works from nine.	彼女は９時から働く。
She's at work, isn't she?	彼女は仕事に行っていますね。
She's going to Ooita.	彼女は大分に行く予定です。
She's good to me you know.	彼女は僕にやさしい。
She's looking the other way.	彼女は向こうを向いている。
She's my type.	彼女は私のタイプだ。
She's not at home now.	彼女は今家にいません。
Show me the way, will you?	案内してくれますか。
Show your own business.	自分の事をしろ。
So, what should I write?	さて何を書きましょう
Some day I want to go to New York.	いつか私はニューヨークへいきたい。
Some do think so.	そう考える人もたしかにいる。
Start by doing the books.	まず帳簿をつけることからはじめなさい。
Start now, and you will get there in time.	今出発しなさい、そうすればそこに間に合って着くでしょう。
Steve did not come home.	スティーブは帰宅しなかった。
Such being the case, I can not go with you.	そういうわけで、ご一緒できません。
Such being the case, I can't go with you.	そういうわけだから、私は君と一緒に行けないのだ。
Such books as this are of no use to us.	こういう本は私達には少しも役に立たない。
Take any books that you want to read.	読みたい本は何でも持って行きなさい。
Terry was very pleased with the news.	テリーはその知らせに大変喜びました。
That book is a new book.	あの本は新しい本です。
That book is of no use.	あの本は何の役にも立たない。
That car is hers.	あの車は彼女のです。
That day shall come.	その日はやってくるであろう。
That day shall come.	その日は必ずやってくる。
That is how I learned English.	それが私が英語を学んだ方法です。
That is how she learns English.	そうやって彼女は英語を学んでいる。
That is just her way.	それがまさに彼女の癖です。
That is just what I wanted.	あれはちょうど僕が欲しかったものだ。
That is not my line.	それは私の得意ではない。
That is not the case in Japan.	日本はそうではない。
That is not the case.	それは真相ではない。
That is the other way about.	それは逆だ。
That is the shop where I used to work.	あれは私が昔働いていた店だ。
That is the way of the world.	それが世の習いです。
That is what I have wanted to buy.	それが私が買いたかったものです。
That is what I want to know.	それが知りたい。
That is your book.	あれはあなたの本です。
That isn't the case in Japan.	日本ではそうではない。
That was of great help to me.	それは大いに私の役に立った。
That was so good a book that I read it three times.	それはとても良い本だったので、私は３回読みました。
That was the time when he came.	それが彼がきた時間だ。
That's how I came to know her.	そんな風にして私は彼女と知り合ったのだ。
That's including taxes.	税込みですよ。
That's just what I wanted.	これこそ求めていたものですよ。
That's my line!	それは私の台詞だよ！
That's not the case.	それは事実とは違う。
That's the best way we can do now.	それが私たちが今できる最善の方法だ。
That's the way he is.	彼の性分だからしかたない。
That's the way it is.	それが現実だ。
That's the way.	その調子だよ。
That's what I thought.	正にそれが私の考えです。
That's what we call an "otoshidama".	それはいわゆる「お年玉」でした。
That's what we want to know.	それが私達の知りたいことです。
The DVD will go on sale.	ＤＶＤが発売される
The best way to learn English is to go to America.	英語を学ぶのはアメリカへ行くのが一番よい。
The call has come through.	電話がつながったよ。
The car is at your service.	この車を自由にお使い下さい。
The car looked good as new.	その車は新品同然にみえた。
The car wouldn't start.	その車は動こうとしなかった。
The computer is new.	そのコンピューターは新しいです。
The computer is of great use.	そのコンピューターは非常に役立つ。
The computer is up to date.	そのコンピューターは最新式だ。
The day came at last when he had to part from her.	彼が彼女と別れなければならない日がついにやってきた。
The e-mail was sent to me.	メールが私のところに来ました
The information is in a file in my computer.	その情報は私のコンピューターのファイルに入っている。
The last time I saw Kent, he was very well.	この前ケントに会ったとき、彼はとても元気でした。
The man looked at me.	その男の人は私を見た。
The man's name was Francisco Pizzaro.	その男の名前はフランシスコ・ピサロだった。
The new car is hers.	その新しい車は彼女の物です。
The new plan worked well.	新企画は図にあたった。
The new product is on sale.	その新製品は発売中だ。
The other day, I got a call from her.	先日、彼女から電話があった。
The owner lives in the city.	所有者が市内に居住する
The phone is out of order.	電話が故障しています。
The phones aren't working.	電話は不通なの。
The plan has worked well.	計画はうまくいった。
The plan will work out.	その計画はうまくいくだろう。
The price of books is getting higher these days.	ここのところ書籍の価格が上がっている。
The price of books is getting higher these days.	ほんの値段が近頃上がってきている。
The price of books is getting higher these days.	本の値段が最近上がってきている。
The price of the book was $5.	その本の値段は５ドルでした。
The price of this car is very high.	この車の価格はとても高い。
The sale will be over in two days.	後二日でバーゲンがなくなる。
The system is working very well now.	そのシステムは現在とてもうまく動いている。
The time has come.	いよいよ時間がやってきた
The work was well done in a way.	その仕事はある意味では立派に成された。
Then what?	じゃあ何？
Then who are you? Are you Elijah?	では、いったい誰ですか。あなたはエリヤですか。
Then who?	では誰ですか。
There are such shops about.	そのような店はあちらこちらにある。
There has been a change of plans.	我々の計画に変更があった。
There is a Mr Ito who wants to see you.	伊藤さんという人がお目にかかりたいそうです。
There is less time than I thought.	考えていたほど時間はない。
There is no end.	きりが無い
There is no one who wants to go there.	そこへ行きたがる人は誰もいない。
There is no way of knowing where he's gone.	彼がどこへ行ってしまったか知る由もない。
There may be two cases here.	ここで２つのケースがある。
There she comes.	ほら、彼女がやってくるよ。
There were three men.	３人の男性がいた。
There! She comes!	そら、彼女が来るよ。
There's a Mr Kay wants to see you.	ケイさんという方がお目にかかりたいそうです。
There's a car coming.	車がきてるぞ。
There's a phone call for you from Akemi.	君に明美から電話があったよ。
There's no other way than this now.	もうこれよりほかに手はない。
There's no way I can make it up to you.	どう埋め合わせしたら良いかわかりません。
There's no way I'm going to do that.	私は絶対にそんな事しません。
There's very little we can do now.	今となっては私たちができることはほとんどありません。
These are my books.	これらは私の本です。
These are our books.	これらは私達の本です。
These articles are not for sale.	これらの品物は非売品です。
These books are my books.	これらの本は私の本です。
These books are new.	これらの本は新しい。
These books can be had at that store.	これらの本はあの店で買えます。
These cars are made in Japan.	これらの車は日本で作られています。
These goods are available to members only.	これらの商品は会員だけが利用できる。
These new cars are on sale.	これらの新車は売り出し中です。
These photos have come out very well.	これらの写真は、たいへんよく出来上がりました。
They all have come.	彼らはみんな来た。
They are about to start.	彼らは出発しようとしている。
They are in the way.	邪魔になっています。
They are living it up in Honolulu.	彼らはホノルルで楽しんでいるよ。
They are on their way home.	彼らは帰宅の途中だ。
They are our cars.	それらは私たちの車です。
They are willing to learn English.	彼らは進んで英語を学ぶ気がある。
They aren't my books.	それらは私の本ではない。
They call Robert "Bob".	彼らはロバートをボブと呼ぶ。
They call me Bob.	彼らは私をボブと呼びます。
They came all the way from Brazil.	彼らははるばるブラジルからやってきた。
They came home from school just now.	彼らはちょうど今学校から帰ってきた。
They can come on Monday or Tuesday, but not on Wednesday or Thursday.	彼らは月曜日か火曜日に来てもよいが、水曜日と木曜日はだめだ。
They couldn't think where to go.	彼らはどこへ行ったらよいかわからなかった。
They didn't come here, did they?	彼らはここへ来ませんでしたね。
They got out of the car.	彼らは車からおりた。
They got through the marsh.	彼らは沼地を通り抜けた。
They have lived in London for ten years.	彼らはロンドンに住んで１０年になります。
They have very little to live on.	彼らは暮らしに余裕がない。
They helped each other.	彼らはお互いに助け合いました。
They learned all there was to know about it.	それについて知っておくべきことの全てを彼らは学んだ。
They live there.	だって２人ともそこに住んでいるんですもの。
They looked at each other.	彼らはおたがいに顔を見あわせた。
They looked at each other.	彼らはお互いをながめた。
They looked at each other.	彼らは互いに顔を見合わせた。
They start for Europe on business.	彼らは商用でヨーロッパに出発する。
They started a new business.	彼らは新規事業を始めた。
They wanted change now.	彼らは、「今すぐに」変化が起こることを望んだ。
They were all great men.	彼らは皆偉大な人たちです。
They were through with work.	彼らが作業を終えた。
Think about it.	考えてください。
This article is for sale.	この品物は売り物です。
This book is Tony's.	この本はトニーの物です。
This book is a little out of date.	この本はちょっと時代おくれだ。
This book is available at one shop only.	この本はただ一軒の店でだけ入手できる。
This book is hers.	この本は彼女の物です。
This book is new.	この本は新しい。
This book is not available in Japan.	この本は日本では手に入らない。
This book is not for sale.	この本は売り物ではありません。
This book is of great use to us.	この本は我々に役にたつ。
This book is of great use.	この本はたいへん有益である。
This book is very new.	この本はとても新しいです。
This book is written in English.	この本は英語で書かれています。
This book is yours.	この本はきみのだよ。
This book was new.	この本は新しかった。
This book was printed in England.	この本は英国で印刷された。
This book was written by Haley.	この本はヘイリーが書いた。
This book will be of great use to us.	この本は私たちにとても役立つだろう。
This book will be of great use to you.	この本はあなたに大いに役立つだろう。
This book will be printed next year.	この本は来年印刷されるでしょう。
This book will do.	この本でいいよ。
This car is as good as new.	この車は新品同様だ。
This car is like new.	この車は新車同様だ。
This car is made in Japan.	この車は日本製です。
This car is out of date.	この車は時代遅れです。
This car was made in Japan.	この車は日本で作られました。
This car won't start.	この車は動かない。
This city is called the Japanese Denmark.	この都市は日本のデンマークと呼ばれている。
This is Tony's book.	これはトニーの本です。
This is a book about England.	これは英国についての本です。
This is a book to read.	これは読むべき本だ。
This is a book.	これは本です。
This is a good book, but that one is better.	これはよい本ですが、あの本の方が良いです。
This is a new type of car.	これが新型の車です。
This is a very new book.	これはとても新しい本です。
This is also the first time I've been to this area.	私もこのあたりは初めて来ました。
This is her book.	これは彼女の本です。
This is how I learned English.	これが、私が英語を勉強した方法だ。
This is how I learned English.	これがわたしが、勉強をした方法だ。
This is how it all came about.	それはこのようにして起きた。
This is how we've got to know each other.	このようにして僕たちは互いに知り合うようになった。
This is incomparably great.	このほうが比べものにならないほど優れている。
This is just the type of car I want.	これがちょうど私の欲しい型の車だ。
This is just the way I like it done.	これは私の好みにぴったりです。
This is just what I wanted.	こういうものが欲しいと思ってました。
This is just what I wanted.	これがちょうど私が欲しかったものです。
This is just what I wanted.	これがまさに私の欲しかったものです。
This is just what I wanted.	これはちょうど私がほしいと思っていたものです。
This is my book.	これは私の本です。
This is my car.	これが私の車です。
This is the book I've been looking for.	これは私が探していた本だ。
This is the book which you are looking for.	これが君の探している本です。
This is the car made in Japan.	これは日本で作られた日本製の車です。
This is the case.	事情はこの通りです。
This is the end.	これで終わりです。
This is the very CD I've been looking for.	これこそ私が探していたCDです。
This is the very best way to do it.	これはそれを行うまさに最良の方法です。
This is the very book I have been looking for.	これこそが私が捜していた本だ。
This is the very book I have been looking for.	これこそまさしく私がさがしていた本です。
This is the very book I have been looking for.	これこそまさに私が探していた本です。
This is the very book I have been looking for.	これこそ私が探していた本だ。
This is the very book for you to read.	これこそ君達が読むべき本だ。
This is the very book that I want to read.	これこそ私の読みたい本である。
This is the very book that I wanted to read.	これはまさに私が読みたかった本だ。
This is the very book you wanted.	ちょうど君が欲しがっていた本だ。
This is the very video I have been looking for.	これは私が探していたまさにそのビデオです。
This is the very video I wanted to see.	これこそまさに私の見たかったビデオだ。
This is the way he learned English.	これが彼が英語を覚えた方法である。
This is very good.	これはとても美味しい。
This is what I thought.	これが私の考えたことです。
This is what I want.	これこそ私の欲しいものです。
This is what I wanted.	これは私が欲しいと思った物です。
This is what we call "tempura".	これがいわゆる「天ぷら」というものです。
This is what we want to know.	これが私たちの知りたい事です。
This is what we want to know.	これが私達の知りたいことである。
This is your book.	これはあなたの本です。
This isn't for sale.	これは非売品です。
This order has just come in over the phone.	この注文は今電話で入ったところです。
This plan is good in some ways.	この計画はいくつかの点でよい。
This play has ended.	この公演はもう終わりました。
This system will work well in nine cases out of ten.	この制度は十中八九うまくいくだろう。
This used car is as good as new.	この中古車は新車同様である。
This used car is for sale.	この中古車は売り物です。
This we can call a work of art.	これを私たちは芸術品と呼ぶ。
This will be the book he is looking for.	これが彼の探している本だろう。
This will be the book you are looking for.	これがあなたのさがしている本でしょう。
This will be the book you're looking for.	これが御探しの本でしょう。
Thought is free.	思想は自由だ。
To start with, who is that man?	まず第一に、あの男性は誰ですか。
To this day we call them Indians.	今日まで彼らはインディアンと呼ばれている。
Tom came home just now.	トムはたった今帰宅したところだ。
Tom lived in Japan for ten years.	トムは１０年間日本に住んだ。
Tom wants to go to Japan.	トムは日本に行きたがっている。
Tony is playing.	トニー君は遊んでいます。
Tony lives in Kobe.	トニー君は神戸に住んでいます。
Two men came up to me.	二人の男が私に近づいてきた。
Two of my books have been taken.	誰かが私の本を２冊持っていってしまった。
Uh.....yes, I think so.	ええっと、そうだと思います。
Users download the file from the site.	ユーザーがサイトからそのファイルをダウンロードする
Want to know?	聞きたいわ？
Was he in the car or by the car?	彼は車の中にいましたか、それとも車のそばにいましたか。
We all had such a good time.	我々はみんなとても楽しく過ごした。
We all had such a good time.	私達は皆、とても楽しいときをすごした。
We are in on the project.	私たちはその計画に関係している。
We are men.	私たちは男です。
We bought the car for $12,000.	私達はその自動車を１２、０００ドルで買った。
We called Robert "Bob".	私たちはロバートをボブと呼ぶ。
We came back by way of Hong Kong.	私たちは香港経由で帰ってきた。
We can go there with the help of a car.	車があればそこへ行ける。
We could all see it coming, couldn't we?	誰もが予想できたことじゃない？
We couldn't make out what she wanted.	私たちは彼女が何をほしがっているのかわからなかった。
